year, CNRM-ESM2-1, CanESM5, INM-CM4-8, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-LM, CMCC-CM2-SR5, TaiESM1, INM-CM5-0
2.055000000000000000e+03, 5.487314850438586689e+00, 7.533594420759077259e+00, 4.403974750284798567e+00, 5.129604561858610801e+00, 5.259171958600512120e+00, 6.334952333945817138e+00, 4.759400608609793970e+00, 5.543668279959244494e+00, 6.798667137095596225e+00, 4.930000577368076620e+00, 6.794525525688092316e+00, 7.625591124776282648e+00, 4.840358088319102414e+00, 5.013014903834543290e+00, 3.705676586894550706e+00, 4.665236962511388974e+00
2.056000000000000000e+03, 4.891703885452312939e+00, 7.290899108121163152e+00, 4.547846582140505411e+00, 5.240730175368724097e+00, 5.811458403796670780e+00, 5.876497156595124061e+00, 5.041560352561231362e+00, 5.566718250774312260e+00, 7.124589454807550126e+00, 5.002873139829392635e+00, 6.907385166819722144e+00, 7.117650619094732178e+00, 5.108512953934179812e+00, 4.254745390660901627e+00, 3.653592970602923540e+00, 4.446010713978227002e+00
2.057000000000000000e+03, 5.163868403767094328e+00, 7.152163396547651431e+00, 4.391397787498609873e+00, 4.906186000382289691e+00, 6.057513146277950788e+00, 5.728683027939160510e+00, 5.009699044510409927e+00, 5.515229520127949314e+00, 6.893972989831524067e+00, 4.773985680984725199e+00, 6.899742291901127089e+00, 8.001962709542073782e+00, 4.799756364526852614e+00, 5.304468123688350190e+00, 3.646404136244050243e+00, 5.110693279852267956e+00
2.058000000000000000e+03, 4.596565263828003012e+00, 7.414988382379281262e+00, 4.588873561827281122e+00, 5.212338871593450662e+00, 6.261075169309480160e+00, 5.861022280208818103e+00, 5.142387326719174645e+00, 5.819896596524817944e+00, 6.985544213629871990e+00, 4.964751414841632737e+00, 6.658616781638634130e+00, 7.155031493070183046e+00, 4.988248903070915397e+00, 5.136125934056358311e+00, 3.988487819224542541e+00, 4.651059961921446551e+00
2.059000000000000000e+03, 5.055620726446522717e+00, 7.188793251404076656e+00, 4.308798099230060963e+00, 5.314992534638178334e+00, 5.694599208035780791e+00, 5.993131535669147247e+00, 5.084965666645709703e+00, 5.529258988000520958e+00, 6.685550368468917704e+00, 5.154430186071892628e+00, 6.337523759777323740e+00, 7.282696126609327969e+00, 5.018007158509701249e+00, 5.300443015815860193e+00, 4.195877131249408087e+00, 5.217785292947489495e+00
2.060000000000000000e+03, 5.215429959780275126e+00, 7.908219649095549642e+00, 4.679273715935732270e+00, 5.204160735817242589e+00, 5.671676914626302413e+00, 5.655842284245763629e+00, 4.819112588470361835e+00, 5.393057760633340081e+00, 6.795897911575291772e+00, 5.111227147880666344e+00, 6.663075751720411333e+00, 6.316789541527690233e+00, 4.764408941264019148e+00, 5.032781085422562306e+00, 3.560363138043449283e+00, 5.058157485680861321e+00
2.061000000000000000e+03, 4.878001360019080579e+00, 7.710527592290771004e+00, 4.590483420364463107e+00, 5.344087567269084182e+00, 5.426125803571031803e+00, 5.762834208255840807e+00, 4.957060224950597060e+00, 5.420818105244529228e+00, 6.815524771589597464e+00, 5.075600790049176858e+00, 6.576814302898924325e+00, 7.046307202650524459e+00, 4.557311448602304083e+00, 4.945248975052342288e+00, 3.570511776164856599e+00, 4.491971089426464836e+00
2.062000000000000000e+03, 5.810819215019671802e+00, 7.951057993327132145e+00, 4.351357386389054227e+00, 5.312007577996583407e+00, 5.670099195130672065e+00, 6.045456612285423859e+00, 4.932118134405561349e+00, 5.152033410259257096e+00, 6.771071605488894640e+00, 4.615589058456706084e+00, 6.724354993118631718e+00, 6.554257291977544142e+00, 4.672777673952059452e+00, 4.533079761885145942e+00, 3.847558385260680502e+00, 5.051326378875903522e+00
2.063000000000000000e+03, 5.646460568922937462e+00, 7.430825466409204161e+00, 4.534202837153075372e+00, 5.374366228754579033e+00, 5.686430584539120758e+00, 5.802312165215197659e+00, 5.093477065049182073e+00, 5.609332948048439960e+00, 6.830988176099237030e+00, 4.640474157765656749e+00, 6.808019867986720541e+00, 7.811946130678212974e+00, 4.657898395152173521e+00, 5.283946031574709323e+00, 3.528481292866000985e+00, 4.660406719548737087e+00
2.064000000000000000e+03, 4.920247005001442631e+00, 7.865287741513303565e+00, 4.842612156970407256e+00, 5.512934061018423648e+00, 5.513878282113375384e+00, 5.773996893518840601e+00, 5.054471332604712153e+00, 6.656342398043876507e+00, 7.165684033221369376e+00, 4.764057167785767710e+00, 6.780273775659145130e+00, 7.400248595585019018e+00, 4.827763654797913695e+00, 4.633148617463994867e+00, 3.750835625537603413e+00, 4.813177222266934230e+00
2.065000000000000000e+03, 5.321293522732460701e+00, 7.287118247282475814e+00, 4.782634332964664559e+00, 5.562578057692273426e+00, 5.827540075219920901e+00, 5.670993676329363353e+00, 4.863044161355415618e+00, 5.818040786960700927e+00, 7.084820216626527056e+00, 4.927285411362014145e+00, 6.551122492811104259e+00, 7.562968439218724193e+00, 4.772799330466327206e+00, 5.071237916228366061e+00, 3.651928216442624553e+00, 4.708543500553429517e+00
2.066000000000000000e+03, 5.586202246828953832e+00, 7.400790769962980242e+00, 4.714176333840118360e+00, 5.348394983908542955e+00, 5.689007193795776907e+00, 5.950609468084533837e+00, 4.730840775158926093e+00, 6.028617827563901521e+00, 6.765315707874028028e+00, 5.243860253539954996e+00, 6.452564938583807752e+00, 6.933621768567323151e+00, 4.697163266798252579e+00, 5.079771223812501901e+00, 3.522708294665574780e+00, 5.338120924685185287e+00
