year, NorESM2-MM, IPSL-CM6A-LR, INM-CM4-8, TaiESM1, INM-CM5-0, CanESM5, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, CMCC-CM2-SR5, CNRM-ESM2-1, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL, CESM2-WACCM
2.053000000000000000e+03, 1.900009783246633166e+00, 2.440326728812111767e+00, 1.992435676404564537e+00, 2.389048323382628514e+00, 1.822944815912749483e+00, 2.179317265785358337e+00, 2.492056669582944028e+00, 2.046543782532975086e+00, 2.451959038218165521e+00, 2.642868718476938383e+00, 2.353507631370188147e+00, 2.328424638386904721e+00, 2.343774586243017488e+00, 2.010764378153047094e+00, 1.984672271429616330e+00, 2.237710839217615710e+00
2.054000000000000000e+03, 1.881134408876961261e+00, 2.547594870727903249e+00, 2.034100676284059883e+00, 2.106569410301982970e+00, 2.014581284307032760e+00, 2.178186864288316649e+00, 2.603143783810228040e+00, 2.191960603373785066e+00, 2.682209698443198231e+00, 2.718592475825691857e+00, 2.207614729045975999e+00, 2.662125597087166007e+00, 2.383714939311246006e+00, 2.075573314947768644e+00, 2.220634395300808528e+00, 2.257414678811664466e+00
2.055000000000000000e+03, 1.776563554763760600e+00, 2.353645796521145250e+00, 1.831779471987063035e+00, 2.088592569774624597e+00, 1.990123149600925956e+00, 2.336100363276011560e+00, 2.390074890943164831e+00, 2.416333781053998653e+00, 2.790187254982863685e+00, 2.533044670243411289e+00, 2.261674261636146710e+00, 2.500614992516844826e+00, 2.054945641034514381e+00, 1.959613638915218781e+00, 2.024599143072552287e+00, 2.043375326177901741e+00
2.056000000000000000e+03, 1.973788861336637224e+00, 2.765146884967661922e+00, 1.886980325105442002e+00, 2.108310235853899872e+00, 1.887733521402266135e+00, 2.158311116848740330e+00, 2.303847197853531537e+00, 2.232051835759324643e+00, 2.787338904645665139e+00, 2.608744724453201602e+00, 2.021923291125519384e+00, 2.291337242579329914e+00, 2.225607544323627174e+00, 2.041734958060618332e+00, 2.201092389650806336e+00, 2.157613727843952223e+00
2.057000000000000000e+03, 1.979619515858034973e+00, 2.625890917924008416e+00, 1.982235068400462152e+00, 2.184106719620254378e+00, 2.143727283366167136e+00, 2.286809730223045900e+00, 2.393700438667765606e+00, 2.326334212719075811e+00, 2.498696441907059640e+00, 2.542291669510959196e+00, 2.241722910279709602e+00, 2.457612087259380296e+00, 2.375641947476131222e+00, 2.113899192297792329e+00, 2.001590356597762632e+00, 1.869291836566249865e+00
2.058000000000000000e+03, 1.967664328353824876e+00, 2.865464876795544402e+00, 1.785501525315366100e+00, 2.293640741953586470e+00, 1.935549232777306949e+00, 2.289206471321911796e+00, 2.772501803924121599e+00, 2.160592864082866882e+00, 2.533726182037018937e+00, 2.594904126919873377e+00, 2.271799700087538287e+00, 2.359017974937433593e+00, 2.222470542874282362e+00, 1.767827330797056229e+00, 2.250435177103151663e+00, 2.168284841869201340e+00
2.059000000000000000e+03, 1.833183203133822214e+00, 2.756959111257728523e+00, 1.702703621405109224e+00, 2.310226488635417130e+00, 2.042539700522036927e+00, 2.281647676950591563e+00, 2.423476043462953200e+00, 2.185812092370819304e+00, 2.492392893963781386e+00, 2.487699213438030021e+00, 2.150734219009171611e+00, 2.521510454495544451e+00, 2.439774632863947357e+00, 2.019169011314394524e+00, 2.108372823612347347e+00, 2.050928146635657701e+00
2.060000000000000000e+03, 1.865696777125094741e+00, 2.524559709111133810e+00, 1.980223825532425597e+00, 2.125545536222766430e+00, 2.104371832694270861e+00, 2.225324054152181930e+00, 2.556818303364406741e+00, 1.873857948258753181e+00, 2.572905617689071889e+00, 2.532711011852176952e+00, 2.265105576369445206e+00, 2.357629068128035410e+00, 2.133369488269557745e+00, 1.995776241403773410e+00, 2.039298769614998452e+00, 2.106085086224959380e+00
2.061000000000000000e+03, 1.897266768131337544e+00, 2.526681114481966528e+00, 2.044291586112953585e+00, 2.229342422417491143e+00, 1.780648354140549339e+00, 2.512134887901133595e+00, 2.436980283637954159e+00, 2.247007755124425188e+00, 2.652530763190208862e+00, 2.648614316831359172e+00, 2.094984869499487257e+00, 2.293648859955467856e+00, 2.379278155225055702e+00, 1.862586386863518406e+00, 1.971913979751323875e+00, 2.135654629737645749e+00
2.062000000000000000e+03, 2.035129639727513151e+00, 2.812131438606123801e+00, 1.799997808916043551e+00, 2.249950457044195051e+00, 2.148845215714810575e+00, 2.340285323809142781e+00, 2.465713772567996287e+00, 2.102934656678888459e+00, 2.672671332282646528e+00, 2.208010726970437432e+00, 2.097464333195316666e+00, 2.632651149041401073e+00, 2.324344974707784672e+00, 1.920458282308065368e+00, 2.084310162990600457e+00, 2.205042253437834443e+00
2.063000000000000000e+03, 2.043592497741101077e+00, 2.643926980845317409e+00, 1.827425101177218014e+00, 2.112215916905007873e+00, 2.091455040582587799e+00, 2.314470834720246728e+00, 2.365934141769261423e+00, 2.330843208229246510e+00, 2.547749842526735531e+00, 2.454053795956076200e+00, 2.369123396509897006e+00, 2.603636413879520717e+00, 2.201177566315427825e+00, 1.903310463682543308e+00, 2.338567794127081267e+00, 2.077858058143759123e+00
2.064000000000000000e+03, 1.993457204216352752e+00, 2.523060748681173138e+00, 2.100425745369824071e+00, 2.033229307690192389e+00, 1.950217793798084687e+00, 2.326548507062719651e+00, 2.475620024821465925e+00, 2.452163615585834400e+00, 2.596987924001091574e+00, 2.649294218480944263e+00, 2.001493107833154816e+00, 2.230549617770718918e+00, 2.236190331337048143e+00, 2.030788372035396083e+00, 2.413785305757246480e+00, 2.222060921673555178e+00
2.065000000000000000e+03, 1.904635699449895858e+00, 2.725129470054366454e+00, 1.849937158901209022e+00, 2.225930794559718429e+00, 1.976798297271164850e+00, 2.288890224484579683e+00, 2.378048820243423567e+00, 2.342332076188742729e+00, 2.685738259864798305e+00, 2.562946715617705262e+00, 2.233853270141034297e+00, 2.481013032443390998e+00, 2.225069817353423129e+00, 1.952191036935155388e+00, 1.967888279477596702e+00, 2.023065540337629642e+00
2.066000000000000000e+03, 1.894454345925247862e+00, 2.644712263616981307e+00, 1.896570889674521920e+00, 2.053013931695906180e+00, 2.194853533119965228e+00, 2.245063339686804937e+00, 2.679914571481537777e+00, 2.236731586238491776e+00, 2.664043371885974398e+00, 2.549294929187455594e+00, 2.547143520584417509e+00, 2.649423618869061414e+00, 2.091923693884607083e+00, 2.005624583610953859e+00, 2.182342843388261677e+00, 2.158368809968414848e+00
2.067000000000000000e+03, 1.982215868388368163e+00, 2.459056850341812872e+00, 1.779825846940173983e+00, 2.097951076225225808e+00, 2.302386711353178406e+00, 2.370000950305180432e+00, 2.400657207945932292e+00, 2.282145138118372163e+00, 2.606778500170291668e+00, 2.456050670472793573e+00, 2.425383590040004478e+00, 2.300927144794475243e+00, 2.290402481680292812e+00, 1.992291537597667528e+00, 2.068127509775842920e+00, 2.023383984229734533e+00
2.068000000000000000e+03, 1.938781104269934108e+00, 2.532841472071933886e+00, 1.828759754854021535e+00, 2.070051430421299354e+00, 2.130967235254739300e+00, 2.164591179406786914e+00, 2.338285708824598075e+00, 2.265880625197292275e+00, 2.607172308512188508e+00, 2.511100233557083339e+00, 2.191876432605338376e+00, 2.643721140440411066e+00, 2.402509362201521004e+00, 2.117412091439977218e+00, 2.209487162231134505e+00, 2.137045436124454412e+00
2.069000000000000000e+03, 1.986788722942110397e+00, 2.544935897663980651e+00, 1.883946422770412354e+00, 2.405185438074751936e+00, 2.011946233176986620e+00, 2.223734229601075363e+00, 2.498858623922182609e+00, 2.136406951788726527e+00, 2.734345658750885200e+00, 2.523235414006838706e+00, 2.318569056609474099e+00, 2.468531086191292800e+00, 2.104262027016131853e+00, 1.806343134523974214e+00, 2.051615121209374060e+00, 1.898713002684571327e+00
2.070000000000000000e+03, 1.904811980073217059e+00, 2.636459088613679391e+00, 1.966206006944760665e+00, 2.118780577889717964e+00, 1.923625460493798789e+00, 2.240738880012414835e+00, 2.672505368323891961e+00, 2.081059333419567725e+00, 2.729019069135284692e+00, 2.334350692220039658e+00, 2.213422559024142089e+00, 2.324064161229136172e+00, 2.359403042153180863e+00, 1.950621940948048083e+00, 2.447124268571464700e+00, 1.950572018237162641e+00
2.071000000000000000e+03, 1.944878742489739576e+00, 2.867604024608767510e+00, 1.917961228889710545e+00, 2.112320481416601226e+00, 2.026887129732858561e+00, 2.283759354134899056e+00, 2.550233341735424375e+00, 2.300833139369112157e+00, 2.662844704616793123e+00, 2.259153081898432003e+00, 1.923394374945383456e+00, 2.363048647886442311e+00, 2.379582082317104774e+00, 1.799180165218680072e+00, 2.375416994704766971e+00, 2.159150251125215192e+00
2.072000000000000000e+03, 2.136776620204367205e+00, 2.474476201216985860e+00, 1.733583262574920347e+00, 2.221446047997168272e+00, 1.932947306879090554e+00, 2.077384324438258822e+00, 2.316092023766277208e+00, 2.255780133917982155e+00, 2.650811542747177008e+00, 2.525439521602987458e+00, 2.256281398651331482e+00, 2.554419300370349255e+00, 2.299708846830541997e+00, 1.828635564252307999e+00, 1.813528166045881518e+00, 2.003399891827950530e+00
2.073000000000000000e+03, 1.864490905114164043e+00, 2.392428372353756494e+00, 2.080115461676385724e+00, 2.007919343580780946e+00, 2.062415511487837971e+00, 2.360783130534516605e+00, 2.640147147048958587e+00, 2.275693655292434059e+00, 2.766333024028602150e+00, 2.540194187958646932e+00, 2.281676875204007082e+00, 2.579235103593632950e+00, 2.211810626944457958e+00, 1.971752106535262117e+00, 2.103834689858221640e+00, 2.117980868817444851e+00
2.074000000000000000e+03, 1.859714762167747448e+00, 2.364586156405544592e+00, 1.859737646261357069e+00, 1.939946338647576818e+00, 1.937300009300300774e+00, 2.423550281959473640e+00, 2.365826055531020877e+00, 2.390425891248365353e+00, 2.525171073595933180e+00, 2.362650485147334223e+00, 2.200690545787018948e+00, 2.577068054504047190e+00, 2.212195787286134863e+00, 1.712310490169458799e+00, 2.237451882708127116e+00, 2.218947410494375383e+00
