year, NorESM2-LM, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-MM, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR
2.083000000000000000e+03, 2.123135929996298818e-09, 9.373625393234964112e-11, 3.527830029602693783e-12, 1.933147899971290878e-09, 1.204047338550723198e-10, 4.039475995297247600e-10, 1.141355802660195150e-10, 2.514361311966795960e-10, 2.243626335010049723e-10, 6.580318861846355706e-11
2.084000000000000000e+03, 2.035381927430012880e-09, 9.435644565880658425e-11, 4.011893108681413157e-12, 1.747414210856025440e-09, 1.189269228854816627e-10, 4.057603838949832352e-10, 1.190558151851546816e-10, 2.463974987948182958e-10, 2.346907403048774029e-10, 6.636965418650850330e-11
2.085000000000000000e+03, 1.782637941738901031e-09, 9.513349486303597058e-11, 4.837493445592290751e-12, 1.850417441503543738e-09, 1.123994250625853949e-10, 4.082242218144725210e-10, 1.265638492998892832e-10, 2.378466574749735577e-10, 2.435463080267194489e-10, 5.844301053379740760e-11
2.086000000000000000e+03, 1.643624535855992755e-09, 7.968016909098307260e-11, 4.433650309406169596e-12, 1.788346776712735090e-09, 1.131596063374464104e-10, 4.007693403201632640e-10, 8.682964222522102691e-11, 2.412030285279971605e-10, 2.048159354234349537e-10, 5.341221641352948840e-11
2.087000000000000000e+03, 1.819956815699695917e-09, 7.897223513145307826e-11, 4.525669647268454778e-12, 1.855012826075004192e-09, 1.128725876427267104e-10, 4.011688405031929644e-10, 9.443013842482115011e-11, 2.448537270519973739e-10, 2.060668161068559051e-10, 5.219868747667494113e-11
2.088000000000000000e+03, 1.729854327131083518e-09, 7.829253237814964606e-11, 4.992602537653625981e-12, 1.924295339422195303e-09, 1.122214329937477114e-10, 3.995512855198829806e-10, 9.703887292303069920e-11, 2.404968714942388714e-10, 2.071996896825322245e-10, 5.282248036570253467e-11
2.089000000000000000e+03, 1.788531526053660075e-09, 7.805073036216245778e-11, 5.827798625674069684e-12, 1.869408291182344766e-09, 1.129169248586166207e-10, 3.938886104627237314e-10, 1.058412286393736273e-10, 2.382332587556907214e-10, 2.148553015517581001e-10, 5.256487514519887783e-11
2.090000000000000000e+03, 1.540536848198919853e-09, 7.817051624967580888e-11, 6.611398629278643311e-12, 1.575848325898403113e-09, 1.041303576298777957e-10, 3.941163388928485921e-10, 1.086258669958561379e-10, 2.232438827452562582e-10, 2.143372006294781057e-10, 3.644805379392078649e-11
2.091000000000000000e+03, 1.473370018518765337e-09, 3.735826710455071359e-11, 4.067795478627479314e-12, 1.800200041969310057e-09, 1.027619032464726636e-10, 3.400120387344516990e-10, 1.821766901182841911e-11, 2.226710417082681182e-10, 9.997042843742335056e-11, 2.571066244117841000e-11
2.092000000000000000e+03, 1.521477202802907440e-09, 3.469542881089695249e-11, 2.490742021430870657e-12, 2.007374595995313099e-09, 1.002973944720823154e-10, 3.348521089917068763e-10, 1.805021443981410867e-11, 2.214991572463050818e-10, 9.484199919513201253e-11, 2.299979569485903669e-11
2.093000000000000000e+03, 1.443421025436266720e-09, 3.203190384091648762e-11, 1.900648936727321398e-12, 1.643837522485529569e-09, 1.000691048053865195e-10, 3.302882740451097548e-10, 1.805499597857657812e-11, 2.193239325068992973e-10, 8.856798803861366926e-11, 2.170409653264827552e-11
2.094000000000000000e+03, 1.416353737100483683e-09, 2.943687590793369618e-11, 1.657381670396103057e-12, 1.628813621350632787e-09, 1.009015215448749857e-10, 3.269534322051902254e-10, 1.740321720103358341e-11, 2.190089772174944233e-10, 8.251801754501268657e-11, 2.052994083749731908e-11
2.095000000000000000e+03, 1.657540655881814825e-09, 2.668484774885500154e-11, 1.422878303854040986e-12, 1.724601762952374286e-09, 1.284603995018154186e-10, 3.233756087007585380e-10, 2.110993708458051768e-11, 3.082246751058045045e-10, 7.574094399157378622e-11, 1.984283951821361923e-11
2.096000000000000000e+03, 1.777414292983690979e-09, 1.820464542359129664e-11, 1.716371653837031186e-12, 1.687265588825442931e-09, 1.235912809318234567e-10, 3.125455570628638234e-10, 3.828047458372827348e-12, 3.069349425372946143e-10, 5.443272829167498397e-11, 1.955555115967128957e-11
2.097000000000000000e+03, 1.534711383001421040e-09, 1.595715522825023244e-11, 1.705182440575497103e-12, 1.881105214640154736e-09, 1.273446097311207625e-10, 3.077079895424859437e-10, 4.009969446991190513e-12, 2.997839574635225994e-10, 4.990443072252116069e-11, 1.946707088825905401e-11
2.098000000000000000e+03, 1.490620722618317258e-09, 1.377186873452856493e-11, 1.691042063537080531e-12, 1.965086935022161801e-09, 1.253116874414654426e-10, 3.039163992811026144e-10, 3.829923903046219562e-12, 3.022849574339561657e-10, 4.308328554289745218e-11, 1.950837519171810431e-11
2.099000000000000000e+03, 1.584152268555079597e-09, 1.229961436808927760e-11, 1.518275895355597072e-12, 1.900286687163222346e-09, 1.203081581777302550e-10, 2.989920167412247533e-10, 3.800533253875675618e-12, 2.568282857820492687e-10, 3.721140384638639137e-11, 1.853757616629806205e-11
2.100000000000000000e+03, 1.695959030179742030e-09, 9.314197658188168282e-12, 1.262997188989951164e-12, 2.004157579208384647e-09, 8.317204545613217282e-11, 2.964914154310950745e-10, 3.430417150651128274e-12, 1.745019045114314059e-10, 2.995318466854002444e-11, 9.905425735029994357e-12
