year, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, CanESM5, CMCC-ESM2
2.088000000000000000e+03, -1.982414228372996798e-10, 1.059814336908161909e-10, -9.802628012783496797e-11, 6.761796728189895626e-11, -1.184748416349148267e-09, 9.457821259207630144e-11, 5.663166909561852236e-10, -3.759339814056708841e-10
2.089000000000000000e+03, -3.685693478472373816e-10, 5.916897228490986584e-11, 3.874651679645709334e-10, -5.146344231488082266e-10, -2.614701005129655644e-11, 3.493500303217076706e-10, -6.760167280068945571e-11, -6.679720860944946805e-11
2.090000000000000000e+03, 8.526445433067017762e-10, -4.057948667405180950e-10, -2.202728844962898495e-10, -3.421642637044824013e-10, 3.463520508564450015e-10, 1.302098608287454366e-10, -6.683822009741640934e-10, 1.692630458478391137e-12
2.091000000000000000e+03, -7.651066305888110849e-10, -3.916884300819659523e-10, -4.289331401924111177e-10, 4.393378843465878995e-10, -1.534277440268408446e-10, 1.958124736956087664e-10, 1.819259535196969466e-10, -6.095960204894950846e-10
2.092000000000000000e+03, -6.841048266629802742e-10, 5.893585783664564313e-10, -2.260688329035365422e-10, 4.721840098674094808e-11, -1.522099895988409482e-09, -3.186178109899698054e-10, -7.235894890679462066e-10, -3.148463560345386101e-10
2.093000000000000000e+03, -8.901949295426635686e-10, 3.647041472071223429e-10, -2.647305003902498843e-10, -1.714809963408200663e-10, -1.211670079558155772e-11, 3.000121005920419384e-10, -7.142859387633069056e-10, -2.077735532274552292e-10
2.094000000000000000e+03, -3.190830469881995249e-11, -4.429309385614477560e-10, -6.373757939891222799e-11, 5.720894426845335355e-10, 3.806847679723153346e-10, 1.007379828144135879e-09, 7.256104301897023107e-11, -6.938877396203883717e-12
2.095000000000000000e+03, 1.957748304762565233e-10, 4.562837830867277866e-10, -6.313664380632238298e-10, -2.989049215122515634e-10, 2.069708012311738467e-10, 6.495434407157251938e-11, 4.642440150270807384e-12, -4.065719964782557323e-10
2.096000000000000000e+03, 6.952734020835354768e-10, 7.978202905384776121e-10, 3.779643235113753078e-10, 1.017655702896732380e-09, -1.322544958320869300e-10, -1.051666798687614045e-10, -2.366246294210054726e-10, -3.351987871537796428e-10
2.097000000000000000e+03, -5.238689200371127180e-10, 2.619467651719853486e-10, -5.323299693918003916e-10, -5.147665096365877475e-10, -8.163489093828583113e-10, 2.954423248751572305e-10, -9.163767025511804815e-12, -5.788436074924745626e-11
2.098000000000000000e+03, -1.687393630757717904e-10, 1.914581538656098120e-10, -1.896657328948684089e-10, 1.477502494403623835e-10, 3.949784869676186981e-10, 5.539487142814760737e-10, 3.538066896164708650e-10, -2.036243763636797884e-10
2.099000000000000000e+03, 2.500849573342561530e-10, 6.316529406173262889e-10, 6.595815940612685841e-10, 3.196483008281263419e-10, 7.416646119737088406e-10, 1.636074312561804605e-10, -3.995934431147021535e-10, -3.838687607187875854e-10
2.100000000000000000e+03, -3.207139347553677187e-10, -2.745240437954188288e-10, -4.225764297621056187e-10, 2.065326508390165344e-10, 9.812351012605979514e-11, 2.483697142028420770e-10, -1.042392010559442530e-09, 2.886854256187600568e-12
