year, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, CanESM5, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, CMCC-ESM2, GFDL-ESM4, EC-Earth3-Veg, INM-CM4-8, NorESM2-LM
2.052000000000000000e+03, 1.083254733568023598e+00, 2.030673988848406886e+00, 8.845490725564312262e-01, 1.427717207371330677e+00, 1.569025557348438182e+00, 1.348365032848970690e+00, 1.848578231456414978e+00, 1.919237219784442505e+00, 1.466715318994253225e+00, 1.214734688712329813e+00, 1.097309530536831446e+00, 1.204176293100385209e+00, 1.628926502880696958e+00, 2.264299836417933864e+00, 1.476268849429288155e+00, 1.023451590982026094e+00
2.053000000000000000e+03, 1.099469627555641704e+00, 2.000698864878746708e+00, 8.099966705579548787e-01, 1.463609627809264513e+00, 1.505361527807978161e+00, 1.353582208098914164e+00, 1.773566891674393853e+00, 2.088459461138337581e+00, 1.483830681181557143e+00, 1.235792653698729371e+00, 1.094662269133104493e+00, 1.180923918264064509e+00, 1.546724101498357928e+00, 2.294038782204768978e+00, 1.480283919534924886e+00, 1.028448484494874249e+00
2.054000000000000000e+03, 1.088587435959278205e+00, 2.001068712627881219e+00, 8.562225672230798779e-01, 1.487547870919346815e+00, 1.536665818178285958e+00, 1.380887920668637081e+00, 1.833641496314001307e+00, 2.082468682132024185e+00, 1.460566548793876818e+00, 1.231399017449401834e+00, 1.105286806189703430e+00, 1.252796248427619830e+00, 1.532832922880940973e+00, 2.358234988154323641e+00, 1.509932542006767076e+00, 1.036504936572624658e+00
2.055000000000000000e+03, 1.132845065837086107e+00, 1.980948619427366664e+00, 8.612350100010923715e-01, 1.444813996559805469e+00, 1.514585948578059726e+00, 1.376232571249021319e+00, 1.890295428492739127e+00, 1.988519745199983868e+00, 1.496480598578656451e+00, 1.243260643729697135e+00, 1.141285548533506944e+00, 1.270576229632831566e+00, 1.581628652839857985e+00, 2.353655336109997886e+00, 1.509690309187399659e+00, 1.045238239062647789e+00
2.056000000000000000e+03, 1.161412385950663095e+00, 2.007616325654011824e+00, 8.957148236071115210e-01, 1.408240359482326953e+00, 1.534669805660002329e+00, 1.377199908978930187e+00, 1.881655662008249408e+00, 1.901254231387048410e+00, 1.415553281661429352e+00, 1.232270966256036271e+00, 1.140394843106963707e+00, 1.252272178085254817e+00, 1.670754802953036355e+00, 2.352667502372055353e+00, 1.491356136510020303e+00, 1.057485070886753142e+00
2.057000000000000000e+03, 1.169264761161314281e+00, 1.995842333544121550e+00, 7.975218117676936558e-01, 1.436509764016235424e+00, 1.521562618191468985e+00, 1.371368888827742438e+00, 1.892884614658715714e+00, 1.849014145403361731e+00, 1.410942822654218887e+00, 1.212943126834044927e+00, 1.126124500341177281e+00, 1.230427236473051966e+00, 1.653650630879346606e+00, 2.271060020691968440e+00, 1.496173686506388600e+00, 1.085862429243066973e+00
2.058000000000000000e+03, 1.131953577163459901e+00, 1.971687404127804744e+00, 8.517821100645053267e-01, 1.493233163869651436e+00, 1.547708615612012117e+00, 1.376292667711483064e+00, 1.808200615933398092e+00, 1.925014155285535988e+00, 1.461353434595365597e+00, 1.255884426650800689e+00, 1.093081908150798087e+00, 1.229094893706354163e+00, 1.669716778144541891e+00, 2.254138522718567295e+00, 1.492510974874101670e+00, 1.052554087346649014e+00
2.059000000000000000e+03, 1.150335761239387855e+00, 2.016807226646760487e+00, 8.552731967627735798e-01, 1.467371483528512988e+00, 1.516621711845107745e+00, 1.376054711375977568e+00, 1.896850881587221371e+00, 2.074685172228575958e+00, 1.432226676122026587e+00, 1.271958898175544750e+00, 1.105026423176318717e+00, 1.322702998872002711e+00, 1.700338343000654895e+00, 2.295250418581793461e+00, 1.458488571824308577e+00, 1.062315912865776202e+00
2.060000000000000000e+03, 1.170439213141338586e+00, 2.005879204853879383e+00, 8.871825339364955987e-01, 1.325555609200495200e+00, 1.494959126450840170e+00, 1.375544759849164578e+00, 1.848397567935364583e+00, 1.887501851860153845e+00, 1.457732936823506575e+00, 1.273596008711584737e+00, 1.121984363819934938e+00, 1.331697595354107033e+00, 1.642878388479703800e+00, 2.209087793371797392e+00, 1.491529700087403709e+00, 1.048039138583144902e+00
2.061000000000000000e+03, 1.111799933440296817e+00, 1.987241421244358319e+00, 8.483919080143934588e-01, 1.308317014515878673e+00, 1.542313857906214558e+00, 1.373406691530432155e+00, 1.857679648501290304e+00, 1.804443524071044136e+00, 1.478904941241943938e+00, 1.283703498600532900e+00, 1.115440733344546631e+00, 1.190068377104235520e+00, 1.572832513910367380e+00, 2.191319522503309969e+00, 1.487373363447537677e+00, 1.057072025644027580e+00
