year, INM-CM5-0, CESM2-WACCM, UKESM1-0-LL, CMCC-CM2-SR5, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, EC-Earth3-Veg, CanESM5, TaiESM1, INM-CM4-8, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, MPI-ESM1-2-LR
2.044000000000000000e+03, 4.256687629947734308e+01, 2.379978357889305585e+01, 2.510915654787750384e+01, 1.911215402133753472e+01, 1.776618178666312176e+01, 2.275213024542541262e+01, 2.437967773803621085e+01, 2.581145869612390342e+01, 2.853122378307715579e+01, 4.029497093978236677e+01, 3.172652530320220521e+01, 3.919040710359137591e+01, 3.112312358278222035e+01, 3.073678647572677392e+01, 2.087650606282217680e+01, 3.534016275473137370e+01
2.045000000000000000e+03, 4.120403361332165559e+01, 2.400621307162795048e+01, 2.366736223041444376e+01, 1.925103233524312785e+01, 1.826620871920881584e+01, 2.275581994206539704e+01, 2.514366515669004443e+01, 2.632786283924744453e+01, 3.016988797056487570e+01, 4.112222198491100755e+01, 3.335835135631734971e+01, 3.728039996570376502e+01, 3.146891489506742445e+01, 3.045697963120593244e+01, 2.074830373737900047e+01, 3.538664109892780374e+01
2.046000000000000000e+03, 4.087684130750842826e+01, 2.512198902435282832e+01, 2.535520089487254225e+01, 1.914718668440925242e+01, 1.650170031241654556e+01, 2.268565698773331718e+01, 2.557812742973420583e+01, 2.653529265049429853e+01, 2.947656168133417154e+01, 4.124599218739420081e+01, 2.991720438474123256e+01, 3.665503478326181863e+01, 3.093671467503177297e+01, 3.208205452774510036e+01, 1.916978262236972341e+01, 3.473486914700623629e+01
2.047000000000000000e+03, 4.035599864914934187e+01, 2.471904616519340081e+01, 2.638329114451011392e+01, 1.891900429545904316e+01, 1.646799806833292124e+01, 2.293489267132141407e+01, 2.544544277449413627e+01, 2.579291863171673427e+01, 3.049837129533968039e+01, 4.120343962083907741e+01, 3.035289032242461360e+01, 3.732488914240172306e+01, 3.144942319558892407e+01, 3.246649304353184817e+01, 1.977560353266862236e+01, 3.455653494154307737e+01
2.048000000000000000e+03, 4.045176679610835890e+01, 2.378766210895818745e+01, 2.743115073491589939e+01, 1.977501179153861699e+01, 1.481872171361972157e+01, 2.256690955980720759e+01, 2.354416529698012539e+01, 2.589683428249020025e+01, 2.861409904768868273e+01, 4.052283898029735099e+01, 3.268431388774086344e+01, 3.610816323270283590e+01, 3.131349717083672246e+01, 3.064265814167873714e+01, 1.973504025143697049e+01, 3.484336903032492216e+01
2.049000000000000000e+03, 4.095571502105038064e+01, 2.513175299062354995e+01, 2.405113083231593762e+01, 1.977483108350481800e+01, 1.863043574237700284e+01, 2.296874202555560629e+01, 2.392020954862063320e+01, 2.642816684386090742e+01, 3.008536225389915941e+01, 4.131146174706198337e+01, 3.249981081917418635e+01, 3.911284054022334544e+01, 3.082793702513831846e+01, 3.118869381666577567e+01, 2.085042704182915330e+01, 3.463815162089014166e+01
2.050000000000000000e+03, 4.285130607170084005e+01, 2.531478369744517565e+01, 2.553132618088580230e+01, 1.895186204069213076e+01, 1.666197621747758717e+01, 2.197452074038569592e+01, 2.565158390654424991e+01, 2.637454571817962901e+01, 3.007410275489590035e+01, 4.114577185777955037e+01, 3.097310442433785482e+01, 4.003609837635750779e+01, 2.944312060757094329e+01, 3.240224249632039744e+01, 2.034862680035417171e+01, 3.215065027656259389e+01
2.051000000000000000e+03, 4.278003964931890835e+01, 2.441207136892525398e+01, 2.459159140774832153e+01, 2.027328400832947608e+01, 1.733229831590587366e+01, 2.164890965920651311e+01, 2.566553998783261292e+01, 2.593940465226172165e+01, 2.993077394916734235e+01, 4.142289110542002106e+01, 3.055658103407867543e+01, 3.824539097238646690e+01, 2.919857005262337069e+01, 3.234963523458667112e+01, 2.028876644498251025e+01, 3.379040582202357967e+01
2.052000000000000000e+03, 4.374156112156538256e+01, 2.405791486297402315e+01, 2.552611604980788229e+01, 2.012071551706343442e+01, 1.889400249443852431e+01, 2.306208680838316738e+01, 2.665486883748900127e+01, 2.605905303371151049e+01, 2.911885969627785542e+01, 4.154652284543484342e+01, 3.233896211986715485e+01, 3.908324099907500226e+01, 2.988499952185179609e+01, 3.197977217300004682e+01, 1.959616062425542182e+01, 3.408113277676513064e+01
2.053000000000000000e+03, 3.989878039873151749e+01, 2.468829544740966853e+01, 2.330988103703481329e+01, 1.913343072941191991e+01, 1.683873312856365700e+01, 2.161187783144410801e+01, 2.474635414053917870e+01, 2.632315649553894943e+01, 2.965156007202154953e+01, 4.045043833690301938e+01, 3.295966511425467615e+01, 3.891589716798862497e+01, 2.982383436497120854e+01, 3.195953691218906911e+01, 2.045080471899381891e+01, 3.572011886214195187e+01
2.054000000000000000e+03, 4.119587553620324627e+01, 2.494198642147557976e+01, 2.311057763844352664e+01, 1.891807605733936626e+01, 1.829158435176300657e+01, 2.223866570813722277e+01, 2.459375865473211675e+01, 2.657931061470366885e+01, 2.974324185934830567e+01, 4.146610232676916041e+01, 3.142317256098578682e+01, 4.051008541544922537e+01, 2.990992272142932507e+01, 3.175497843864274472e+01, 2.008042361685359012e+01, 3.625235423934812218e+01
2.055000000000000000e+03, 4.089961897501977006e+01, 2.464489773671067852e+01, 2.380259002631255782e+01, 1.943948575514655985e+01, 1.796329890639001903e+01, 2.335866991605907828e+01, 2.537009619296653540e+01, 2.677792901359781297e+01, 3.010389740836523842e+01, 4.185269698949588957e+01, 3.175483772827598372e+01, 4.049321071531250027e+01, 3.066565176207291188e+01, 3.276943705148928387e+01, 2.042882394820312086e+01, 3.454085758388880123e+01
2.056000000000000000e+03, 4.158413563629805765e+01, 2.454636551175878267e+01, 2.567259328089934911e+01, 2.006849881434507310e+01, 1.940816178509766843e+01, 2.312417172789825770e+01, 2.697970900070475153e+01, 2.661627329617466486e+01, 3.007702713649815962e+01, 4.167657254743785700e+01, 3.040235873115996768e+01, 3.973046628438049055e+01, 3.157906581130193402e+01, 3.077635796150516256e+01, 2.066811245078795523e+01, 3.352516079897930723e+01
