year, ACCESS-ESM1-5, MIROC-ES2L, CanESM5, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, CNRM-ESM2-1, GFDL-ESM4, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg
2.061000000000000000e+03, 6.137337620965053198e+00, 3.943659204540085028e+01, 2.209505869142036261e+01, 3.715254835853674553e+00, 2.426624362262558776e+01, 5.675868057393794075e+00, 2.524566699235315070e+01, 1.802480698462057163e+01, 3.516047060914631572e+01, 2.321639205035407549e+00, 3.728113584603266251e+00, 3.340295181969239469e+00, 6.230913155105445966e+00
2.062000000000000000e+03, 5.982003788351434537e+00, 3.948726428549753820e+01, 2.233336333915159955e+01, 3.812201600427074677e+00, 2.434818257481886761e+01, 5.799788731715182166e+00, 2.521292898199194354e+01, 1.782458500336361951e+01, 3.502844100846367326e+01, 2.012736582354764714e+00, 3.740559647802496723e+00, 3.362654948523981169e+00, 5.993853864664428599e+00
2.063000000000000000e+03, 5.922099286142875840e+00, 3.941544646115237072e+01, 2.260136433595839733e+01, 4.003577908946638786e+00, 2.434742191448767556e+01, 6.108348035012538979e+00, 2.505347783500585024e+01, 1.798395113262874290e+01, 3.524373417409701403e+01, 2.417966224906030082e+00, 3.874094870703757465e+00, 3.328065921035785024e+00, 6.006429611635654808e+00
2.064000000000000000e+03, 5.719877409499678045e+00, 3.945392647901819316e+01, 2.224329010853836763e+01, 3.742241653876851704e+00, 2.419676064372480795e+01, 6.314380849560923714e+00, 2.516932820145918015e+01, 1.801230726111599978e+01, 3.533348845078685230e+01, 2.323282511527899441e+00, 3.689169069763192255e+00, 3.290882341706411918e+00, 6.298823958917024513e+00
2.065000000000000000e+03, 5.778186940291281992e+00, 3.963677889952262490e+01, 2.245152785992599220e+01, 3.565731964697421930e+00, 2.415281596244630791e+01, 5.833315276934088800e+00, 2.517112640552984359e+01, 1.811610766465496170e+01, 3.543321157855422854e+01, 1.814520042557996149e+00, 3.709542392270974709e+00, 3.391004941052342847e+00, 6.065914820155543730e+00
2.066000000000000000e+03, 5.804398567926477348e+00, 3.984564147173719562e+01, 2.282853172079429882e+01, 3.764724441461473337e+00, 2.427862149258523417e+01, 5.693583868835339956e+00, 2.522172934708954983e+01, 1.821877825882722490e+01, 3.558403079701454175e+01, 2.165622662238361418e+00, 3.858770939612612416e+00, 3.282277001658617799e+00, 6.152317089878053480e+00
2.067000000000000000e+03, 5.700402081424712719e+00, 3.998772511628026649e+01, 2.256386742163293846e+01, 3.822573823129483017e+00, 2.432656715961740090e+01, 6.028389154431153862e+00, 2.532037574277074654e+01, 1.849650930343600308e+01, 3.565364205168431511e+01, 2.785663862883959840e+00, 3.843573800138802010e+00, 3.314841140721739521e+00, 6.256833553144200089e+00
2.068000000000000000e+03, 5.780989881068102854e+00, 3.980384329898304685e+01, 2.259927608100909069e+01, 3.871860410078781456e+00, 2.428482411625439497e+01, 6.221200444842849286e+00, 2.532185853256088492e+01, 1.861543801142766341e+01, 3.571822681320699644e+01, 2.151646251710937818e+00, 3.763536703514424708e+00, 3.426784027645323860e+00, 6.241526878059573846e+00
2.069000000000000000e+03, 5.662423505687896430e+00, 3.977213287818136678e+01, 2.295143155390242029e+01, 3.916885135596344991e+00, 2.436903137172274825e+01, 6.175590809199980491e+00, 2.529690260036185023e+01, 1.824186161724003341e+01, 3.570504929003562467e+01, 1.677772942768713138e+00, 3.832497735995102683e+00, 3.486485574038789448e+00, 6.266562525518614812e+00
2.070000000000000000e+03, 5.644400194474784804e+00, 3.989480668262100949e+01, 2.239444007279515603e+01, 3.916858307336620548e+00, 2.425302311583498849e+01, 5.949766414217894095e+00, 2.528868631668747469e+01, 1.811069040864268587e+01, 3.585648350961169228e+01, 2.498595227029782873e+00, 3.828579542679559022e+00, 3.544289046984436808e+00, 6.533905407892292239e+00
2.071000000000000000e+03, 5.770883245225506109e+00, 4.007428871862205710e+01, 2.233062278115271582e+01, 4.004625717451760991e+00, 2.428033896284549797e+01, 6.080357022285219237e+00, 2.557902616822448749e+01, 1.804453326608729213e+01, 3.596003107920450503e+01, 2.681446532128446858e+00, 3.831221253659270243e+00, 3.390532043159458997e+00, 6.411171934813574502e+00
2.072000000000000000e+03, 5.946138985913004937e+00, 4.020188672504643534e+01, 2.261040291234854749e+01, 3.728885186259659257e+00, 2.445862789868403198e+01, 5.935335151610774851e+00, 2.527660661049215207e+01, 1.798535258338835519e+01, 3.604824870953033411e+01, 2.173254986413386547e+00, 3.825457464916734995e+00, 3.365649235149408725e+00, 6.108813297606877413e+00
2.073000000000000000e+03, 6.102327282287672183e+00, 4.016352668103659340e+01, 2.236384149832876744e+01, 3.845577618696142785e+00, 2.437258244962119491e+01, 5.968328947420084241e+00, 2.528160819457988495e+01, 1.821325479757645383e+01, 3.619156713292147032e+01, 1.918196506770644572e+00, 3.691647608878485087e+00, 3.465491883927481975e+00, 6.194531086438251677e+00
2.074000000000000000e+03, 5.975966641504688148e+00, 4.009912208634666797e+01, 2.250461777668400387e+01, 3.792580808601969000e+00, 2.440378887448299139e+01, 5.933029817223252955e+00, 2.528833071866862880e+01, 1.827838308581292281e+01, 3.619694538425652297e+01, 2.586489348757324169e+00, 3.716490982522294928e+00, 3.533959195257532659e+00, 6.399832018017175272e+00
2.075000000000000000e+03, 5.897623140954767251e+00, 4.019525203042339001e+01, 2.237809761062620240e+01, 3.886626483712666946e+00, 2.448236189517107420e+01, 6.178612977819810226e+00, 2.529041279251264385e+01, 1.827839969859790159e+01, 3.641107967240050414e+01, 2.157058338415924759e+00, 3.748465836929264050e+00, 3.492754172081390163e+00, 6.369679055555698355e+00
2.076000000000000000e+03, 5.824597185111404229e+00, 4.024054637169960813e+01, 2.255475404229425962e+01, 4.017817218292691450e+00, 2.439323943017272356e+01, 5.939725121087397142e+00, 2.531955901527368979e+01, 1.832095525136091041e+01, 3.655268779393293244e+01, 2.128982621296334088e+00, 3.838864706550554562e+00, 3.377760945821419725e+00, 6.257500332280820032e+00
2.077000000000000000e+03, 5.806451516837365823e+00, 4.027017101631695795e+01, 2.294951496178886430e+01, 3.858964880271886777e+00, 2.428576206764894962e+01, 6.135041889976360352e+00, 2.539276535651617195e+01, 1.839708035085265436e+01, 3.662469021977269534e+01, 1.977831044078910194e+00, 3.857578921266439753e+00, 3.452757562069096675e+00, 6.199837718689913402e+00
2.078000000000000000e+03, 5.711504987858703863e+00, 4.040128411266721287e+01, 2.290353123230961430e+01, 3.820591644878037041e+00, 2.433537170023131324e+01, 6.016219007748105696e+00, 2.535412765337204632e+01, 1.810659649738110843e+01, 3.658144666822958868e+01, 2.164189647738941957e+00, 3.980115891567459929e+00, 3.260455131155537423e+00, 6.197525599628592730e+00
2.079000000000000000e+03, 5.634079651018870649e+00, 4.018423306847296317e+01, 2.279557393799721510e+01, 3.900545446383373527e+00, 2.435600502311246984e+01, 5.846306665417807302e+00, 2.538217029990349971e+01, 1.794301026637729279e+01, 3.658028130222322005e+01, 2.524610344304059506e+00, 3.826998324226440928e+00, 3.316670340627875913e+00, 6.291784840582858251e+00
2.080000000000000000e+03, 5.652263005731938073e+00, 3.994568042723329171e+01, 2.323373204383110036e+01, 3.738521763816227139e+00, 2.423486829804009801e+01, 5.767512404156946104e+00, 2.523582103858484871e+01, 1.792656099585395779e+01, 3.659343137264264101e+01, 2.032061581772495185e+00, 3.878812827955372633e+00, 3.522424856532879289e+00, 6.230855760257465903e+00
2.081000000000000000e+03, 5.718635673651979445e+00, 4.013547069779484389e+01, 2.344991617095530856e+01, 3.939336559782213865e+00, 2.432528235407006889e+01, 6.469800506707545473e+00, 2.534466309983623944e+01, 1.795927560408455648e+01, 3.659608396537468167e+01, 1.876122854544984175e+00, 3.621868249506084325e+00, 3.489205420029417137e+00, 6.097388614615108615e+00
2.082000000000000000e+03, 5.679414237177062397e+00, 4.038060372920585195e+01, 2.338903402733540204e+01, 3.832396073041255846e+00, 2.434088200607488517e+01, 6.354621488521677186e+00, 2.539143494201313445e+01, 1.804521503851860587e+01, 3.661628559161507468e+01, 2.616050796560708491e+00, 3.821265542388954994e+00, 3.519191750463276591e+00, 6.362138045207125003e+00
2.083000000000000000e+03, 5.698725951842851245e+00, 4.052826262578560090e+01, 2.352841810546755497e+01, 3.831256924713125844e+00, 2.424078347248058662e+01, 5.960388487404268076e+00, 2.541280566288127929e+01, 1.786714491097612978e+01, 3.678169360489697937e+01, 2.463342574779984862e+00, 3.913695782977514970e+00, 3.350736642625397721e+00, 6.319244237397497521e+00
2.084000000000000000e+03, 5.740577990116777940e+00, 4.028645135757796680e+01, 2.314090839027919699e+01, 3.860008433281663986e+00, 2.418053114443398854e+01, 6.091724957799685036e+00, 2.558198454826013446e+01, 1.779600858489095927e+01, 3.698243054989946188e+01, 2.107064028632864350e+00, 3.786638733654288380e+00, 3.352103986379766365e+00, 6.232176055624455202e+00
