year, MPI-ESM1-2-LR, EC-Earth3-Veg, CanESM5, CESM2-WACCM, NorESM2-LM, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, TaiESM1, GFDL-ESM4, IPSL-CM6A-LR, INM-CM4-8, INM-CM5-0, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1
2.050000000000000000e+03, 2.234792969598114798e+00, 2.330441912212866118e+00, 2.702055561786484983e+00, 2.655353565290401896e+00, 2.400587087514100659e+00, 2.766133684462946274e+00, 3.061563378096984867e+00, 2.089650278663265581e+00, 2.709819162801349268e+00, 2.063622062649529632e+00, 2.092307736722951006e+00, 3.219213045948544405e+00, 3.053387505488624143e+00, 3.200228604249307995e+00, 2.439775009787594318e+00, 2.397839994836930444e+00
2.051000000000000000e+03, 2.404211077441683386e+00, 2.076754999381460909e+00, 2.736871066170401878e+00, 2.473150327542671167e+00, 2.255315920743320213e+00, 2.653203708548944384e+00, 3.259423371931312374e+00, 2.353276120338103627e+00, 2.759074294675724293e+00, 2.104749878954496278e+00, 2.392172330919466017e+00, 3.336501046525245151e+00, 3.120835538668109699e+00, 2.993250187326012224e+00, 2.787865651123754951e+00, 2.324581429659961618e+00
2.052000000000000000e+03, 2.316851340698097061e+00, 2.085402654369385100e+00, 2.324788137964068468e+00, 2.702911377306999707e+00, 2.268715016317487176e+00, 2.770936905803956130e+00, 2.939845255162325088e+00, 2.048875549848390154e+00, 2.865952526947865842e+00, 2.128046835305585027e+00, 2.212522561295679147e+00, 3.357954465222396934e+00, 3.031600638601798625e+00, 2.892892977052179404e+00, 2.339151420205292986e+00, 2.304062654581661818e+00
2.053000000000000000e+03, 2.351425928815788602e+00, 2.083398906768769709e+00, 2.621265248468074738e+00, 2.642293037157340319e+00, 2.471934064798854358e+00, 2.835963994423801093e+00, 2.918184152668548581e+00, 2.230355642947508432e+00, 2.802169239234828080e+00, 2.048010445159747839e+00, 2.207343824395096021e+00, 3.288839720701454361e+00, 3.361138109571443433e+00, 2.933703854622147222e+00, 2.490882830301643924e+00, 2.103006211891711441e+00
2.054000000000000000e+03, 2.180511090732521584e+00, 2.028159512946793530e+00, 2.504202872522607315e+00, 2.421709688866358512e+00, 2.518786343870361044e+00, 2.674708494058917196e+00, 2.932940835163011961e+00, 2.163399019669036250e+00, 2.808268463430326101e+00, 2.161519428431181833e+00, 2.205934243718606247e+00, 3.286890665437755210e+00, 3.100152279512188525e+00, 3.162537543689905029e+00, 2.642742643325826979e+00, 2.396316500613418388e+00
2.055000000000000000e+03, 2.275238115675547679e+00, 1.901701764261568117e+00, 2.566291876092797963e+00, 2.779262092201983947e+00, 2.476886509963951877e+00, 2.681851794229513697e+00, 3.256982055337993565e+00, 2.213825214290794818e+00, 2.741187587732822006e+00, 2.054172042145471888e+00, 2.305203210450745832e+00, 3.067807528199931966e+00, 3.098638678425227777e+00, 2.956091417830148504e+00, 2.507608319326993573e+00, 2.422323077497129606e+00
2.056000000000000000e+03, 2.345365836700021855e+00, 2.145497502905905574e+00, 2.478944082905491619e+00, 2.624442770198281760e+00, 2.422511090072799966e+00, 2.778787004382448078e+00, 3.005136888983968468e+00, 2.263623368399974023e+00, 2.628850777103538316e+00, 2.276328861925022373e+00, 2.229860312842972370e+00, 3.352215127555185692e+00, 2.955694141817896359e+00, 3.010038608649809433e+00, 2.683779781818087073e+00, 2.151960944973386969e+00
2.057000000000000000e+03, 2.347093831026588973e+00, 2.131746956905620216e+00, 2.621702651361870640e+00, 2.681723219469548614e+00, 2.311412768289602848e+00, 2.773117582941424963e+00, 3.064927054776152016e+00, 2.338568449257314441e+00, 2.614020043765839407e+00, 2.304017472577759129e+00, 2.201873621858259522e+00, 3.244190526829923815e+00, 3.145840032011612664e+00, 3.085228901367051968e+00, 2.561131301562918683e+00, 2.212487763743423042e+00
2.058000000000000000e+03, 2.407897981805283472e+00, 2.022524558463143940e+00, 2.581321937567337965e+00, 2.927871712796305648e+00, 2.333362284887023907e+00, 2.897959831320874091e+00, 3.090617467968368004e+00, 2.264650778701509548e+00, 2.713319331755971398e+00, 2.200580212697120785e+00, 2.235132979270102460e+00, 3.078261068794710287e+00, 3.233493771466438460e+00, 2.924446787970901518e+00, 2.426790699890433611e+00, 2.181026821362147317e+00
2.059000000000000000e+03, 2.459068363815603231e+00, 2.190473201573460038e+00, 2.373941729752754082e+00, 2.414390493745512067e+00, 2.253595212059829933e+00, 2.600051090703086487e+00, 3.169873835063807377e+00, 2.260020869591876647e+00, 2.910573543168599731e+00, 2.305628869713480356e+00, 2.116385555365477344e+00, 3.216333708521140089e+00, 3.355931161979353039e+00, 2.900405209537716189e+00, 2.634281584356591210e+00, 2.410391701480837146e+00
