year, CMCC-CM2-SR5, IPSL-CM6A-LR, CESM2-WACCM, TaiESM1, NorESM2-LM, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, CanESM5
2.037000000000000000e+03, 6.237917563857434011e+00, 7.667252446385222520e+00, 3.847650285462337116e+00, 1.832058558649397595e+00, 4.254655801624187994e+00, 4.889773301458491872e+00, 2.800981908101637430e+01, 4.148461800116454157e+00, 5.510764570873385004e+00, 2.477974041384886661e+01, 2.298257886498053537e+01, 1.292648997603171956e+01, 7.905681250008621319e+00
2.038000000000000000e+03, 5.601885554765195785e+00, 7.654458447758996087e+00, 3.874251791191335670e+00, 1.800645529190568750e+00, 4.120700628195954174e+00, 5.009824663637565401e+00, 2.801161836608353539e+01, 4.120655459055035941e+00, 5.579307136833322467e+00, 2.477438200529292445e+01, 2.305381194036881354e+01, 1.298383677556577709e+01, 7.905687138258553404e+00
2.039000000000000000e+03, 5.395298034146497557e+00, 7.663611816154761947e+00, 3.992150904862366012e+00, 1.776501271137489013e+00, 4.053882715997787933e+00, 5.028062777403095041e+00, 2.809292322084243665e+01, 4.109702187303254206e+00, 5.576703001459109466e+00, 2.481101823349891333e+01, 2.305223423127733540e+01, 1.301966325023457571e+01, 8.043386753522186794e+00
2.040000000000000000e+03, 5.735782496808561781e+00, 7.684456708022096905e+00, 3.924247960738671992e+00, 1.745541780605855742e+00, 4.211920653052403374e+00, 4.944011444743291683e+00, 2.814238412760788322e+01, 4.094336972357345061e+00, 5.509564034234633922e+00, 2.489542442753723606e+01, 2.307427752097657603e+01, 1.309886096443147707e+01, 8.110800382739792980e+00
2.041000000000000000e+03, 5.514151468121625932e+00, 7.702554333811536758e+00, 3.824809494811750810e+00, 1.842338778718900061e+00, 4.382633649195924797e+00, 4.911124995632769163e+00, 2.829362880497544097e+01, 4.088798841338868506e+00, 5.511209916670791742e+00, 2.497330474748925866e+01, 2.312592865615319226e+01, 1.316638163092969549e+01, 8.176651635576986266e+00
2.042000000000000000e+03, 5.810195009408586131e+00, 7.706072390907052316e+00, 3.865052060451090288e+00, 1.963146160985638211e+00, 4.293885664592758999e+00, 4.990651778354356694e+00, 2.838408709853158385e+01, 4.027552353373559768e+00, 5.549785898964769260e+00, 2.507267650723557750e+01, 2.327687927009395708e+01, 1.320010640230370313e+01, 8.253272788529136150e+00
2.043000000000000000e+03, 5.880560683923348186e+00, 7.731681677400436214e+00, 3.999636259664506088e+00, 1.827337968567120052e+00, 4.038391100665299049e+00, 5.054502374093784667e+00, 2.838977584148830147e+01, 4.053778325544039163e+00, 5.569804936034951304e+00, 2.520744827297747648e+01, 2.328685089058585334e+01, 1.329200196246874555e+01, 8.174130926582485301e+00
2.044000000000000000e+03, 5.631936872219707624e+00, 7.765823230979714609e+00, 4.027152829559444314e+00, 1.836928691068818731e+00, 3.934718542786059370e+00, 5.085542118261384914e+00, 2.848715763853941496e+01, 4.074027596478475566e+00, 5.579507030790618494e+00, 2.533184521069068396e+01, 2.330844480379828099e+01, 1.349924894953203669e+01, 8.130115713089020701e+00
2.045000000000000000e+03, 5.734706701166031984e+00, 7.709298919355587643e+00, 4.053482594139906858e+00, 1.787787450777043929e+00, 3.923347626966825263e+00, 5.072534684635592761e+00, 2.854103616989418768e+01, 4.142015454277943043e+00, 5.618301628448801210e+00, 2.530979331436574853e+01, 2.340452430504924664e+01, 1.362760246693566657e+01, 8.268296289502096386e+00
2.046000000000000000e+03, 5.968820081800156885e+00, 7.761740667218078649e+00, 4.139191026942555141e+00, 1.714149032399379768e+00, 3.939737465622187962e+00, 5.174193141582153821e+00, 2.853662020001238631e+01, 4.182477524878992270e+00, 5.682785223092587934e+00, 2.540196431413116329e+01, 2.342794910991554502e+01, 1.368218020595513984e+01, 8.361100060257360411e+00
