year, IPSL-CM6A-LR, INM-CM4-8, UKESM1-0-LL, TaiESM1, NorESM2-LM, ACCESS-ESM1-5, EC-Earth3-Veg, INM-CM5-0, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, NorESM2-MM, CanESM5, MPI-ESM1-2-LR, CMCC-CM2-SR5, CNRM-ESM2-1
2.062000000000000000e+03, 3.372724713322557744e+00, 6.802506677237952104e+00, 7.132115726782295440e+00, 5.056367596449669044e+00, 5.334857367274593365e+00, 4.556850665621976937e+00, 4.837551701585206310e+00, 6.377878236267180867e+00, 4.955282396561152325e+00, 5.093798153974195664e+00, 5.787300155016163572e+00, 5.580852418734054687e+00, 5.467146475698081431e+00, 6.489131027584462252e+00, 5.564109843613832318e+00, 4.133218451809074878e+00
2.063000000000000000e+03, 3.459230537466616795e+00, 6.920978319784960142e+00, 7.138309374316792244e+00, 4.899795193018956496e+00, 5.786119243870669671e+00, 4.607171960258503951e+00, 4.498597516274912778e+00, 6.544224500475238848e+00, 4.918881499339207153e+00, 5.259526483337557679e+00, 5.795086020724856013e+00, 5.539340605382499838e+00, 5.611877051032897690e+00, 6.682950929835511644e+00, 5.277847755389369233e+00, 4.363298250695603286e+00
2.064000000000000000e+03, 3.584551936324098964e+00, 6.609460363333726107e+00, 7.654807761407591116e+00, 5.054927749596306086e+00, 5.573424789005963831e+00, 4.493828719488401902e+00, 4.479614999365332473e+00, 6.603742233428627095e+00, 4.962143199886305922e+00, 5.046134950430300137e+00, 5.250074181540060003e+00, 5.510368518145776662e+00, 5.628959359190581324e+00, 6.604967842083143026e+00, 5.182858759558755857e+00, 4.448717494633370073e+00
2.065000000000000000e+03, 3.560323742949981884e+00, 6.476952118272958359e+00, 7.559646701806001623e+00, 4.786999693710282777e+00, 5.464104640519011902e+00, 4.521651326649476665e+00, 4.668713001318020694e+00, 6.534119077669560127e+00, 5.142839577830573106e+00, 5.356621502807676016e+00, 5.414247268809639912e+00, 5.551580421418277567e+00, 5.783853477165155965e+00, 6.566432044892323461e+00, 5.338030982317758522e+00, 4.480152572033404113e+00
2.066000000000000000e+03, 3.696757113487198154e+00, 6.658889314864318010e+00, 7.140563269857397977e+00, 5.135659867543330925e+00, 5.615940540660350422e+00, 4.532478698147072826e+00, 4.862027942172214345e+00, 6.371302221301249347e+00, 4.938990540845408006e+00, 5.334217414955324976e+00, 5.798653859353190221e+00, 5.540657079712157262e+00, 5.537859041538118809e+00, 6.457393428099569732e+00, 5.677767017594656629e+00, 4.329220702205887505e+00
2.067000000000000000e+03, 3.799571730591218888e+00, 6.549886436839787329e+00, 7.411028005261957041e+00, 5.013075139821292936e+00, 5.573812413270239574e+00, 4.551447813977034684e+00, 5.128608996614442361e+00, 6.580719776630086670e+00, 5.381712045379480891e+00, 5.092625328765039150e+00, 5.740178165768284657e+00, 5.770454618709242034e+00, 5.626307076937278495e+00, 6.201263280454099025e+00, 5.618249082258238047e+00, 3.991341042437677622e+00
2.068000000000000000e+03, 3.659771248749771999e+00, 6.588329513231744983e+00, 7.038208814657981094e+00, 4.758872009672993286e+00, 5.446224701207936114e+00, 4.618845008206755587e+00, 4.630444260466017425e+00, 6.373123166882260549e+00, 5.048581139342958046e+00, 5.393280482334008141e+00, 5.541585396634497229e+00, 5.684103091461410351e+00, 5.577425319834034667e+00, 6.564445700388787941e+00, 5.449258095849159211e+00, 4.233335344185834792e+00
2.069000000000000000e+03, 3.473167386166402970e+00, 6.734888400976280387e+00, 6.773425756322195568e+00, 5.037257310912893082e+00, 5.690284261205989402e+00, 4.569376423658278341e+00, 4.817005938992819480e+00, 6.509570886158623004e+00, 4.791170839930515513e+00, 5.502192836225541228e+00, 5.660811498701254330e+00, 5.339721054223240948e+00, 5.490091902967291659e+00, 6.504106029403588174e+00, 5.383264570456701925e+00, 4.241465831468562264e+00
2.070000000000000000e+03, 3.472604852003901676e+00, 6.594585184845931813e+00, 6.933281905980553717e+00, 5.015015888913135100e+00, 5.776864203185971824e+00, 4.318583329849259300e+00, 5.079475378011875542e+00, 6.453553393175455177e+00, 4.723501829164884924e+00, 5.119063943669440064e+00, 5.922322284401915660e+00, 5.459100892248892833e+00, 5.808757771566321892e+00, 6.700805818390794144e+00, 5.113596536567269979e+00, 4.599439935083396769e+00
2.071000000000000000e+03, 3.596845722109460741e+00, 6.597270305418299507e+00, 7.323662374149371601e+00, 4.868609744854624388e+00, 5.400795955423807193e+00, 4.488427627608065684e+00, 4.569262036985803022e+00, 6.313590168983023609e+00, 4.846376529003207700e+00, 5.180583170188290509e+00, 5.694431451180496317e+00, 5.521697391794144316e+00, 5.488305295662615713e+00, 6.337885443528090690e+00, 5.575045914153498927e+00, 4.449483524880951002e+00
2.072000000000000000e+03, 3.556467776343047671e+00, 6.602549380713770510e+00, 7.421472995101038528e+00, 4.791627818545350692e+00, 5.311996035754271261e+00, 4.587888697236700786e+00, 5.186816084520715187e+00, 6.290741967574020599e+00, 4.834244143632153268e+00, 5.371120924688101539e+00, 5.604480160896932794e+00, 5.299364009372736106e+00, 5.860317876792985103e+00, 6.422246991578814068e+00, 5.342709648987998605e+00, 4.124979719306543835e+00
2.073000000000000000e+03, 3.725591657756366359e+00, 6.499043496129132791e+00, 7.785944902542211388e+00, 5.121722188687845012e+00, 5.750102864419131876e+00, 4.574507367115113077e+00, 4.618384968877430552e+00, 6.489684701975967585e+00, 5.024178379012790074e+00, 5.030874150751483143e+00, 5.821581717107608966e+00, 5.563656011738344453e+00, 5.759471936778506773e+00, 6.776534043511534655e+00, 5.337169445167003978e+00, 4.514617802074026187e+00
2.074000000000000000e+03, 3.685995537753541829e+00, 6.468350499064455583e+00, 7.423404739275428099e+00, 5.211837907837454154e+00, 5.607827421796351075e+00, 4.581831036758848619e+00, 4.876484316118333773e+00, 6.777809616750605670e+00, 5.039653265922577674e+00, 5.292622889189664726e+00, 5.780025480019229889e+00, 5.399458410358407789e+00, 5.562229318221392660e+00, 6.514787449415306853e+00, 5.403924204774270379e+00, 4.355341617626663719e+00
