year, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, CMCC-ESM2, TaiESM1, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-LM
2.053000000000000000e+03, 8.192056641322212395e-11, 1.408736055300053709e-09, 1.859978174757273940e-11, 3.863921999328775146e-12, 2.385225393936993197e-10, 2.937992046330642661e-10, 1.965476679239145641e-10, 5.473665250667617437e-11, 4.629057998334963101e-11, 1.324360249806887285e-09
2.054000000000000000e+03, 8.666827521826097733e-11, 1.403071219751683949e-09, 1.892493305689481250e-11, 3.786906561148431814e-12, 2.399722577579248159e-10, 2.833683885942526521e-10, 1.967168034747350219e-10, 5.427971021719455782e-11, 5.019215963918114429e-11, 1.318580089167424720e-09
2.055000000000000000e+03, 1.477885285176076392e-10, 1.351336914142652129e-09, 1.880466221741236073e-11, 3.907333509717145589e-12, 2.393453142380333466e-10, 3.056011024851032622e-10, 2.215499608422891727e-10, 5.514678843126814994e-11, 5.470632938717385219e-11, 1.308541782281208599e-09
2.056000000000000000e+03, 1.915161929142488429e-10, 1.419140774166418210e-09, 4.570703324372999805e-11, 4.202784167508328163e-12, 2.590528501927374032e-10, 3.085339595263091590e-10, 2.210109269357913392e-10, 6.924741590757538897e-11, 1.047063184332875577e-10, 1.367520983606099124e-09
2.057000000000000000e+03, 2.083256862824843218e-10, 1.437337014324398127e-09, 4.700653319518239335e-11, 4.627570431001816622e-12, 2.615603230753995146e-10, 3.005879487362343505e-10, 2.219286176558150003e-10, 7.296962648583239494e-11, 1.070190687552451486e-10, 1.380594866772770213e-09
2.058000000000000000e+03, 2.209442460521082397e-10, 1.421800489149516988e-09, 4.367719569630023243e-11, 4.679339298135077013e-12, 2.604379856669102340e-10, 2.836789541212648330e-10, 2.292030687823834392e-10, 7.814099171422865846e-11, 1.378374667571185020e-10, 1.412765049609951199e-09
2.059000000000000000e+03, 2.324745164607476102e-10, 1.428588058740227882e-09, 5.445837737424779206e-11, 4.602264660895654612e-12, 2.568729847213839838e-10, 2.989801223212032699e-10, 2.329980307960368329e-10, 8.214027208101049115e-11, 1.671105549819605309e-10, 1.339001192683794482e-09
2.060000000000000000e+03, 2.270365505946160021e-10, 1.430517662152757249e-09, 6.761782313710210891e-11, 4.532408610668245770e-12, 2.635512979778811873e-10, 3.189900556737120757e-10, 2.419782811741393135e-10, 8.455491575256176919e-11, 2.044814684465568872e-10, 1.390378537630143283e-09
2.061000000000000000e+03, 2.217846816754244190e-10, 1.467805378392640849e-09, 6.664989203685541953e-11, 4.421382799819157122e-12, 2.683903653433445396e-10, 3.348602800738368050e-10, 2.492346654123891623e-10, 8.007038041828409173e-11, 1.643974862937494699e-10, 1.369516940728633270e-09
2.062000000000000000e+03, 2.229054665007702984e-10, 1.459302790345903292e-09, 7.836548060468762462e-11, 4.311806724019908214e-12, 2.724902316160857148e-10, 3.357741147903650306e-10, 2.566724957946390201e-10, 8.025872906435777851e-11, 1.798674652944466475e-10, 1.347640679118403146e-09
