year, CMCC-CM2-SR5, GFDL-ESM4, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, INM-CM4-8, UKESM1-0-LL, NorESM2-LM, CESM2-WACCM, MPI-ESM1-2-LR, CanESM5, INM-CM5-0
2.047000000000000000e+03, 1.684829384705978317e+00, 1.836656922866108044e+00, 1.749526531775567051e+00, 1.780997166141504495e+00, 1.488912945313006775e+00, 2.078030970098913688e+00, 1.640442433919974796e+00, 1.601811760143789787e+00, 1.962140276073695233e+00, 1.742736927791123325e+00, 1.770691166795097304e+00, 1.566182501587007891e+00, 1.557087215652807277e+00, 1.984556270219345553e+00, 1.687655130200267362e+00, 1.728775138268170419e+00
2.048000000000000000e+03, 1.730338071149277512e+00, 1.783535302657215826e+00, 1.882801597912951541e+00, 1.752230923597888790e+00, 1.564271140915677094e+00, 2.190660417727640308e+00, 1.674896074110050259e+00, 1.642934749529834981e+00, 1.856218070532435149e+00, 1.709079900929337370e+00, 1.823678912793056828e+00, 1.636227902004128598e+00, 1.649774353491447076e+00, 1.896018449725090704e+00, 1.823262291563078730e+00, 1.742267572959544708e+00
2.049000000000000000e+03, 1.728703366872730074e+00, 1.766483285892529898e+00, 1.840234920630250404e+00, 1.634678890314258615e+00, 1.463838526249866101e+00, 2.058633226049582987e+00, 1.531628207098161276e+00, 1.654803192909260812e+00, 1.927117969664204677e+00, 1.748067565690030856e+00, 1.622983541143581565e+00, 1.546270997869074071e+00, 1.617506845146257310e+00, 1.958553796485727583e+00, 1.696550013367592147e+00, 1.738660678702140139e+00
2.050000000000000000e+03, 1.692149474461305925e+00, 1.777021796097953521e+00, 1.875698318232147610e+00, 1.766641984602445925e+00, 1.496817180190602503e+00, 2.042959471677536776e+00, 1.550428654793891026e+00, 1.577107652848891650e+00, 1.848122273428858042e+00, 1.745565448356825033e+00, 1.811847403816096991e+00, 1.543098833117379387e+00, 1.589251699788729821e+00, 1.851528105200683338e+00, 1.749308188757211280e+00, 1.736993666649693013e+00
2.051000000000000000e+03, 1.681315988978908438e+00, 1.804038417933958582e+00, 1.727087838764630012e+00, 1.801961702750163541e+00, 1.483257576600882865e+00, 2.111640128968442998e+00, 1.612625276810756292e+00, 1.692418133272724612e+00, 1.925392715683679423e+00, 1.760659990116542062e+00, 1.736366072743888544e+00, 1.592968046145101457e+00, 1.502190337709479184e+00, 1.907815942378464191e+00, 1.783710552403434235e+00, 1.761376091172398572e+00
2.052000000000000000e+03, 1.752854116765893977e+00, 1.767097536866172991e+00, 1.835496018439070509e+00, 1.802941113507209092e+00, 1.482883841309321493e+00, 2.121568726886362111e+00, 1.599535044452447874e+00, 1.605142333258869236e+00, 1.968551917606321755e+00, 1.721194357299371536e+00, 1.771037303161258736e+00, 1.601303825141382475e+00, 1.565219891858471657e+00, 1.912209443605503267e+00, 1.762392207508736597e+00, 1.770796499471350760e+00
2.053000000000000000e+03, 1.785020746052371710e+00, 1.807985966967502245e+00, 1.800300403374491820e+00, 1.697627686631626887e+00, 1.444656349755084168e+00, 2.090025072735016032e+00, 1.504173600880299499e+00, 1.614976338408980361e+00, 1.916489439108509663e+00, 1.702587586800548003e+00, 1.722530460434411381e+00, 1.569849066944634552e+00, 1.616736630156579313e+00, 1.921377710819664131e+00, 1.740951442728437382e+00, 1.755791644699123744e+00
2.054000000000000000e+03, 1.690509717714202997e+00, 1.773968465163760611e+00, 1.841409164100084483e+00, 1.662771446985084278e+00, 1.476946281154202900e+00, 2.044280612650446027e+00, 1.539322700050426151e+00, 1.638624949389300145e+00, 1.984789439377981468e+00, 1.671677090528678855e+00, 1.748495025474662734e+00, 1.709498375358706967e+00, 1.532867742254437449e+00, 1.899270830932035636e+00, 1.869300741898943574e+00, 1.801955541531210070e+00
2.055000000000000000e+03, 1.765079529434763650e+00, 1.912203358070359460e+00, 1.856138493881175133e+00, 1.775520723541284873e+00, 1.482376677922426778e+00, 2.160686211801539525e+00, 1.512723717669890666e+00, 1.571024787061432448e+00, 1.946296250121302807e+00, 1.786046317344449630e+00, 1.704368236954855176e+00, 1.605635958327824131e+00, 1.564864322020449228e+00, 1.922231126950662228e+00, 1.696022738167153321e+00, 1.779003986971128715e+00
2.056000000000000000e+03, 1.712305065886609912e+00, 1.752516603376428339e+00, 1.818196624209792889e+00, 1.766356899512131484e+00, 1.500978512691478528e+00, 2.040740046580947098e+00, 1.619126354282926616e+00, 1.518903457473873342e+00, 1.927237028136495667e+00, 1.780165297419426640e+00, 1.768195576838576200e+00, 1.577953614450183562e+00, 1.521053149507850755e+00, 1.894716728957894558e+00, 1.844284278075758676e+00, 1.826963582359506288e+00
