year, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-LM, TaiESM1, CanESM5, UKESM1-0-LL, ACCESS-ESM1-5, INM-CM5-0, CNRM-ESM2-1, MIROC-ES2L, IPSL-CM6A-LR, EC-Earth3-Veg, GFDL-ESM4
2.058000000000000000e+03, -1.269658881262734074e-01, 7.779269562511117453e-01, 2.782429250939959520e-01, 4.047409633247588401e-01, 3.628549388855514812e-01, 1.701597338045144348e-01, 2.213912218686638067e-02, 6.334318880340261693e-01, 4.190985729312956543e-01, 2.758879705500557611e-01, 5.552186396885252506e-01, 1.176158361863919088e+00, 5.551181989620052049e-01, 5.523254827260674071e-01, 7.968756585089538103e-01, 4.451647310002178060e-01
2.059000000000000000e+03, -1.711415783317435935e-01, -3.151465084609626072e-02, 5.126168913023716467e-01, 1.937719610952769733e-01, 2.430173615767774187e-01, 4.888890138996412338e-01, 6.904569390773335202e-02, 5.164398859387763219e-01, 4.838228365180786694e-01, 4.367824207252001267e-01, 1.994156712283357002e-01, 6.264114206175186439e-01, 2.118843254108357110e-01, 1.411845259557389654e-01, 1.127185105524197928e+00, 2.607708961988497998e-01
2.060000000000000000e+03, -4.834130250588505318e-01, 4.804239921560906484e-02, 1.429102114382228006e-01, 1.368965201079735683e-01, 3.015515785509675362e-01, 6.400584813092667913e-01, 2.598508418105434092e-01, 6.457301659867922261e-01, 4.127153512104876354e-01, 3.542200894921557763e-01, 3.777299643683207919e-01, 8.110649931168624205e-01, 9.111519639587155606e-01, 4.870171486544265793e-01, 5.996080760543622823e-01, 6.601737934720726120e-01
2.061000000000000000e+03, 2.363656882681811067e-01, 5.384858313856329820e-02, 5.545758566437677395e-01, 1.100204592241741247e-01, 3.757405899978801256e-01, 3.914471839009938670e-01, 1.183536081931911392e-02, 6.365900772596648771e-01, 4.311659043916704070e-01, 2.759706358700403372e-01, 1.162203031483788479e-01, 8.769324605763813008e-01, 4.836249903153268526e-01, 4.505016067704606941e-01, 3.250933545944718062e-01, 4.086057710767226903e-01
2.062000000000000000e+03, -5.479558073050671413e-02, -4.217699597103793940e-02, 2.652528597163921753e-01, 4.187722675952123552e-01, 3.980248668826033009e-01, 5.501785574499948872e-01, 6.362220057532601281e-02, 7.644120096208815163e-01, 4.374569823307790095e-01, 7.514079837314192878e-02, 3.378565875971408783e-01, 8.902569594952625120e-01, 6.898652035121992654e-01, 4.772221807725489096e-01, 3.559841065277699612e-01, 6.531705254633521918e-01
2.063000000000000000e+03, -7.839495359622677961e-01, 9.016901520564531980e-01, 2.841708118417454743e-01, 1.701123551523150979e-01, 1.791127489931286787e-01, 2.680291082993189189e-01, 2.638240758023653321e-01, 6.782753137709301994e-01, 1.887666917065191352e-01, 6.398961572023312283e-03, 5.819609494623154827e-02, 7.439338309112386582e-01, 8.272472237477346280e-01, 6.279413464496441666e-01, 5.425211056954477584e-01, 4.910519644026905550e-01
2.064000000000000000e+03, -5.030357330933131754e-01, 5.964605372207741896e-01, 2.002936352774877526e-01, 5.039778257015332663e-01, 1.906556041142693780e-01, 4.049230945960707873e-02, -1.369761030087754405e-02, 5.637429334537363834e-01, 4.520910247426103701e-01, 1.593440751546149337e-01, 2.970920665727333487e-01, 6.172031572462181037e-01, 3.175142700471260127e-01, 4.470069467845481648e-01, 1.055171711548725522e-01, 7.189442750081805888e-01
2.065000000000000000e+03, 1.390232249669413889e-01, 3.919993607202575392e-01, 7.041284859855752032e-01, 3.352178341044871890e-01, 2.890571729388300981e-01, 4.237090774118453251e-01, 3.783922263435133410e-02, 8.271369095178099373e-01, 4.477646974668967883e-01, -3.665200158360135130e-02, 3.148257101372199385e-01, 6.874083818163287951e-01, 4.245044916801629653e-01, 5.158411815010597312e-01, -3.030036532702963248e-01, 6.152658426900310396e-01
2.066000000000000000e+03, 3.489967416494701435e-01, 4.041277328841264699e-02, 4.022959466079250590e-01, 2.419657065213239866e-01, 2.523862873529461592e-01, 6.160968554100419992e-01, -2.883436323279858424e-02, 6.549301476652108489e-01, 1.677653156338740348e-01, 2.834070021697870367e-01, 1.424638828502861332e-01, 5.566782262420856275e-01, 6.236541231929823015e-01, 3.861579713860571195e-01, 2.711047919079788687e-03, -9.802411161494206659e-02
2.067000000000000000e+03, 4.980643810470019445e-02, 3.329909475934968999e-01, 7.253803333291046485e-02, 2.360196461915497201e-01, 5.005251304800056866e-01, 4.308038662002505181e-01, 3.529817956790021749e-01, 6.699903788427628015e-01, 2.131996264491950455e-01, 2.312272703102038474e-01, 5.283903008599555307e-01, 6.696207674013268107e-01, 3.498448442226824717e-01, 3.969189628301700301e-01, 6.546215175486969073e-01, 3.418910970202240773e-01
2.068000000000000000e+03, -1.068751805568573382e-02, 1.355871720766169963e-01, 2.607878063984987449e-01, 2.433380927440303432e-01, 6.331952757995684689e-01, 4.761742424049829614e-01, 1.080571705068975319e-01, 6.418136858010874413e-01, 2.337135225156142804e-01, 7.564943666572915282e-02, 4.158821591712801302e-01, 4.446560792170023424e-01, 7.724995658173000601e-01, 1.894681410083200734e-01, 7.388124323605744781e-01, 4.300064179968643985e-01
