year, CNRM-ESM2-1, GFDL-ESM4, NorESM2-MM, MPI-ESM1-2-LR, TaiESM1, CESM2-WACCM, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1
2.072000000000000000e+03, 6.996498221581197839e-10, 4.592668420698678431e-10, 1.691131637860681028e-10, 3.326851952490747991e-10, 2.156740305464608483e-10, 3.127012755195719524e-10, 4.676555011917624619e-10, 2.156740305464608483e-10, 2.352048206167721179e-10, 1.691131637860681028e-10, 2.682233821076688073e-10, 6.996498221581197839e-10
2.073000000000000000e+03, 7.979967821012890423e-10, 3.641515297613294115e-10, 3.072405869590286843e-10, 3.888552490051953980e-10, 1.975581100270017038e-10, 3.088791723994526886e-10, 3.724578913966092477e-10, 1.975581100270017038e-10, 2.478047606554122879e-10, 3.072405869590286843e-10, 1.500578151687809650e-10, 7.979967821012890423e-10
2.074000000000000000e+03, 8.253287977816045942e-10, 2.826750278531597756e-10, 1.947080895892878055e-10, 4.039415798599064271e-10, 1.912483294162218233e-10, 2.013302756993180593e-10, 2.914404153619985516e-10, 1.912483294162218233e-10, 3.837295715577338891e-10, 1.947080895892878055e-10, 2.464093463476181054e-10, 8.253287977816045942e-10
2.075000000000000000e+03, 1.000605887513058549e-09, 4.562603358323024916e-10, 3.342937002814796686e-10, 3.172063878076542364e-10, 2.151506515251971295e-10, 1.012766250120899635e-10, 4.648792440734274833e-10, 2.151506515251971295e-10, 2.212807429401123625e-10, 3.342937002814796686e-10, 1.696646048920904645e-10, 1.000605887513058549e-09
2.076000000000000000e+03, 7.945436600974797164e-10, 4.285538263652085715e-10, 1.951655222644546014e-10, 2.485814141135135154e-10, 2.074221838993497876e-10, 1.204144413827908297e-10, 4.372282711038547900e-10, 2.074221838993497876e-10, 1.902724001660303437e-10, 1.951655222644546014e-10, 1.473434007741167727e-10, 7.945436600974797164e-10
2.077000000000000000e+03, 7.961844364198740733e-10, 5.357649723338610756e-10, 3.849214287399313828e-10, 3.803960984775186586e-10, 1.931232769186766679e-10, 1.919844042481608545e-10, 5.449292635785146561e-10, 1.931232769186766679e-10, 2.678566513695508537e-10, 3.849214287399313828e-10, 1.156794175368327997e-10, 7.961844364198740733e-10
2.078000000000000000e+03, 5.690634355613304469e-10, 4.234064296799626405e-10, 4.118682961593367451e-10, 2.603824729181309454e-10, 2.048495422196575301e-10, 4.387575113198772148e-10, 4.330462960180063786e-10, 2.048495422196575301e-10, 2.954403141681110986e-10, 4.118682961593367451e-10, 2.197119535057913143e-10, 5.690634355613304469e-10
2.079000000000000000e+03, 7.369161686950025123e-10, 4.594328238267772761e-10, 2.376530422558587892e-10, 2.172789836614567985e-10, 2.123417852712824154e-10, 2.170823242789275633e-10, 4.691029477608156430e-10, 2.123417852712824154e-10, 2.545861002638394352e-10, 2.376530422558587892e-10, 2.092965984508790698e-10, 7.369161686950025123e-10
2.080000000000000000e+03, 7.844698611734276408e-10, 4.309554243144433771e-10, 3.111641104016345437e-10, 5.046518969987431636e-10, 1.803025923187701894e-10, 1.285769383421745179e-10, 4.409473902589282295e-10, 1.803025923187701894e-10, 2.151585846339304322e-10, 3.111641104016345437e-10, 9.470427019913141798e-11, 7.844698611734276408e-10
2.081000000000000000e+03, 9.324513355338893256e-10, 3.595430509812765764e-10, 2.444027378484954290e-10, 3.602242716058347979e-10, 2.238473058016590627e-10, 2.350532839789320080e-10, 3.698140108262281804e-10, 2.238473058016590627e-10, 2.845810503860379926e-10, 2.444027378484954290e-10, 1.346474534382986741e-10, 9.324513355338893256e-10
