year, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, CanESM5, UKESM1-0-LL, TaiESM1, NorESM2-MM, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM4-8, CMCC-CM2-SR5, ACCESS-ESM1-5
2.052000000000000000e+03, 6.417253013980965370e+00, 8.159524818311963301e+00, 6.116070878660489818e+00, 4.959836936265140217e+00, 4.611952759126201506e+00, 5.359953328313693532e+00, 7.488988630096106824e+00, 7.137415176419190210e+00, 3.138287236469666563e+00, 5.325288467920117341e+00, 7.817712451741776647e+00, 4.682339604334567085e+00, 6.811124726928993844e+00, 5.336091087341222838e+00, 5.585257134832819048e+00, 5.447943636248560928e+00
2.053000000000000000e+03, 6.305774753899956231e+00, 8.366502065010861244e+00, 5.524229267354552775e+00, 4.457288548204322076e+00, 4.924767007708534372e+00, 5.368651296003388751e+00, 7.858969007505948845e+00, 6.530772102808038326e+00, 2.973053153835227391e+00, 5.220720014825386279e+00, 7.039037281718414363e+00, 4.751939400514030076e+00, 7.449518354890503069e+00, 5.233914476349076139e+00, 5.915191774825485638e+00, 5.439183913672384740e+00
2.054000000000000000e+03, 6.302723467680805491e+00, 8.231138429253059385e+00, 5.891927748298977363e+00, 4.826623877737624468e+00, 4.865674751515094876e+00, 5.421366936714483664e+00, 7.911277434376398965e+00, 6.665795082011554129e+00, 3.117608406255960585e+00, 5.098203234073549694e+00, 7.201320322879000813e+00, 4.633747530478387944e+00, 7.112891301486018669e+00, 5.272010569738683650e+00, 6.032480314287013812e+00, 5.463560108196706011e+00
2.055000000000000000e+03, 6.811994073051975462e+00, 8.181470313291908880e+00, 5.779836364749172617e+00, 5.387484285997501843e+00, 4.561540970135546935e+00, 5.368753197878495698e+00, 7.492649032338038140e+00, 6.808450189551013665e+00, 3.009381488745935140e+00, 5.197924064465570204e+00, 6.963086956601184596e+00, 5.003639837513316202e+00, 7.177724146494674606e+00, 5.073771505172937957e+00, 5.856047776402199645e+00, 5.415829062429097895e+00
2.056000000000000000e+03, 6.843576189951964928e+00, 8.026436254768251288e+00, 5.427700075819831049e+00, 5.038712638072799344e+00, 5.032945892327978399e+00, 5.462714801850835578e+00, 7.552993767255873792e+00, 6.896018413028961014e+00, 3.011871401198800147e+00, 5.193421051358804164e+00, 7.175391991313191831e+00, 4.738009914743834372e+00, 7.092124627724994745e+00, 5.130733190899881002e+00, 5.524280276289026403e+00, 5.335372664671819365e+00
2.057000000000000000e+03, 6.583047870771387089e+00, 8.038215370706327079e+00, 5.884290630924632559e+00, 4.642826683641257723e+00, 5.599229895695657433e+00, 5.279830210774348664e+00, 8.273480186995538332e+00, 6.816857575859184060e+00, 3.005407204587244419e+00, 5.162216201259231418e+00, 7.579106622900339651e+00, 4.951512492241403329e+00, 7.075001515911124805e+00, 5.133105378091514126e+00, 5.639240484495956274e+00, 5.153084910029205545e+00
2.058000000000000000e+03, 6.666923106719409020e+00, 8.290516613069840446e+00, 5.578013837057243407e+00, 4.848345596933969937e+00, 5.444389554233930895e+00, 5.424144008956593765e+00, 7.421469264311096659e+00, 6.806612180812034119e+00, 2.960151976896249426e+00, 5.367922391506171564e+00, 7.663592332417736408e+00, 4.912363598599465142e+00, 7.323948186866777732e+00, 5.567009831235901096e+00, 5.964375464774495761e+00, 5.408135592457919749e+00
2.059000000000000000e+03, 6.552446353229107068e+00, 7.787401556575072270e+00, 5.705567359046414211e+00, 5.138961275463370448e+00, 5.166238121237928915e+00, 5.327388443942346008e+00, 7.593619205572298192e+00, 7.192148964177258463e+00, 3.123669301195973969e+00, 5.391494314691331446e+00, 7.181731211404218662e+00, 4.219966525501527954e+00, 6.815502115041168096e+00, 4.861979242346939678e+00, 6.081527233727952009e+00, 5.565759975165277318e+00
2.060000000000000000e+03, 6.961575120446140907e+00, 8.506186825973630405e+00, 5.588377665441816688e+00, 5.090101252994001513e+00, 5.125642985351761993e+00, 5.359138734205442844e+00, 8.004833244939456804e+00, 7.128543909192390338e+00, 3.231572217869934871e+00, 5.115227995310701381e+00, 7.294249721421513399e+00, 4.669903335840655423e+00, 6.944827925068444152e+00, 5.050124112877372617e+00, 5.787228366339791208e+00, 5.408098407830819632e+00
2.061000000000000000e+03, 6.571292467721341346e+00, 8.085323636380026713e+00, 5.563911255946893064e+00, 4.616964739654370042e+00, 5.225677788516144062e+00, 5.416254576989066649e+00, 7.979453311761584011e+00, 7.209594636908102316e+00, 3.032506707363356480e+00, 5.486505870490239190e+00, 7.675900101804356446e+00, 4.686420516616553122e+00, 7.263270875786377978e+00, 5.085220300081801703e+00, 6.169054853990635578e+00, 5.368118267549659706e+00
2.062000000000000000e+03, 6.814158395213908648e+00, 8.083995424126998230e+00, 5.894026560971240336e+00, 5.021786674872657841e+00, 4.902357397830975572e+00, 5.379808064289391289e+00, 8.098883127621180122e+00, 6.852374909823347515e+00, 2.966902353157038430e+00, 5.000945602327530715e+00, 7.544478171975465663e+00, 4.632136093233437890e+00, 7.245836488120231067e+00, 5.139031189621150908e+00, 6.143256153847730161e+00, 5.081608871785400439e+00
2.063000000000000000e+03, 6.852526941968523744e+00, 8.393308505931599939e+00, 5.676039316474739138e+00, 5.125947418481882067e+00, 5.075755001483750029e+00, 5.354609497753750169e+00, 8.154545866007667954e+00, 6.604149922099860071e+00, 3.265753378341023527e+00, 5.207642478966593380e+00, 7.527131681697306398e+00, 5.063123232183753153e+00, 7.094318337500040705e+00, 5.596528849665981298e+00, 5.544030843827380650e+00, 5.086806467413978794e+00
2.064000000000000000e+03, 6.995906537067239306e+00, 8.127634735263125521e+00, 5.752282405350834793e+00, 4.726919546560980123e+00, 5.235225821025784043e+00, 5.617894480942294599e+00, 7.820880489198560603e+00, 7.216090468861845686e+00, 3.003935687405201893e+00, 5.047197811287117197e+00, 7.232953494035251119e+00, 4.824723947411700742e+00, 7.201503121204631874e+00, 5.505827206651560779e+00, 5.793281822850518736e+00, 5.138022376012099102e+00
2.065000000000000000e+03, 6.874022806411760556e+00, 8.064712974360213948e+00, 5.564923091310389758e+00, 5.042880299573308633e+00, 5.113369677926426604e+00, 5.395398846656813241e+00, 8.102937352428970286e+00, 6.743076987232526243e+00, 3.081429285422513598e+00, 5.658854394811233313e+00, 7.437437421595255671e+00, 4.760461212302995015e+00, 7.100501478962628177e+00, 5.429248877753045655e+00, 5.876540482650152164e+00, 5.073416730078236903e+00
2.066000000000000000e+03, 6.459394888707088001e+00, 8.047935195214110493e+00, 5.785366105111627633e+00, 5.226888515145373226e+00, 5.358383712888154626e+00, 5.408564256654265101e+00, 7.757301996147499601e+00, 6.206401281794660107e+00, 3.014503912597860324e+00, 5.250906877291652286e+00, 7.395029724395080883e+00, 4.822665830768398720e+00, 7.105583326901538932e+00, 5.059938725422433059e+00, 6.052839591221672144e+00, 5.227591786952557662e+00
2.067000000000000000e+03, 6.778832295834074984e+00, 7.817212688861040704e+00, 6.005971826037821870e+00, 5.040792464777698711e+00, 5.671313656296466554e+00, 5.564322384613864969e+00, 7.876269852603980937e+00, 6.597489250200407440e+00, 3.351836535332101352e+00, 4.976124383298607512e+00, 7.402449023305394782e+00, 4.746640634943740444e+00, 7.049933017122645751e+00, 5.246505859066881605e+00, 5.995285104478425886e+00, 5.156290668618327189e+00
2.068000000000000000e+03, 6.698733782121577995e+00, 8.609416998645494701e+00, 6.202299960456648442e+00, 5.051355820964677612e+00, 5.438919343452300659e+00, 5.440464722144456644e+00, 7.641945412161898155e+00, 7.106315961563966610e+00, 3.161710921262190777e+00, 5.287645245671440897e+00, 7.348492717263587437e+00, 4.491281161181674086e+00, 7.227071261215199272e+00, 5.079678094858801174e+00, 6.039244334109509005e+00, 5.235779146602694389e+00
2.069000000000000000e+03, 6.658507993904161815e+00, 8.491546699265800413e+00, 5.923628770415387379e+00, 4.763863310545440655e+00, 5.462542371710147115e+00, 4.995435534131533295e+00, 7.988419646213507974e+00, 7.110752933213165150e+00, 2.904790324812604574e+00, 5.292958631104843548e+00, 7.213138052235906095e+00, 4.895944822647082972e+00, 7.164045341816538404e+00, 4.950210760401291488e+00, 5.914852075577769597e+00, 5.554720377550839139e+00
2.070000000000000000e+03, 6.847476970047275735e+00, 7.886617072690883745e+00, 6.083134901287948537e+00, 4.893055208173253234e+00, 5.691937231257694130e+00, 5.475882184597815616e+00, 7.539911491595668203e+00, 7.079930569621644132e+00, 3.103433979870547255e+00, 4.949329194796677989e+00, 7.227997639801885477e+00, 4.888110220867561750e+00, 6.981672094326514255e+00, 5.244205265731103793e+00, 5.513783090267215137e+00, 5.624405970304219515e+00
2.071000000000000000e+03, 6.724892733943325318e+00, 8.179299096711581285e+00, 5.529293846264451417e+00, 4.816822118530191155e+00, 5.200564948395086873e+00, 5.189222256766463204e+00, 7.358283893591046620e+00, 6.794482046252598550e+00, 3.147424212361412454e+00, 5.330770184183454496e+00, 6.915018834570997086e+00, 4.716535728067458244e+00, 7.446275448856389367e+00, 4.980828013618206818e+00, 5.873978329141732679e+00, 5.592368637648991836e+00
2.072000000000000000e+03, 6.579432796572054265e+00, 7.881622738001985873e+00, 6.000153095573842243e+00, 5.095214328878011401e+00, 4.902580746316727023e+00, 5.249157056061855897e+00, 7.749555119059780672e+00, 6.987287895857857478e+00, 3.061965365359588631e+00, 5.381678249397425340e+00, 7.176448960563954316e+00, 5.242395153688977238e+00, 7.035102520761354228e+00, 5.294419620619343902e+00, 5.715489937996613534e+00, 5.285741325756244890e+00
2.073000000000000000e+03, 7.078902992001077976e+00, 7.891619659727657776e+00, 5.800044771976057945e+00, 4.878052140779446155e+00, 5.322131522446556851e+00, 5.304341414605868721e+00, 7.916658781730506966e+00, 7.070542889363269801e+00, 3.068366207396758139e+00, 5.391172504648253927e+00, 7.562995317342101842e+00, 5.173813243873307322e+00, 7.017245934713465694e+00, 5.129467670916006306e+00, 5.778306361318008122e+00, 5.151343826379069846e+00
2.074000000000000000e+03, 7.236833358726161514e+00, 7.834395164718752191e+00, 6.055396304148038311e+00, 5.170273102835627022e+00, 5.039831628591492141e+00, 5.212158107689753628e+00, 7.855947774938161210e+00, 7.192000002608571307e+00, 3.114688564761761480e+00, 4.764087395880711284e+00, 7.827168867256713902e+00, 4.902301808129741367e+00, 7.010881153118504905e+00, 5.226680292887955659e+00, 5.665453883019316628e+00, 5.061058182501677827e+00
