year, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, UKESM1-0-LL, NorESM2-LM, EC-Earth3-Veg, GFDL-ESM4, TaiESM1, NorESM2-MM
2.068000000000000000e+03, 1.070844732339558585e-10, 5.436654970252548839e-10, 4.531037610895310933e-10, 2.665223473000553392e-10, 1.008533682878154247e-10, 3.465098574124811498e-10, 1.962624564401178062e-10, 5.057384720556683245e-11, 1.158730831750744817e-10
2.069000000000000000e+03, 8.533856866543487880e-11, 6.650901544467155286e-10, 4.564040837101512613e-10, 2.713206544374103446e-10, 9.290355252685506736e-11, 3.670614231177073595e-10, 3.143643396308340863e-10, 4.454163497831120394e-11, 9.467926587932187649e-11
2.070000000000000000e+03, 1.049169385203917193e-10, 6.256406614884523337e-10, 4.578056042980397557e-10, 2.833907677484975125e-10, 8.887160573487904508e-11, 3.593425627622765473e-10, 2.733316436261252912e-10, 4.457843997868281934e-11, 8.447095326776117638e-11
2.071000000000000000e+03, 1.079073290344657935e-10, 6.507131825661294513e-10, 4.559332530968933843e-10, 3.004742387704652076e-10, 8.885139515849202485e-11, 3.772349570426192252e-10, 3.225563487879055154e-10, 5.927814354345986793e-11, 8.404201079239044134e-11
2.072000000000000000e+03, 9.689394938953611314e-11, 7.465154021442858311e-10, 4.606716785689511847e-10, 2.611493775175376155e-10, 9.603063802033443570e-11, 3.445961329166841342e-10, 2.459045870113015008e-10, 4.145485531996647052e-11, 8.484616123312792792e-11
2.073000000000000000e+03, 9.128132932599975559e-11, 6.632946463423083769e-10, 4.581079942932123667e-10, 2.704382342159147163e-10, 8.478819698543168054e-11, 3.288509283215393469e-10, 2.087854028740746759e-10, 3.522101844423981837e-11, 8.041050823237972599e-11
2.074000000000000000e+03, 8.319078779661017016e-11, 5.470417755104184684e-10, 4.513997760651329639e-10, 3.041066267614242011e-10, 8.684194435080267571e-11, 3.597922770159759548e-10, 2.121395605812979524e-10, 4.156892706868043725e-11, 8.350224481246596017e-11
2.075000000000000000e+03, 9.991569019977601747e-11, 6.473280638700645009e-10, 4.397374841405605202e-10, 3.321417924458337582e-10, 9.050325278429158300e-11, 3.817760108472824030e-10, 2.719495144777410506e-10, 4.184609236612121135e-11, 8.257429267810507715e-11
2.076000000000000000e+03, 1.335947786404544698e-10, 7.097541032676916227e-10, 4.476455657955008800e-10, 3.097463845370366437e-10, 8.543662839564874232e-11, 3.687123574192103743e-10, 2.308015196803701919e-10, 4.182734828752786454e-11, 8.108747729544710965e-11
2.077000000000000000e+03, 1.116986966816506007e-10, 7.375987089566400345e-10, 4.593485791462561913e-10, 3.021341001481923370e-10, 8.438903299312966689e-11, 3.621223029466360750e-10, 1.799287674449185942e-10, 4.163899021261760282e-11, 7.965163283061496578e-11
2.078000000000000000e+03, 8.447295795101513478e-11, 6.771975560216589063e-10, 4.539013656610798348e-10, 2.756292460393258724e-10, 8.401792080801972240e-11, 3.641022541956765376e-10, 1.982799541226717623e-10, 4.113829186888412045e-11, 7.916714542941269086e-11
2.079000000000000000e+03, 7.683159570866124809e-11, 6.305532146061439590e-10, 4.598063622731830083e-10, 2.715962135205723433e-10, 8.340408822551110844e-11, 3.691914463068084896e-10, 1.832479105721974672e-10, 4.019068122861898673e-11, 7.734925441191733884e-11
2.080000000000000000e+03, 8.110806424957468423e-11, 6.175185540443777062e-10, 4.796600116843533663e-10, 3.276528773967695117e-10, 8.224107364076807907e-11, 3.829087242442279573e-10, 2.091567585509543041e-10, 4.003835445037241533e-11, 7.547071634026383262e-11
2.081000000000000000e+03, 9.602127625291091969e-11, 6.225527760155845849e-10, 4.657413883648681134e-10, 2.661070008267388974e-10, 8.179402321109914046e-11, 3.581185430213953810e-10, 2.232637117049038177e-10, 4.936586374270889887e-11, 7.503444605241579165e-11
2.082000000000000000e+03, 9.874741812068331580e-11, 5.531952239158361263e-10, 4.689925308981223626e-10, 3.057012298939758543e-10, 8.165826450803630080e-11, 4.007247635005973798e-10, 2.250005892668836943e-10, 3.924411336646872292e-11, 8.568416900228042490e-11
2.083000000000000000e+03, 8.502882451708843281e-11, 6.845312475810201050e-10, 4.674243578100175208e-10, 3.307280277909123969e-10, 7.944743571315160035e-11, 3.923188379499146890e-10, 3.298811524268285518e-10, 3.868040679130954813e-11, 7.305911936894547477e-11
2.084000000000000000e+03, 1.029697974267203510e-10, 5.531875274586569207e-10, 4.615467546597158800e-10, 2.636883827775537106e-10, 7.657013159248325338e-11, 3.957888895731497848e-10, 4.021160899991605746e-10, 3.832253823033496334e-11, 7.189816252248080540e-11
2.085000000000000000e+03, 9.366146712536762596e-11, 7.135741600689885902e-10, 4.624964555997471299e-10, 3.044306898339918045e-10, 7.581066416905769038e-11, 3.766221147645939622e-10, 3.470956842511613329e-10, 3.822468442670846116e-11, 7.114214744833091420e-11
2.086000000000000000e+03, 1.142204451072231698e-10, 6.583573851729694870e-10, 4.660731388713538811e-10, 2.932179352262208695e-10, 7.443570470422069782e-11, 4.002502468399762571e-10, 2.214262501189540505e-10, 3.800582098608924334e-11, 7.088442652946356384e-11
2.087000000000000000e+03, 1.248592487258025986e-10, 7.898289063648727574e-10, 4.592837878443691006e-10, 2.811586017465323657e-10, 7.250669859622172736e-11, 3.995548420613865946e-10, 2.807214132785399874e-10, 3.779064722441086075e-11, 7.032169502223189935e-11
2.088000000000000000e+03, 1.113936094845858339e-10, 8.019481813224253970e-10, 4.655645739176771856e-10, 2.866723201770398626e-10, 7.188370923509054973e-11, 3.959601229555084834e-10, 2.424592208121035892e-10, 3.771795659322149058e-11, 6.887630072955467140e-11
2.089000000000000000e+03, 1.053862322427909451e-10, 6.205096534805895429e-10, 4.611807844078159047e-10, 3.379652904997429560e-10, 7.159119786693210290e-11, 3.783337556099756531e-10, 2.170275302820714144e-10, 3.740349570949015255e-11, 6.838286531757280297e-11
2.090000000000000000e+03, 9.313782459196565175e-11, 7.376100053906963469e-10, 4.563532391980331861e-10, 3.486772251239902627e-10, 7.098249696449472986e-11, 3.575630956849458599e-10, 3.024554328870697375e-10, 3.647831012892671600e-11, 6.765613174982512261e-11
2.091000000000000000e+03, 9.289767104318097680e-11, 7.168699286631000701e-10, 4.690191537825770388e-10, 2.797366184605418606e-10, 6.998613433375512442e-11, 4.094164630868315272e-10, 2.457038188060880844e-10, 3.552010339449977765e-11, 6.661595967239566691e-11
2.092000000000000000e+03, 1.088099920320868066e-10, 6.415029869602351082e-10, 4.735151151060142472e-10, 2.984564941479841381e-10, 6.923828899156644052e-11, 3.984465073564341788e-10, 1.896861288727880239e-10, 3.528369977575216634e-11, 6.592526481035735351e-11
2.093000000000000000e+03, 1.045106221708627181e-10, 6.813656816506282454e-10, 4.691219505098961847e-10, 3.067308629686050554e-10, 6.858224563121341606e-11, 3.929768841259381003e-10, 2.033685597797064099e-10, 3.500691602997035681e-11, 6.535722673478281501e-11
2.094000000000000000e+03, 1.063697648481174679e-10, 5.693041648826117312e-10, 4.805759962427928111e-10, 3.327441929152925853e-10, 6.782493212095406684e-11, 3.900374138849103269e-10, 2.718769806809279819e-10, 3.454392667811743401e-11, 6.467315779709199667e-11
2.095000000000000000e+03, 1.044874112437103150e-10, 6.493651059811618481e-10, 4.602189675901359488e-10, 3.312814790165419574e-10, 6.626941466521760690e-11, 3.699077356733587358e-10, 3.098267712710171796e-10, 3.385385011420584559e-11, 6.360801148753315361e-11
2.096000000000000000e+03, 9.342510883596728772e-11, 5.814867497346549589e-10, 4.621862740029989854e-10, 3.300335083833104090e-10, 6.489243277194092572e-11, 3.620917531337185128e-10, 3.195521738285764589e-10, 3.339620417649159991e-11, 6.220564301771063121e-11
2.097000000000000000e+03, 9.638724586484785414e-11, 6.346326319908975276e-10, 4.666407559727250124e-10, 3.243411301872153301e-10, 6.396729292508149691e-11, 4.284647984865798222e-10, 2.079486363369501396e-10, 3.320350612278613463e-11, 6.130853250269573851e-11
2.098000000000000000e+03, 1.015232096958926898e-10, 6.403549467132251252e-10, 4.687031560277998670e-10, 2.884475330490909598e-10, 6.361308334359617299e-11, 3.703772643401113246e-10, 2.921615732007697619e-10, 3.304795895446434332e-11, 6.084965530228257254e-11
2.099000000000000000e+03, 9.442408070429527960e-11, 7.104573165311664014e-10, 4.601555673429712840e-10, 3.248131048866979856e-10, 6.333447302739567233e-11, 3.974137938726871134e-10, 1.950401334691365428e-10, 2.925309455096594693e-11, 6.005757406284920154e-11
2.100000000000000000e+03, 7.722707023324143850e-11, 6.402878124400800644e-10, 4.635229740891040412e-10, 2.963096914270414957e-10, 6.050549465484165772e-11, 3.628453847816435093e-10, 1.770936123979763128e-10, 2.928441560200436608e-11, 5.557964124400806032e-11
