year, MIROC-ES2L, CNRM-ESM2-1, NorESM2-LM, CESM2-WACCM, UKESM1-0-LL, CMCC-CM2-SR5, NorESM2-MM, INM-CM5-0, GFDL-ESM4, ACCESS-ESM1-5, INM-CM4-8, MPI-ESM1-2-LR, IPSL-CM6A-LR, EC-Earth3-Veg, TaiESM1, CanESM5
2.035000000000000000e+03, 1.223412105686615980e+01, 9.939180056008556363e+00, 1.093364960747281600e+01, 1.176630962948964942e+01, 1.284520839339721121e+01, 1.124097314728247810e+01, 1.034606073254059311e+01, 1.030887899735228252e+01, 1.183202718550385413e+01, 9.574503185853975751e+00, 9.911299159816442383e+00, 1.185371618825843676e+01, 1.031366066403624693e+01, 9.978329285048133102e+00, 7.762217701703042039e+00, 1.133705088416505902e+01
2.036000000000000000e+03, 1.312495554124439678e+01, 1.010232319126421707e+01, 1.094225073889774613e+01, 1.175102085379191053e+01, 1.267467325195177352e+01, 1.189123153984676584e+01, 1.025119248351743018e+01, 1.085025733453761987e+01, 1.156475307743756176e+01, 9.658624586469162665e+00, 9.833105051606274571e+00, 1.244996456640559757e+01, 9.871446065488076016e+00, 9.770891835570544970e+00, 7.819497399939509208e+00, 1.254492806827314766e+01
2.037000000000000000e+03, 1.257513170146762782e+01, 1.057930885224689632e+01, 1.117324520527914977e+01, 1.157383777202284314e+01, 1.270710131401514431e+01, 1.166290947893688568e+01, 1.056086724750564976e+01, 1.070875296843800406e+01, 1.216424663755056024e+01, 9.556009387954771839e+00, 9.765520860187105967e+00, 1.142234171344204796e+01, 1.010282861231697638e+01, 9.470924052955679073e+00, 7.637115331152163122e+00, 1.254304617253777643e+01
2.038000000000000000e+03, 1.248367130120303869e+01, 1.017813567786611451e+01, 1.062034436034156215e+01, 1.141812223897463952e+01, 1.283977260948188182e+01, 1.103282429523725483e+01, 1.023625446193855559e+01, 1.055857927102526439e+01, 1.168389467196480247e+01, 9.297792222661643180e+00, 9.622275509896473622e+00, 1.201860184375468776e+01, 1.002505730513937721e+01, 1.023643883357043016e+01, 7.626040154313099784e+00, 1.282618096885399517e+01
2.039000000000000000e+03, 1.210539031211548888e+01, 1.082495220659535207e+01, 1.119020002685636150e+01, 1.183054367655905281e+01, 1.252971408788236474e+01, 1.111801053208459500e+01, 1.105225374204215782e+01, 1.079477436059716133e+01, 1.191615142254930326e+01, 9.408504663536012558e+00, 1.038401586834392987e+01, 1.252510252602859531e+01, 1.015709241308622701e+01, 9.429794208362681118e+00, 7.899784800326907330e+00, 1.284423436588194178e+01
2.040000000000000000e+03, 1.300819403460056201e+01, 1.089896104631338503e+01, 1.111416940097472761e+01, 1.201887949247860732e+01, 1.272620880395381882e+01, 1.049908736524352904e+01, 1.082359181969779804e+01, 1.060972514068940420e+01, 1.252183514733406078e+01, 9.398368582443747954e+00, 9.433421081143883669e+00, 1.232133293580388766e+01, 1.019821079741517700e+01, 8.897726610599201891e+00, 8.175105291408110375e+00, 1.273304332568563346e+01
2.041000000000000000e+03, 1.225033916498936648e+01, 1.059316729558298498e+01, 1.108823441942662669e+01, 1.226910129392222792e+01, 1.346595025109329491e+01, 1.091205582814129293e+01, 1.081442619821795148e+01, 1.065279311586764166e+01, 1.200352105399963065e+01, 9.581720451203640465e+00, 9.200263641789250713e+00, 1.281538793996090320e+01, 1.032851279192720106e+01, 9.839865475970405839e+00, 8.312205831372963871e+00, 1.299431926574661311e+01
2.042000000000000000e+03, 1.333129960260623648e+01, 1.092266569890846561e+01, 1.052773711662067591e+01, 1.284428255491129001e+01, 1.363402148727608321e+01, 1.140420708147394357e+01, 1.188656652656550605e+01, 1.004273136171714675e+01, 1.121283459692544326e+01, 9.711343195471904721e+00, 1.010975441740084868e+01, 1.275437929693145733e+01, 1.035558060555491444e+01, 9.226351760116916267e+00, 7.845220531890046978e+00, 1.236753022152618975e+01
2.043000000000000000e+03, 1.305997512704241892e+01, 1.112966831624331121e+01, 9.758340491867626199e+00, 1.155259329372744936e+01, 1.380123820881021501e+01, 1.201945461014737937e+01, 1.144700969476473773e+01, 1.082375333394602634e+01, 1.225293850257850004e+01, 9.498800961518522712e+00, 9.999322203100554418e+00, 1.171802260897470838e+01, 1.043004702007452877e+01, 1.001926897174734066e+01, 8.011956386614620840e+00, 1.279886416687608630e+01
2.044000000000000000e+03, 1.302343594369354918e+01, 1.060180769783618793e+01, 1.025352364157649276e+01, 1.263654521518908957e+01, 1.347984949761505469e+01, 1.175824965441805858e+01, 1.182970922250346391e+01, 1.034157230006925587e+01, 1.203111568551894628e+01, 9.805015809947063232e+00, 9.547182799711302792e+00, 1.309155629752618388e+01, 1.026757441776024926e+01, 1.028472961232807670e+01, 7.804110299489374292e+00, 1.309260461904807471e+01
