year, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, MIROC-ES2L, ACCESS-ESM1-5, CMCC-CM2-SR5, CNRM-ESM2-1, TaiESM1, IPSL-CM6A-LR, GFDL-ESM4, UKESM1-0-LL, CESM2-WACCM, INM-CM4-8, NorESM2-LM, MPI-ESM1-2-LR, CanESM5
2.051000000000000000e+03, 6.548134406085146964e+01, 2.994039563970583018e+01, 6.357390559631095783e+01, 5.986570696824229287e+01, 9.673097013193290650e+01, 4.274957366714771467e+01, 7.773269991331743256e+01, 3.035023276475563137e+01, 3.323112676928817422e+01, 7.570176205682281534e+01, 5.242871755182983406e+01, 7.159453525186674483e+01, 6.289579039695855300e+01, 6.436683234491455607e+01, 4.025264699347589215e+01, 6.953068628918900629e+01
2.052000000000000000e+03, 6.565363947346600071e+01, 3.015109472738323859e+01, 6.367324806050483232e+01, 6.007653277387517221e+01, 9.702209401882545592e+01, 4.260606549897812556e+01, 7.821994245917498745e+01, 3.049661463227666758e+01, 3.351244394610301214e+01, 7.584829558616479517e+01, 5.278296717513796210e+01, 7.214626746496882959e+01, 6.314672830981299967e+01, 6.473089357625080709e+01, 4.034498289536209370e+01, 6.997284955878303947e+01
2.053000000000000000e+03, 6.572354281611130489e+01, 3.025585635606144308e+01, 6.390627621926122259e+01, 6.040727556169987622e+01, 9.729524146401240614e+01, 4.298267001779885987e+01, 7.842563113970308564e+01, 3.057723718839346461e+01, 3.390130690637872135e+01, 7.613903961361614847e+01, 5.296181959541746664e+01, 7.227530109332674613e+01, 6.333755457515452036e+01, 6.475612127768184223e+01, 4.053419474771860820e+01, 7.058720960784185650e+01
2.054000000000000000e+03, 6.583793581670590811e+01, 3.055204558826913441e+01, 6.398841218056988822e+01, 6.069909379254628590e+01, 9.758002162386655698e+01, 4.346671865113388122e+01, 7.865246604344400794e+01, 3.073530707364287551e+01, 3.422690977379575372e+01, 7.634745728792387354e+01, 5.302243699085685336e+01, 7.235609196852570335e+01, 6.351559350262479597e+01, 6.481447813544608039e+01, 4.070761654845385635e+01, 7.128957812568944519e+01
2.055000000000000000e+03, 6.600516551776740926e+01, 3.079958016204165006e+01, 6.416718572424346689e+01, 6.093286831915111890e+01, 9.787384498587971393e+01, 4.340690841831702329e+01, 7.880948555754301310e+01, 3.084693619097628670e+01, 3.469447917101172152e+01, 7.685495963809414377e+01, 5.316116875235643846e+01, 7.258177842808485991e+01, 6.359535335555569446e+01, 6.533298883776188859e+01, 4.082135314968553530e+01, 7.182609299926268420e+01
2.056000000000000000e+03, 6.617872224219088650e+01, 3.088421259235016336e+01, 6.440435396447247740e+01, 6.096083688015578161e+01, 9.807841876469758802e+01, 4.317443945760525992e+01, 7.899966785922651979e+01, 3.086862465011009959e+01, 3.501175687913393375e+01, 7.746177739750254432e+01, 5.336083739872724152e+01, 7.255757415733000926e+01, 6.363308598992603748e+01, 6.582384754682591677e+01, 4.089169465013822702e+01, 7.214245891014031997e+01
2.057000000000000000e+03, 6.623320957166075118e+01, 3.126267847361816976e+01, 6.462975241911216528e+01, 6.098565982585239453e+01, 9.817321366835987817e+01, 4.321310065989091242e+01, 7.934400229693672202e+01, 3.103146757663591515e+01, 3.542386562711534026e+01, 7.777696490983866795e+01, 5.354057973414067817e+01, 7.272115515855462320e+01, 6.372662025661548313e+01, 6.576821971788473320e+01, 4.099199582694551225e+01, 7.294640042590138762e+01
2.058000000000000000e+03, 6.632345526856566664e+01, 3.179113265813690603e+01, 6.488338866321431908e+01, 6.108997383175785956e+01, 9.840495572320760687e+01, 4.343057864464243778e+01, 7.973546299411981408e+01, 3.102030562906114852e+01, 3.582198366200488948e+01, 7.803581787606974274e+01, 5.377728115205092507e+01, 7.280346569006312052e+01, 6.402978674892258937e+01, 6.585808287823978446e+01, 4.109173898067828645e+01, 7.333683615879438378e+01
2.059000000000000000e+03, 6.642045254751637628e+01, 3.199384441087547870e+01, 6.523898101814695849e+01, 6.106494564041670969e+01, 9.878978144890672297e+01, 4.365674642398229111e+01, 7.989996067343392383e+01, 3.101623530802284279e+01, 3.593047209218841687e+01, 7.813921749623817448e+01, 5.412151178104889482e+01, 7.298646974279303379e+01, 6.407254849169193278e+01, 6.621630205511500833e+01, 4.103206138770712386e+01, 7.355430359628259396e+01
2.060000000000000000e+03, 6.646407687061012837e+01, 3.214695888319884887e+01, 6.542476554075139461e+01, 6.127756046358446440e+01, 9.903771421763345018e+01, 4.339412311830835023e+01, 8.011364216258530746e+01, 3.134452615907090589e+01, 3.621251682998479282e+01, 7.850316899722750463e+01, 5.445944510467240463e+01, 7.310097643801759659e+01, 6.397072449025473162e+01, 6.660483340689444276e+01, 4.104890600448411675e+01, 7.400923900080032070e+01
