year, NorESM2-LM, ACCESS-ESM1-5, MIROC-ES2L, NorESM2-MM, GFDL-ESM4, CanESM5, INM-CM5-0, CESM2-WACCM, CMCC-ESM2, INM-CM4-8, UKESM1-0-LL, EC-Earth3-Veg, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, IPSL-CM6A-LR
2.041000000000000000e+03, 1.419767763713052799e+00, 1.279377721803280910e+00, 1.164353192073960708e+00, 1.404976399347533045e+00, 2.296550101744591732e+00, 1.278315171730424193e+00, 1.616644656877139319e+00, 1.520754303234722382e+00, 2.191857418594394424e+00, 1.652055897434971499e+00, 2.331361719310633074e+00, 1.684568467076662301e+00, 1.404780368446711947e+00, 1.701936724621644581e+00, 1.271756328479088261e+00, 1.611359521025938379e+00
2.042000000000000000e+03, 1.452267950970125288e+00, 1.266620936008836740e+00, 1.170765268570610917e+00, 1.416208132872728287e+00, 2.261546117777362586e+00, 1.304483282625784835e+00, 1.579854637346288060e+00, 1.462175631177229596e+00, 2.338754960299617380e+00, 1.640002125405211064e+00, 2.415078436548334651e+00, 1.677069048815735375e+00, 1.424959744718528265e+00, 1.823357464885413393e+00, 1.327378723034549513e+00, 1.590684042506434359e+00
2.043000000000000000e+03, 1.436736343857428100e+00, 1.273478154770115278e+00, 1.196830421458952243e+00, 1.432484636869552963e+00, 2.249041352859730836e+00, 1.320021339704393615e+00, 1.605937260842988046e+00, 1.428279115714501390e+00, 2.478785744861600637e+00, 1.643872440517927247e+00, 2.453880685700238651e+00, 1.663590389620986265e+00, 1.422555102195404375e+00, 1.795490508175730859e+00, 1.338465945418788605e+00, 1.566202920883026151e+00
2.044000000000000000e+03, 1.447078143314916021e+00, 1.285378942360411614e+00, 1.203546276200538001e+00, 1.436940113959506826e+00, 2.159600793664740781e+00, 1.307807642296601180e+00, 1.665310634825759584e+00, 1.454268584307095935e+00, 2.481091971732018120e+00, 1.652478760649967349e+00, 2.443938404169456735e+00, 1.626384525903199929e+00, 1.400749543377072248e+00, 1.843215794313596723e+00, 1.241370963846608610e+00, 1.552892134535934554e+00
2.045000000000000000e+03, 1.432199884338794194e+00, 1.284051080518704868e+00, 1.178841356414707553e+00, 1.434115205452908715e+00, 2.260895266015959137e+00, 1.330071338324591235e+00, 1.650177158078871553e+00, 1.474252374469011917e+00, 2.371755133160223128e+00, 1.598213903499015043e+00, 2.448346167808054030e+00, 1.666842417683546351e+00, 1.428776476463106793e+00, 1.781848804453473045e+00, 1.231583065452591219e+00, 1.556298369168225948e+00
2.046000000000000000e+03, 1.425568986201622090e+00, 1.278044254359386400e+00, 1.174247852585637908e+00, 1.419226714760877917e+00, 2.254626510012128993e+00, 1.298542332808950706e+00, 1.696697255484211242e+00, 1.505634288241115337e+00, 2.426811761743687512e+00, 1.653709174842278307e+00, 2.492343987217372714e+00, 1.763861661568027595e+00, 1.409343995205027733e+00, 1.629990272183353905e+00, 1.298403727024502574e+00, 1.541574644230582658e+00
2.047000000000000000e+03, 1.405615149830051314e+00, 1.243162032996419919e+00, 1.197711164543297402e+00, 1.420513921376703292e+00, 2.271631378240484000e+00, 1.324931941790666423e+00, 1.683077749195560635e+00, 1.500541137816572279e+00, 2.460626826202140904e+00, 1.663296318527650142e+00, 2.474011748648027531e+00, 1.695304354781525857e+00, 1.419578429433769884e+00, 1.642284270844731608e+00, 1.325316430670534729e+00, 1.523512962833379891e+00
2.048000000000000000e+03, 1.471097019509582271e+00, 1.238532282950385754e+00, 1.195642362397263403e+00, 1.417053422321876255e+00, 2.244451415700246422e+00, 1.305802238831540230e+00, 1.651006581196198253e+00, 1.511291427461149750e+00, 2.409786648715038559e+00, 1.655262060431670124e+00, 2.428745186883102036e+00, 1.712068170643799681e+00, 1.417208969152934595e+00, 1.783168916831494144e+00, 1.278852988931755696e+00, 1.559336822857833482e+00
2.049000000000000000e+03, 1.484738561643021093e+00, 1.251705353178039326e+00, 1.210140886364948987e+00, 1.405144029262738847e+00, 2.267309535396831333e+00, 1.342340152728751068e+00, 1.583861337994662222e+00, 1.498586805654202658e+00, 2.442019502980095069e+00, 1.639077607973727924e+00, 2.430866120938709685e+00, 1.686254288805363100e+00, 1.431443217610758989e+00, 1.923855726260023769e+00, 1.305563530287932705e+00, 1.579351185153216930e+00
2.050000000000000000e+03, 1.482496665305045314e+00, 1.290706232218142180e+00, 1.216528419275610506e+00, 1.451892275644250940e+00, 2.202853855415882300e+00, 1.322151552212914583e+00, 1.631280839337353683e+00, 1.539292935710459886e+00, 2.498335472486219011e+00, 1.634919076352301603e+00, 2.447368253999893550e+00, 1.680284091324441897e+00, 1.391277750596626284e+00, 1.918116415446829981e+00, 1.298467560883438843e+00, 1.588668875567606831e+00
2.051000000000000000e+03, 1.441226873720591994e+00, 1.282118010231166672e+00, 1.196025069319249123e+00, 1.425994086476956468e+00, 2.264800114978328782e+00, 1.337585958708904510e+00, 1.658567568558912741e+00, 1.540426654428832975e+00, 2.413857312289985124e+00, 1.647742474621240349e+00, 2.461053227838382096e+00, 1.655045574818393650e+00, 1.417665548012099430e+00, 1.727724037812206515e+00, 1.271266136373886413e+00, 1.523918396472117687e+00
