year, INM-CM5-0, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, TaiESM1, NorESM2-LM, MPI-ESM1-2-LR, INM-CM4-8, CNRM-ESM2-1, CESM2-WACCM, GFDL-ESM4, IPSL-CM6A-LR, UKESM1-0-LL, CanESM5, ACCESS-ESM1-5, EC-Earth3-Veg
2.038000000000000000e+03, -6.395411396446125385e-02, 4.802754541105643815e-01, 4.958474192504752076e-01, 7.533714437581097156e-01, -1.775013190948431310e-02, 5.600609865020633737e-01, 4.972007153718789318e-01, 9.420841191300495243e-01, 8.193352554369638385e-01, 4.892175507121089839e-01, 4.160634584280575310e-01, 1.086444935095377096e+00, 3.509265190969241832e-01, 7.458197029778741438e-01, 4.352427113067696141e-01, 3.998858076311571641e-01
2.039000000000000000e+03, 1.947477536450072655e-01, 5.004294748230105894e-01, 3.302980617323865165e-01, 5.537240025576748437e-01, -9.965349230205930442e-02, 3.593971277131990383e-01, 3.339837902959255644e-01, 1.978939273000710208e-01, 9.193618827159963924e-01, 6.390634143091169506e-01, 2.678143559185368616e-01, 1.131223701314036933e+00, 5.983545558146231569e-01, 9.016112892637875298e-01, 6.254445982210938837e-01, 1.325053742781105992e-01
2.040000000000000000e+03, 8.517158924803406306e-01, 1.461324049395820168e-01, -3.675635405596245492e-02, 5.385207753123039121e-01, -1.420614085968020246e-01, 5.224675701890284518e-01, -6.363073373693024781e-02, 4.813377549059035254e-01, 1.150661286155542307e+00, 6.061570277122271255e-01, 5.115892484332298373e-01, 7.771516422604363150e-01, -1.671659019081412068e-01, 3.938884607321330167e-01, 4.554739087405482723e-01, 6.419510401094439267e-01
2.041000000000000000e+03, -1.551938793059475019e+00, -6.831971875889701895e-01, 8.365582542373399821e-01, 4.357500328509406051e-01, 6.627431029453718647e-01, 4.985976542953438617e-01, 6.359639654612484483e-01, 7.149324991583789757e-01, 9.822179206056294021e-01, 5.125190868638278552e-01, 9.491233728895170918e-01, 1.046367373936240464e+00, -1.171099990701708893e-01, 6.568361814279611854e-01, 2.847979547153886015e-01, 5.913530279713760107e-01
2.042000000000000000e+03, -4.217010907944103715e-01, 5.436671828671383322e-01, 3.012356167239647609e-01, 5.480971203917223145e-01, 1.221441934741442081e-01, 5.508487102027059823e-01, 1.518184479209394866e-01, 3.839416315368402444e-01, 9.464069363629445952e-01, 3.616208963641890373e-01, 3.248110349045332246e-01, 8.637845076250595389e-01, 4.491228978413027151e-01, 6.531542086946727776e-01, 1.262628388610010921e-01, 8.745584662007976906e-02
2.043000000000000000e+03, -4.408970286556120888e-01, 8.664070475769545254e-01, 3.899119386110916352e-01, 5.715187990057751799e-01, -6.096638303825415058e-03, 4.588603360433008982e-01, 5.500903811414538103e-01, 1.448691573389422893e-01, 8.654002003683578526e-01, 3.187642160834147087e-01, 4.977509815903192747e-01, 2.577413747696728485e-01, 9.160820901290598339e-01, 1.223958678159972946e+00, 3.859425841657909140e-01, 4.367380079202577425e-01
2.044000000000000000e+03, 8.085515541282833896e-01, -7.856346748086572296e-01, 4.651529101912169617e-01, 7.438620739773681434e-01, 1.641639773452578943e-01, 5.477327740876343221e-01, 2.528963331577591123e-01, 4.111551733986752444e-01, 4.734348473523430356e-01, 5.329681530695959957e-01, -9.787886707492594873e-02, 4.780880393200813705e-01, 4.458544602185743888e-01, 5.920224979891998141e-01, 4.362336806347321128e-01, -1.932131368580381203e-01
2.045000000000000000e+03, 6.797274443272013356e-01, -8.407762597922135983e-02, 5.579609784436030395e-01, 4.127883480529965787e-01, -2.797828482321874644e-01, 2.342380167510594580e-01, 3.374401642901967424e-01, 4.174748943596788830e-01, 5.569706273037982047e-01, 3.991885424180849906e-01, 9.575802358402932812e-01, 8.298677371270953840e-01, 7.475714293603199501e-01, 8.842326500276189716e-01, 4.301988713724084756e-01, 1.420474352865868095e+00
2.046000000000000000e+03, 1.134973075376255247e+00, 9.116588073492037925e-01, 7.750073492314762946e-01, 5.923988809686602242e-01, -3.825747888374680938e-01, 4.306892506640093710e-01, -1.745642226978917910e-01, 7.734666699628829356e-01, 1.049714263789546465e+00, 7.423004131900565739e-01, 1.195764152224221555e-01, 3.017159718443208627e-01, 5.493535373498051877e-01, 4.402934536871421778e-01, 3.304182558640306189e-01, 1.112279300494737333e+00
2.047000000000000000e+03, 8.733321415217623063e-01, 1.829542843781463701e-01, 4.167364367250914192e-01, 4.303276897504811349e-01, 4.532915849160057964e-01, 5.009241491862608253e-01, 1.499781768026391404e-01, 6.110658839563608558e-01, 9.801840053127969243e-01, 6.090563707252993897e-01, 7.541076004234191776e-01, 4.336412796048706997e-01, 7.314907528925567171e-01, 7.260869148465642908e-01, -1.275644497615201489e-01, -2.694069319285153363e-01
2.048000000000000000e+03, 4.173057643616547852e-01, 5.270111003206681133e-01, 7.961502910601157001e-01, 5.317427403778054451e-01, 7.074660050493970509e-01, 6.699641032598093737e-01, 2.543109421652939850e-01, 9.878283974538248913e-01, 7.819502987283869500e-01, 3.343665348798033898e-01, 5.923105711877958424e-01, 7.597047806754453347e-01, 5.020770484562323555e-01, 3.018509528549278564e-01, 1.104897226069252864e-01, 5.982497999318573401e-01
2.049000000000000000e+03, -2.012660107794822795e-01, -1.342749032940050435e-01, 7.506649778053987587e-01, 4.171483376761039863e-01, 2.896774058478175928e-01, 3.576962904011726230e-01, 5.353221168024617782e-01, 3.805903734979536046e-01, 8.028913049109703826e-01, 6.156593417147535607e-01, 8.038960109654162967e-01, 7.786598959097710271e-01, 3.670788354506084317e-01, 7.255621785955224112e-01, 1.315274639366747766e-01, 3.092827895811318673e-01
2.050000000000000000e+03, -3.073393130341667834e-01, 1.123494446864174434e-01, 4.745395213727857664e-01, 4.708423294789310654e-01, -4.949580060477740684e-01, 4.422814289071357319e-01, -2.401128524614810564e-02, 7.311713032822665381e-01, 6.635704465753206049e-01, 6.584992224440245900e-01, -2.643235788152580312e-01, 9.978887547826307269e-01, 1.784501138113071816e-01, 3.325520222474337984e-01, 8.269181236386390355e-01, -6.179077644744427472e-02
2.051000000000000000e+03, 7.187212043559420005e-01, 4.400197130297135439e-01, 4.936247947215516851e-01, 5.779082231202622433e-01, -3.742090048076074926e-01, 4.991744522421237562e-01, 2.282943160496422597e-01, 5.493693432780831776e-01, 7.400862385389788134e-01, 3.874105945977504573e-01, 9.397809599709485706e-01, 6.968363823637549470e-02, 6.658134010323116803e-01, 4.405598591087193650e-01, 2.178967551313203688e-01, 4.638823522447047543e-01
2.052000000000000000e+03, -2.726007400975349881e-01, 1.883931813419563728e-01, -1.878344904466143148e-02, 5.338115020443814362e-01, 1.227060356952821008e-01, 4.805532650586870624e-01, 4.979676891714339693e-01, -7.655756105985267110e-03, 5.784462510989464290e-01, 4.913804251453233185e-01, 7.112569251835956230e-01, 4.129195876924238728e-01, 3.049435223748492296e-01, 1.149364752359318897e+00, -1.331939654030390441e-01, 8.203600066278722291e-01
2.053000000000000000e+03, -1.566982120417375890e-01, -3.024987719817639475e-01, 3.173820704598953601e-01, 5.440988694940798176e-01, 4.346905690290214785e-01, 4.165507031013471750e-01, 3.432073772384662269e-01, 4.475029963095700780e-01, 7.952127984273191785e-01, 4.111332110625700587e-01, -2.632145965345329339e-02, 5.592434571378231967e-01, 1.953405873570176754e-01, 3.922716055692758164e-01, 4.175014380335410613e-01, 2.212354109846582650e-01
2.054000000000000000e+03, 1.263141085772543915e-01, 4.362311405645504236e-01, 1.901696444427321830e-01, 4.471828847817585495e-01, 4.654776564279519691e-01, 3.165224131769207028e-01, 4.912098309319553602e-01, 4.614159817383494677e-01, 8.960931539733021367e-01, 2.368618407314706797e-01, 3.861770581224538423e-01, 8.232601023487866598e-01, 5.133936684838804471e-02, 4.736903430073416965e-01, 2.966545127530208492e-01, 2.042101123234373317e-01
2.055000000000000000e+03, 3.061362999502842963e-01, 5.260708641605611469e-01, 1.606571716583559684e-01, 4.134320049215471915e-01, 1.645142718628421763e-01, 5.537110749986283720e-01, 2.376260410476090379e-01, -4.292998759033516687e-01, 5.750162587155721594e-01, 6.029646446672950466e-01, 8.669538337282429730e-01, 6.718148257739806617e-01, 5.862425258477742540e-01, 7.184253236500617312e-01, 6.831323945079736080e-03, 5.911533968786171211e-01
2.056000000000000000e+03, -3.008125034216385663e-01, 2.428333741033048276e-01, 2.704024920463009019e-01, 3.508758373756356574e-01, -6.479184676764055961e-01, 3.207501368014546994e-01, -1.314694324609412719e-02, -3.052248789111218774e-01, 1.105579174553684041e+00, 4.138637338434356661e-01, 8.375688680871350433e-01, 6.683829235533209623e-01, 4.356767687419342838e-01, 1.951924940678411158e-01, 5.802553212530541238e-01, -1.165948233355858371e-01
2.057000000000000000e+03, 2.406673438320203195e-01, -1.087390947645708317e-02, 4.032404510806861242e-02, 2.635414391367384424e-01, 2.375007621349299880e-01, 6.735279621686680596e-01, 6.732511570637100817e-01, -1.405746669793475345e-01, 6.191598100379833713e-01, 4.369540620579902002e-01, 5.838801368260269076e-01, 7.227957987307157550e-01, 1.384635790784201903e-01, 5.988185058477474287e-01, 5.844709554675836527e-01, 1.552446390645080276e-01
2.058000000000000000e+03, -4.010955954224974113e-02, -1.364637116532894767e+00, -1.455534827238807172e-01, 4.563453957795314264e-01, 5.927887944071525972e-01, 5.137400073194613448e-01, 2.614224323337355771e-01, 4.907322965941647852e-01, 8.390783749492866095e-01, 3.704766957174662756e-01, 3.019758166738060190e-01, 8.422390656037036516e-01, 1.344802453295436406e-01, 8.420129697423729409e-01, 9.402283731809101264e-01, 7.778974810122550876e-01
