year, NorESM2-MM, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, CNRM-ESM2-1, EC-Earth3-Veg, GFDL-ESM4, TaiESM1, NorESM2-MM, CESM2-WACCM, NorESM2-LM, MPI-ESM1-2-LR
2.043000000000000000e+03, 1.504968488099074917e-10, 8.837395330925623362e-10, 2.393262913474360717e-10, 7.509913620975500887e-10, 7.509913620975500887e-10, 3.810225153222993750e-10, 8.872235415681981781e-10, 2.393262913474360717e-10, 1.504968488099074917e-10, 1.760099582095103572e-10, 1.275520421102725244e-10, 6.001594708005657043e-10
2.044000000000000000e+03, 2.399289281424464150e-10, 1.180935110002503039e-09, 2.332833242080335208e-10, 9.716249254804442008e-10, 9.716249254804442008e-10, 5.864652724922614409e-10, 1.184367154071828036e-09, 2.332833242080335208e-10, 2.399289281424464150e-10, 2.045114696651474479e-10, 1.104999620145296960e-10, 7.600324024225405444e-10
2.045000000000000000e+03, 1.829263127176603992e-10, 6.848017492730911441e-10, 2.450861058188732869e-10, 7.220458660719486174e-10, 7.220458660719486174e-10, 4.047316261714187607e-10, 6.881496982206495657e-10, 2.450861058188732869e-10, 1.829263127176603992e-10, 2.435207763207662030e-10, 1.162532337936685641e-10, 6.510264182099661111e-10
2.046000000000000000e+03, 2.571784880822519873e-10, 8.960711891116684220e-10, 2.797092703909326545e-10, 6.134497921326718811e-10, 6.134497921326718811e-10, 3.566275893310206315e-10, 8.995038500549511930e-10, 2.797092703909326545e-10, 2.571784880822519873e-10, 1.701251792907715634e-10, 1.637949587501558964e-10, 6.734102860929100908e-10
2.047000000000000000e+03, 2.462032322001516439e-10, 6.784007663688867719e-10, 2.248881312409187302e-10, 7.086393726704947371e-10, 7.086393726704947371e-10, 5.989039912009215548e-10, 6.817577308056063476e-10, 2.248881312409187302e-10, 2.462032322001516439e-10, 2.380668138174733641e-10, 8.753161611674289124e-11, 5.905377642209843368e-10
2.048000000000000000e+03, 2.433001232589800417e-10, 8.362580936622380782e-10, 2.031601732119722851e-10, 8.305078890897814852e-10, 8.305078890897814852e-10, 5.585173189596893796e-10, 8.397871874361256148e-10, 2.031601732119722851e-10, 2.433001232589800417e-10, 1.804985790333003373e-10, 8.343750185471614654e-11, 6.328307960117301913e-10
2.049000000000000000e+03, 3.153726684739668729e-10, 8.392541829115239487e-10, 2.202478889930402622e-10, 6.491882340157274542e-10, 6.491882340157274542e-10, 5.034020956391712116e-10, 8.427416975125372568e-10, 2.202478889930402622e-10, 3.153726684739668729e-10, 1.557472380519506910e-10, 1.323552278383388266e-10, 6.891072856115446714e-10
2.050000000000000000e+03, 2.178744172008734737e-10, 1.146611307181522350e-09, 2.465115067776268463e-10, 7.682954916013300491e-10, 7.682954916013300491e-10, 5.370821997457156309e-10, 1.150095032581489840e-09, 2.465115067776268463e-10, 2.178744172008734737e-10, 1.733907733592977466e-10, 1.390741535443692971e-10, 4.826663266282131319e-10
2.051000000000000000e+03, 3.152604129099047847e-10, 6.621650207459372532e-10, 2.404166918620789665e-10, 7.876491604974088749e-10, 7.876491604974088749e-10, 5.311842872724134986e-10, 6.657595876260473920e-10, 2.404166918620789665e-10, 3.152604129099047847e-10, 2.190255219472250548e-10, 1.318506726051504622e-10, 5.913654862749437600e-10
2.052000000000000000e+03, 1.686996785787017132e-10, 6.836971188908921624e-10, 2.436485458051380718e-10, 9.682836389696259569e-10, 9.682836389696259569e-10, 4.453543685949556074e-10, 6.872601723387654958e-10, 2.436485458051380718e-10, 1.686996785787017132e-10, 2.195970862467470795e-10, 1.015596708349564847e-10, 6.056379859207073478e-10
