year, MPI-ESM1-2-LR, GFDL-ESM4, MIROC-ES2L, CanESM5, CNRM-ESM2-1, CMCC-ESM2, UKESM1-0-LL, CESM2-WACCM
2.090000000000000000e+03, -1.175274521834117746e-10, -3.090252073014171419e-11, 2.622907349942412695e-10, 4.145554305042917715e-10, 1.190553372323955564e-09, -2.002931285372751951e-10, -5.405891084752959829e-10, 7.470397777794747867e-10
2.091000000000000000e+03, 9.836091696984818121e-10, 5.910530292601478124e-11, 8.763163077436176626e-11, 3.013961732074090716e-10, -3.131770932207333986e-10, -6.542831423238829365e-10, -3.421570025798537635e-10, 5.050581631429979353e-10
2.092000000000000000e+03, 7.214433466421569546e-11, 3.714691956659816630e-10, -1.808128812542602463e-10, 3.129061439086307722e-10, 8.286978748711697600e-11, 7.918916412135492402e-10, 2.540763938964512455e-10, 3.638595497821068066e-10
2.093000000000000000e+03, 1.119390053576276774e-10, 1.113034582043719858e-09, 5.323403956127991233e-10, 2.826296943015648500e-10, -2.834115766636328776e-10, 8.210073535692082674e-10, 1.598170956719805468e-10, 1.507750405356236688e-10
2.094000000000000000e+03, 2.577290788626419964e-10, 6.167459069684983891e-10, 8.705143227557667252e-10, 3.829007419298304423e-10, 1.149085283641882547e-09, 5.827193754030039838e-10, -2.036369620507227392e-11, 3.630845997936529405e-10
2.095000000000000000e+03, 1.830632849797264384e-10, 1.545959824688641257e-10, 3.935509153139827604e-10, 3.801082077114436196e-11, -3.164594304467693534e-11, -2.213949349282704997e-10, -2.229316914638568311e-11, 2.118830146849954685e-10
2.096000000000000000e+03, -4.559772275388729562e-10, 1.405511409588079579e-10, 5.069576572483680725e-10, 2.665793542224330032e-10, 1.822727295780568693e-10, 9.817231069179604990e-11, -2.862283177296973073e-10, 5.106364924312925639e-10
2.097000000000000000e+03, 7.015991383571861456e-10, 5.231338807146824446e-10, -5.012164003156502008e-10, 4.885414995866234298e-10, -2.182697975576401574e-10, -7.816029590775205524e-10, -6.059499754972279634e-11, 4.035574096047291508e-10
2.098000000000000000e+03, 2.456856756304789479e-10, 2.676947923472332658e-10, -3.521777827502276817e-10, -5.369435436925780408e-11, -2.620807096391536739e-10, 4.101046616208338496e-11, -4.079870615435258349e-10, 7.045152129717545317e-10
2.099000000000000000e+03, 6.134256270272734477e-10, 6.745769910525780165e-10, -5.265620925508960013e-11, 1.969594959527493794e-10, 4.636880151176236629e-10, 1.011294293072400891e-09, 6.608841054717038620e-10, 4.540283504195301599e-10
2.100000000000000000e+03, 3.334573143942322557e-10, 7.854754860866539190e-11, 4.707695123432725057e-10, 6.872004492021117179e-10, 2.670385270545057471e-10, 2.767182053996960692e-11, 2.693204807133452828e-10, 1.733073893325983437e-10
