year, MIROC-ES2L, EC-Earth3-Veg, GFDL-ESM4, CESM2-WACCM, CMCC-CM2-SR5, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5, CanESM5, NorESM2-LM, NorESM2-MM
2.068000000000000000e+03, 7.701228045965893898e+01, 1.170632002432231111e+01, 6.137600213159821294e+01, 8.015935743419960957e+00, 1.096787221963777270e+01, 1.976082914993541717e+00, 6.141213183975048651e+01, 7.167250111292666759e+01, 2.202455114428370564e+01, 1.085788839468683342e+01, 1.930578909117183173e+01, 8.014981262440457499e+00, 8.180754170113420543e+00
2.069000000000000000e+03, 7.687593489192983043e+01, 1.152639501486789619e+01, 6.167878043676901711e+01, 8.020656863796132185e+00, 1.015139063328072133e+01, 1.982393629322061201e+00, 6.139214100594165302e+01, 7.201525628064857187e+01, 2.208524668791719847e+01, 1.083163982236576217e+01, 1.927716195241275443e+01, 7.804187655018118619e+00, 8.374029497702853320e+00
2.070000000000000000e+03, 7.691823228853112937e+01, 1.158756353601802758e+01, 6.195430589617944861e+01, 7.966925850886164007e+00, 1.016724981921211679e+01, 1.989357288945917679e+00, 6.149018498211869144e+01, 7.219597060390053400e+01, 2.214038802968180875e+01, 1.076180360579528106e+01, 1.909464887188711657e+01, 7.677775956075742592e+00, 8.208792072365451276e+00
2.071000000000000000e+03, 7.704716817798035322e+01, 1.162848278047646744e+01, 6.229746937142564178e+01, 7.947402932941099785e+00, 1.030104613784884471e+01, 1.967742555940768856e+00, 6.154712194199398567e+01, 7.196880172875044934e+01, 2.230185093041967903e+01, 1.073174888894389412e+01, 1.893421343676362056e+01, 7.973794478930467555e+00, 8.139396346742381994e+00
2.072000000000000000e+03, 7.712970303678177686e+01, 1.139214164709863830e+01, 6.235312304705752950e+01, 8.069503300691527770e+00, 1.019518254135995861e+01, 1.771066223063858747e+00, 6.161859924280943801e+01, 7.187310003333426778e+01, 2.233109342915794215e+01, 1.070223370087395942e+01, 1.893928241465435391e+01, 8.041164668842363028e+00, 8.319898883735584505e+00
2.073000000000000000e+03, 7.681601497323440242e+01, 1.147889624593292979e+01, 6.257633568070355778e+01, 8.237268413292630598e+00, 9.856127647343091880e+00, 1.793148504791264086e+00, 6.154229611522423227e+01, 7.196745748351962391e+01, 2.247489203758719611e+01, 1.073206307235854773e+01, 1.897863365498976762e+01, 7.763504192673592819e+00, 8.245487876912060088e+00
2.074000000000000000e+03, 7.654737841748476512e+01, 1.156488957540589624e+01, 6.258513137490300693e+01, 8.271767129663002649e+00, 1.069605240305419436e+01, 2.034087386269588738e+00, 6.161573909743796662e+01, 7.197204114079444537e+01, 2.251790448640559816e+01, 1.083400629000268367e+01, 1.887568011536819768e+01, 7.679904698611315972e+00, 8.350303189922328784e+00
2.075000000000000000e+03, 7.654860267264797358e+01, 1.158377905336380032e+01, 6.252612023579656864e+01, 8.152819736550624086e+00, 1.069247821592992764e+01, 1.820749785210138194e+00, 6.166488466962447035e+01, 7.223447388782162193e+01, 2.252085705645788494e+01, 1.081232297473264836e+01, 1.919626169600379484e+01, 7.876757477504918725e+00, 8.475903838803795054e+00
2.076000000000000000e+03, 7.649907243356911124e+01, 1.149942339547922998e+01, 6.267141864815794605e+01, 8.178670571441267967e+00, 1.105146140931833010e+01, 2.182087454921734615e+00, 6.174879443424874381e+01, 7.245192558349687317e+01, 2.256868098043312898e+01, 1.073908723842406765e+01, 1.944000375929765667e+01, 7.833808252927554783e+00, 8.474520425844444205e+00
2.077000000000000000e+03, 7.665236064535612570e+01, 1.135225652589867096e+01, 6.295857668977561872e+01, 8.172460811147413295e+00, 1.042083606662600914e+01, 2.060554946329424819e+00, 6.171927667752712665e+01, 7.234400792943165470e+01, 2.265669189672277639e+01, 1.072946242410827189e+01, 1.969752108520062350e+01, 7.646553930783376529e+00, 8.420695835031715148e+00
