year, CanESM5, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CESM2-WACCM, NorESM2-LM, INM-CM5-0, CNRM-ESM2-1, GFDL-ESM4, INM-CM4-8, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, IPSL-CM6A-LR
2.038000000000000000e+03, 8.873873592022702894e+01, 4.253499793424329312e+01, 9.405050142421302439e+01, 3.646241406259827045e+01, 7.614690026970812653e+01, 7.020343203352621231e+01, 1.317116132861603717e+02, 1.139026242764635555e+02, 7.976376377103399307e+01, 1.270316188983855739e+02, 7.287428697336501671e+01, 5.465985511986716006e+01, 7.657031620294054619e+01, 6.098621319571407895e+01, 1.153328966005553156e+02, 6.095132891083347459e+01
2.039000000000000000e+03, 8.936898498407860814e+01, 4.271968023776720003e+01, 9.459909481587409630e+01, 3.655194743297882809e+01, 7.670997676849661673e+01, 7.035480313967963184e+01, 1.318093112648200531e+02, 1.145025237887183209e+02, 8.002230803154705541e+01, 1.272888419093469281e+02, 7.334012591287957150e+01, 5.484426124254702017e+01, 7.685625329698720520e+01, 6.148904897342995923e+01, 1.157135420576388611e+02, 6.179360579852955482e+01
2.040000000000000000e+03, 8.997292667455324988e+01, 4.268524116840634974e+01, 9.464965439208101827e+01, 3.634576001779615240e+01, 7.700673964232146318e+01, 7.071580767352131147e+01, 1.321575221133088860e+02, 1.154561506534969055e+02, 8.040194798649115171e+01, 1.274775563994047189e+02, 7.365367747706832802e+01, 5.511485128639790787e+01, 7.698176946725261871e+01, 6.211513955594746506e+01, 1.162379459258354188e+02, 6.256752034026956011e+01
2.041000000000000000e+03, 9.041861347879323318e+01, 4.275431304535248245e+01, 9.486112101535795205e+01, 3.662479309745816636e+01, 7.732494258021466749e+01, 7.116163914820592140e+01, 1.319386121850918983e+02, 1.159646114980820357e+02, 8.101834567518375252e+01, 1.277947684435394962e+02, 7.395460114832528120e+01, 5.543924501265264126e+01, 7.703973272975646580e+01, 6.102816488565505182e+01, 1.165150535121355375e+02, 6.312892490050713690e+01
2.042000000000000000e+03, 9.109185883937421124e+01, 4.318444467190749947e+01, 9.528832921559892100e+01, 3.761235950972611164e+01, 7.755897648408115685e+01, 7.165738758962584143e+01, 1.313790714819249388e+02, 1.168216243863898711e+02, 8.127289638975794617e+01, 1.280242580060962325e+02, 7.437383981864340399e+01, 5.589311625154761742e+01, 7.747713897160497254e+01, 6.104294857968808685e+01, 1.167010705874703547e+02, 6.367837441069514881e+01
2.043000000000000000e+03, 9.195708149294515010e+01, 4.341733032552781424e+01, 9.571953085616573276e+01, 3.714085664665722675e+01, 7.757211194027399870e+01, 7.191834063921561437e+01, 1.313681754760529259e+02, 1.175208473856019964e+02, 8.155309081550680617e+01, 1.282014029840280500e+02, 7.476086729561504285e+01, 5.599342473923498176e+01, 7.807837300694434646e+01, 6.251983943775986319e+01, 1.169483961943725490e+02, 6.417089481421739094e+01
2.044000000000000000e+03, 9.264736136842964243e+01, 4.344353821559128193e+01, 9.608513050616468831e+01, 3.764518876929444957e+01, 7.801115787858502415e+01, 7.224238658549515435e+01, 1.316946537778317747e+02, 1.178218624687557110e+02, 8.171160057762989481e+01, 1.283386819965924701e+02, 7.526687099895072208e+01, 5.609115089034956014e+01, 7.856155336783835708e+01, 6.180462482783226363e+01, 1.172108427286192125e+02, 6.459180962104677803e+01
2.045000000000000000e+03, 9.329730459052399283e+01, 4.352641262914482922e+01, 9.621110229820274640e+01, 3.716240873440328585e+01, 7.842463692181161150e+01, 7.244429748030701433e+01, 1.322128599058053169e+02, 1.181345749498683517e+02, 8.222356174061943079e+01, 1.283908240689038962e+02, 7.554989634408866550e+01, 5.622644036794939382e+01, 7.893456197883651271e+01, 6.111289278766149380e+01, 1.175809582082533069e+02, 6.506155217121461476e+01
2.046000000000000000e+03, 9.380911037024114307e+01, 4.350130182352986452e+01, 9.650171723591792272e+01, 3.653828119807410246e+01, 7.896256946950271072e+01, 7.274811075261548865e+01, 1.327347380549007312e+02, 1.188552691016245859e+02, 8.261358909688905783e+01, 1.286979325949742758e+02, 7.581005150964932682e+01, 5.712691933095099017e+01, 7.940656451452298370e+01, 6.285731929550335195e+01, 1.178422912907602580e+02, 6.555464498747001301e+01
2.047000000000000000e+03, 9.420134442717065326e+01, 4.381045368584311461e+01, 9.691542395115430963e+01, 3.692028738350709460e+01, 7.934702467313822183e+01, 7.309035653591242010e+01, 1.331254223152645011e+02, 1.197557609341124163e+02, 8.293266513622000957e+01, 1.291274042194553999e+02, 7.593773809731472113e+01, 5.757786717931406173e+01, 7.987350008723242922e+01, 6.330687022835959965e+01, 1.179473210884727195e+02, 6.583152420354703338e+01
