year, CMCC-CM2-SR5, TaiESM1, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, IPSL-CM6A-LR, CanESM5, CESM2-WACCM, INM-CM4-8, MPI-ESM1-2-LR, NorESM2-MM, CNRM-ESM2-1, INM-CM5-0, MIROC-ES2L, EC-Earth3-Veg, UKESM1-0-LL
2.041000000000000000e+03, 7.446414953480694265e+00, 6.035381528707747023e+00, 7.158184930652146782e+00, 8.000152609020153349e+00, 1.062418707233612913e+01, 9.079608295263930984e+00, 1.104116437498427317e+01, 7.596798720143183914e+00, 9.801903636747535842e+00, 1.190881302566095279e+01, 7.349704844835448725e+00, 1.012660711533374069e+01, 8.920259104254974147e+00, 1.148616793333258101e+01, 8.915090091840403019e+00, 1.029492386767243062e+01
2.042000000000000000e+03, 8.347591815075480426e+00, 5.670994050847354195e+00, 7.224612078130217441e+00, 7.838725765411915347e+00, 1.043034329484454403e+01, 8.735531624250379323e+00, 1.128403701638847778e+01, 7.036603190322207269e+00, 9.726266632808137302e+00, 1.197451648445830941e+01, 7.260858361305987607e+00, 1.041871280875942674e+01, 9.353342641298647564e+00, 1.147624530769319762e+01, 8.789779879569149301e+00, 1.158395275306852490e+01
2.043000000000000000e+03, 8.501599369152089025e+00, 5.710417497327172853e+00, 6.938806328194403683e+00, 8.038928391581229960e+00, 1.054102842983989063e+01, 8.145648300237862571e+00, 1.156771519655310598e+01, 7.185708794358605545e+00, 9.501133463402464230e+00, 1.233168571545784609e+01, 7.466449190312008710e+00, 1.040780866642786151e+01, 9.447388321464886829e+00, 1.162680404983938232e+01, 8.485148422811674251e+00, 1.166691857912126018e+01
2.044000000000000000e+03, 7.371505883851003027e+00, 5.695762079083952933e+00, 6.952419703022267861e+00, 8.117721267904427052e+00, 9.940863656274155247e+00, 8.256955371302256097e+00, 1.103442917218768926e+01, 7.534906786777801457e+00, 9.703452935309735850e+00, 1.144107738391163842e+01, 7.438481349130514175e+00, 9.447142646247922215e+00, 1.046710594419826812e+01, 1.153631730608698014e+01, 8.397064208568030708e+00, 1.099378831310408344e+01
2.045000000000000000e+03, 8.309615261965635824e+00, 5.519810228883889280e+00, 6.758044787553441957e+00, 8.134908013218666412e+00, 1.059985070215891056e+01, 8.558883321779026332e+00, 1.163026344621714259e+01, 7.353709328734746364e+00, 9.511244319450293361e+00, 1.202228224907693210e+01, 7.172886158417769664e+00, 9.546195528058847302e+00, 1.030871585369497012e+01, 1.143372530565746814e+01, 9.792681932134151168e+00, 1.124956351927056808e+01
2.046000000000000000e+03, 8.874183939453708092e+00, 5.433874699610751868e+00, 6.813829628245978043e+00, 8.028541754259808982e+00, 1.030769560407577856e+01, 8.207372225111850383e+00, 1.094208632523419489e+01, 7.876834660867229942e+00, 1.002878252920992175e+01, 1.129982258838618137e+01, 7.162734027295809547e+00, 1.047225111151155552e+01, 1.082424530522397177e+01, 1.186164808900239187e+01, 9.187677047411307640e+00, 1.184532955344725202e+01
2.047000000000000000e+03, 8.344463230408258880e+00, 5.913638707812070905e+00, 7.112242409209992289e+00, 7.561003450344701449e+00, 1.043065968799909271e+01, 8.104876917283251103e+00, 1.136174124807846120e+01, 7.344742835638377265e+00, 9.940958338103834890e+00, 1.192240926037445803e+01, 7.138469918914566392e+00, 1.043064872821318367e+01, 1.062797973673003860e+01, 1.162292427949333629e+01, 8.763120292265158540e+00, 1.174570336362198653e+01
2.048000000000000000e+03, 8.409952900291111533e+00, 6.202711456194603734e+00, 7.542804513706818703e+00, 7.734324321601341090e+00, 1.036819987495385931e+01, 8.724618785155126233e+00, 1.104160769695505095e+01, 7.662400885507695492e+00, 1.020321418993729168e+01, 1.183987177796816859e+01, 7.254040257923485058e+00, 1.007535447646174731e+01, 1.021048840146951875e+01, 1.191358873940457563e+01, 8.959199924900580925e+00, 1.107691619804749550e+01
2.049000000000000000e+03, 8.130263035605510780e+00, 5.727733203977399157e+00, 7.308902801236029312e+00, 7.826578636640312503e+00, 1.070445120986974175e+01, 8.756728380616221941e+00, 1.145528931752048862e+01, 7.713385402014334424e+00, 9.702451920768709215e+00, 1.222268525172924214e+01, 7.088830121096568071e+00, 1.038124656029578219e+01, 9.777215765420418592e+00, 1.195318351185932748e+01, 9.163182929033954593e+00, 1.101656988118118896e+01
2.050000000000000000e+03, 8.166412917858076881e+00, 5.391882038604309813e+00, 7.007020184193771151e+00, 8.474680349909190724e+00, 9.915970197589162538e+00, 9.016337250086849053e+00, 1.088022390853009824e+01, 7.888459847765333599e+00, 1.005112414573292057e+01, 1.113369214693058140e+01, 7.473252590299149567e+00, 9.938226461062912520e+00, 9.731419413314249311e+00, 1.203752020317300797e+01, 8.728301505874522803e+00, 1.076835924733959970e+01
2.051000000000000000e+03, 8.607450065431860864e+00, 5.538989375427024520e+00, 7.003912387183486743e+00, 8.004055781038671213e+00, 1.063752481223720459e+01, 7.855153322911365699e+00, 1.150959611507573044e+01, 7.439929737091154571e+00, 9.906075840666915155e+00, 1.189506429263439458e+01, 7.344825028017326396e+00, 1.003043951269516754e+01, 1.050293639209990282e+01, 1.157098722467026697e+01, 8.776035391870696145e+00, 1.146216616708755431e+01
