year, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, NorESM2-MM, MPI-ESM1-2-LR, CNRM-ESM2-1, CMCC-ESM2, NorESM2-LM, IPSL-CM6A-LR, TaiESM1
2.054000000000000000e+03, 8.183705397712670237e-11, 8.444186424284317261e-13, 1.598779698399845205e-10, 6.223359704268054276e-10, 3.277199423410325553e-11, 1.442702334972567772e-11, 1.632146145608425292e-10, 6.542779581307175544e-10, 1.953262608489637663e-11, 1.170467553917509479e-10
2.055000000000000000e+03, 8.191089443434513748e-11, 8.196535002680608901e-13, 1.596575441614677479e-10, 5.991118039300098126e-10, 3.976767056125095187e-11, 1.376947611249588085e-11, 1.758288730050839723e-10, 7.229325004407925288e-10, 1.974827943223752422e-11, 1.271022222600563135e-10
2.056000000000000000e+03, 9.097473223665863667e-11, 1.020439176554066757e-12, 1.683263100908056689e-10, 6.232572527698288898e-10, 4.404020379152319391e-11, 4.233419587146158340e-11, 1.732302934657104788e-10, 7.816169453967790739e-10, 3.095367105175356950e-11, 1.242352297718619084e-10
2.057000000000000000e+03, 9.141790836627190485e-11, 1.073520959635771821e-12, 1.684101841077463683e-10, 5.860307896469922936e-10, 4.441559321483471123e-11, 4.574411123412109378e-11, 1.702967922662470073e-10, 7.610881354505335058e-10, 3.176509263847282439e-11, 1.250033026648283884e-10
2.058000000000000000e+03, 9.133425822461145897e-11, 1.083234992134998592e-12, 1.682087984269858476e-10, 5.832382448313908985e-10, 4.483031438061717023e-11, 4.887395685326878159e-11, 1.725606730475027504e-10, 7.069743840459121816e-10, 3.245013809060018510e-11, 1.272218982010281774e-10
2.059000000000000000e+03, 9.413591032698606175e-11, 1.271077522722512934e-12, 1.693966891173863893e-10, 5.753828755187460746e-10, 4.477396765812512895e-11, 5.075303164701242681e-11, 1.765736971412082082e-10, 6.850463869271687542e-10, 3.303318035287078546e-11, 1.268702365708371640e-10
2.060000000000000000e+03, 9.404311152941324566e-11, 1.384625829756677819e-12, 1.689946330324400931e-10, 5.545380142106124197e-10, 5.428548599912623804e-11, 5.227893279421765579e-11, 2.012441548387597469e-10, 7.214926064032427161e-10, 3.378485028826674386e-11, 1.486656016847170299e-10
2.061000000000000000e+03, 1.019272142875192161e-10, 1.753127933362704143e-12, 1.956861994521646929e-10, 5.999801878475682529e-10, 6.279859551082068487e-11, 1.747878802521776830e-10, 2.017577237958448594e-10, 7.237176494204354224e-10, 7.095995468080352527e-11, 1.497221853218337093e-10
2.062000000000000000e+03, 1.085372450100926634e-10, 1.946263372032685198e-12, 1.976905060647679181e-10, 5.998099025287055968e-10, 6.665418633340269074e-11, 1.833441006599994478e-10, 2.017389745215109922e-10, 7.193244120379065254e-10, 7.411751355126119772e-11, 1.498618529507850705e-10
2.063000000000000000e+03, 1.121221709269989869e-10, 1.893597910722777347e-12, 1.983761415227964286e-10, 6.213815233142011025e-10, 6.802124450488537316e-11, 1.933962486215106364e-10, 2.028314376409185716e-10, 8.175498673726667258e-10, 7.715334357373499057e-11, 1.495661886021052107e-10
