year, MPI-ESM1-2-LR, CanESM5, NorESM2-MM, GFDL-ESM4, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-LM, EC-Earth3-Veg, MIROC-ES2L, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1
2.046000000000000000e+03, 6.356195444920900428e+01, 1.240113601802874044e+01, 9.695672949666301221e+00, 8.434711839872407779e+01, 1.699502077902806363e+01, 9.546287311058502922e+00, 7.549297298118041510e+00, 1.905892125157175343e+01, 6.875257668218853269e+01, 1.054386842304577954e+01, 7.431881237092616743e+01, 1.040813326361732649e+01, 1.380258865962757486e+00
2.047000000000000000e+03, 6.357465425038737550e+01, 1.253868754386025763e+01, 9.741305776451852694e+00, 8.457205216422137539e+01, 1.699189451093537784e+01, 9.624449700921053008e+00, 7.600242853335885229e+00, 1.891770239880996130e+01, 6.896782296254913547e+01, 1.064022100819069649e+01, 7.449222672837591119e+01, 1.038744204742450705e+01, 1.379569328971699482e+00
2.048000000000000000e+03, 6.358774060215147728e+01, 1.261712493268015578e+01, 9.861407261339447672e+00, 8.485834498042726182e+01, 1.705656225320036867e+01, 9.674663990174224182e+00, 7.585422785564851722e+00, 1.898337874507928191e+01, 6.922896693938277224e+01, 1.059629974066114322e+01, 7.462985031559864524e+01, 1.037679149463414241e+01, 1.381718583659151678e+00
2.049000000000000000e+03, 6.361075319135063211e+01, 1.262617294308348015e+01, 1.012382416503966276e+01, 8.515867361079803288e+01, 1.712994306943420142e+01, 9.583884377711040514e+00, 7.607233654772553422e+00, 1.918986943584186022e+01, 6.943471422820449845e+01, 1.052975546073206203e+01, 7.501536155209318224e+01, 1.036834358771602282e+01, 1.387460638750118713e+00
2.050000000000000000e+03, 6.365712017543634005e+01, 1.259648946769025990e+01, 1.026728010139878045e+01, 8.545696042260648539e+01, 1.722376738799296447e+01, 9.583215555022475129e+00, 7.675644993673982341e+00, 1.916440376869746842e+01, 6.961112969546506690e+01, 1.056951467255111510e+01, 7.531554416232076221e+01, 1.035707369798385358e+01, 1.393652086419723268e+00
2.051000000000000000e+03, 6.378616981851973122e+01, 1.256120627722358130e+01, 1.031733743185345276e+01, 8.581150361776326463e+01, 1.724703060634619334e+01, 9.497497721999820897e+00, 7.819894265819201884e+00, 1.979672788703311070e+01, 6.980453351113267502e+01, 1.056308838462141608e+01, 7.550175530925146461e+01, 1.033030326839011614e+01, 1.366550219957504586e+00
2.052000000000000000e+03, 6.383212552492813785e+01, 1.259781369128673667e+01, 1.024289982763364470e+01, 8.603082281355928274e+01, 1.738871286002215300e+01, 9.582561609593685858e+00, 7.927070440668943618e+00, 2.003082420033641142e+01, 7.014998627464657943e+01, 1.041217361695527899e+01, 7.563891108171957001e+01, 1.027442479136528775e+01, 1.324323857680715477e+00
2.053000000000000000e+03, 6.382755881035056689e+01, 1.261333859956175019e+01, 1.028137241207657482e+01, 8.619049334815451857e+01, 1.746962587712265602e+01, 9.855681585197030969e+00, 8.075145058311575141e+00, 2.005943986941155543e+01, 7.034045243069552100e+01, 1.046715665523017691e+01, 7.574922987827000043e+01, 1.025040706908848342e+01, 1.389923070896833091e+00
2.054000000000000000e+03, 6.392780119574123887e+01, 1.261017465213795852e+01, 1.047592122881641430e+01, 8.645763545453604593e+01, 1.752448574498341927e+01, 1.006554281642165272e+01, 7.992593178284153943e+00, 1.994233717266585870e+01, 7.051449768754014258e+01, 1.050526112000921053e+01, 7.597519275628212654e+01, 1.029583522688660580e+01, 1.384536597800916535e+00
2.055000000000000000e+03, 6.403031622413863033e+01, 1.264418205022327157e+01, 1.043561490819384829e+01, 8.661283549402402571e+01, 1.756300780916895832e+01, 1.004237889851593657e+01, 7.837310573078898557e+00, 1.970928140587084698e+01, 7.067857367500134558e+01, 1.042913918577483834e+01, 7.618733452641872361e+01, 1.031659748935957666e+01, 1.392720629917031605e+00
