year, CanESM5, NorESM2-MM, MPI-ESM1-2-LR, INM-CM4-8, MIROC-ES2L, UKESM1-0-LL, IPSL-CM6A-LR, TaiESM1, CNRM-ESM2-1, EC-Earth3-Veg, CMCC-CM2-SR5, INM-CM5-0, NorESM2-LM, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM
2.065000000000000000e+03, 1.869286543933476263e+00, 1.540792137550276886e+00, 1.892980351561456942e+00, 1.901676120214053078e+00, 1.968334667136156790e+00, 1.833595414692520187e+00, 1.872506300789738232e+00, 1.638375049019736407e+00, 1.694501967788420771e+00, 1.681680998694498941e+00, 1.825773760274169932e+00, 1.919401323772742085e+00, 1.589252949256253711e+00, 1.857031518397698644e+00, 2.086310120309904814e+00, 1.683172858429785590e+00
2.066000000000000000e+03, 1.810762035469228648e+00, 1.553420667216853790e+00, 1.892807221748058488e+00, 1.878419509170420332e+00, 1.849705376706022308e+00, 1.780448614113663064e+00, 1.917471386306193626e+00, 1.689212617202057176e+00, 1.810968739994224475e+00, 1.684452834975274094e+00, 1.831117894188688977e+00, 1.840144525312458867e+00, 1.607927198640737076e+00, 1.936952705485038173e+00, 2.032948626816529103e+00, 1.697161246627232334e+00
2.067000000000000000e+03, 1.775560210240723968e+00, 1.584170871446912265e+00, 1.870466874960023063e+00, 1.853330630686313096e+00, 1.881850483258360018e+00, 1.764964346526386674e+00, 1.970653672414777846e+00, 1.684057004844534244e+00, 1.786899302977071891e+00, 1.766891970536190293e+00, 1.844787845603106824e+00, 1.748206525360471497e+00, 1.544742264136460541e+00, 1.844325362921858336e+00, 2.044574111319966025e+00, 1.707677244577495035e+00
2.068000000000000000e+03, 1.802283190571526639e+00, 1.583134312849924896e+00, 1.907662954236990949e+00, 1.805775030869841480e+00, 1.911541392115878590e+00, 1.868637485375556739e+00, 2.001824514932563304e+00, 1.683690821116268665e+00, 1.798823638439875028e+00, 1.689432787415779291e+00, 1.895865987211406090e+00, 1.814996728437386020e+00, 1.633845014046937827e+00, 1.929485472821962588e+00, 2.112828791679384199e+00, 1.612695530697688007e+00
2.069000000000000000e+03, 1.840077365985475666e+00, 1.682583407839906675e+00, 1.854845079757341475e+00, 1.849664815341560908e+00, 1.861835543197398524e+00, 1.852667672822364775e+00, 1.931161873258526507e+00, 1.605359677810104024e+00, 1.816646083257897004e+00, 1.773878688360795763e+00, 1.848523063260537835e+00, 1.812949992981641945e+00, 1.607344309767303026e+00, 1.962199892763477838e+00, 2.168452188078585863e+00, 1.644037967796521338e+00
2.070000000000000000e+03, 1.804704462813005561e+00, 1.579007709370309209e+00, 1.916350233409772841e+00, 1.792418793239226149e+00, 2.007555399882300584e+00, 1.879414546303327604e+00, 1.912058316184606976e+00, 1.559894478061437217e+00, 1.774566301330423812e+00, 1.726371016937847669e+00, 1.802197521014952564e+00, 1.810466485578877016e+00, 1.687993066206766368e+00, 1.918502059482086741e+00, 2.167967514871866008e+00, 1.756138403475727472e+00
2.071000000000000000e+03, 1.762533105641605369e+00, 1.654580454401761935e+00, 1.864422892640182461e+00, 1.853626615119749577e+00, 1.938732913189622709e+00, 1.815595421549943467e+00, 1.933340659272919204e+00, 1.625003691985417609e+00, 1.792892047254521559e+00, 1.650791275382669676e+00, 1.875378987850567780e+00, 1.739900588384878821e+00, 1.638974993581261641e+00, 1.890479136065333909e+00, 2.090735447887861920e+00, 1.738711989061795693e+00
2.072000000000000000e+03, 1.873422480136639479e+00, 1.599318663705964205e+00, 1.815261407456361331e+00, 1.828197231641548903e+00, 1.878010985953695977e+00, 1.884086607631596078e+00, 1.919919774790639133e+00, 1.674667448887258159e+00, 1.724731879342018548e+00, 1.670184257713380083e+00, 1.727972417676142847e+00, 1.803433061040158547e+00, 1.620050347508962929e+00, 1.906925652485914835e+00, 2.192477160904461986e+00, 1.653689495701629042e+00
2.073000000000000000e+03, 1.850565319729772229e+00, 1.635837675989961548e+00, 1.868503659013481366e+00, 1.847800052774307700e+00, 1.852427602410388285e+00, 1.842356238338991314e+00, 1.917310466808312297e+00, 1.633957921365954080e+00, 1.771592239505016098e+00, 1.658515322779958723e+00, 1.830944460866641199e+00, 1.791886137568242887e+00, 1.637552768384357149e+00, 1.881656063422720626e+00, 2.104863879451980058e+00, 1.680779742495392748e+00
2.074000000000000000e+03, 1.766562537273689060e+00, 1.615740742694078635e+00, 1.861883601232109386e+00, 1.904262821289325780e+00, 1.867558048311788621e+00, 1.834055726175576551e+00, 2.002271233208036794e+00, 1.634421224912633530e+00, 1.823392045845956044e+00, 1.745693819574850592e+00, 1.884500490271250328e+00, 1.865358498822483169e+00, 1.661170759026919796e+00, 1.951116791966087227e+00, 2.094138088234815065e+00, 1.722658329305273961e+00
