year, GFDL-ESM4, MIROC-ES2L, TaiESM1, NorESM2-LM, EC-Earth3-Veg, MPI-ESM1-2-LR, CMCC-CM2-SR5, CanESM5, UKESM1-0-LL, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-MM, IPSL-CM6A-LR, CESM2-WACCM
2.039000000000000000e+03, 1.242556187350173076e+02, 3.586706512750748175e+02, 6.143662055417147627e+01, 1.331157452129795502e+03, 3.144735647504849112e+02, 1.528974145776225271e+02, 1.007458469892075527e+03, 2.150938480999112983e+02, 2.532542925341049340e+02, 4.376595022423180126e+02, 1.972470982181617956e+02, 7.337133585112602532e+02, 6.745824303852691628e+01, 9.322087353426619529e+02
2.040000000000000000e+03, 1.241765323549602300e+02, 3.588928557492431537e+02, 6.141207298385042890e+01, 1.331122923046183587e+03, 3.145366852843740730e+02, 1.529763894769468493e+02, 1.007309865259256867e+03, 2.151374584405969870e+02, 2.537564393526859590e+02, 4.380067134782573248e+02, 1.972962508056494642e+02, 7.337166028239404341e+02, 6.766414667564976071e+01, 9.321603250802768343e+02
2.041000000000000000e+03, 1.240901469819299336e+02, 3.590586795871176378e+02, 6.138513689893568426e+01, 1.331103918731743533e+03, 3.146429213641253000e+02, 1.531014568702008773e+02, 1.007190702834695685e+03, 2.151869949242430948e+02, 2.539795093567430797e+02, 4.383275526530701995e+02, 1.973512951887800568e+02, 7.337276979104533439e+02, 6.787228523989377038e+01, 9.321079197923018000e+02
2.042000000000000000e+03, 1.240350931296993053e+02, 3.592534729737434986e+02, 6.138865509243182572e+01, 1.331088061015770563e+03, 3.146777026213968611e+02, 1.531475162926211340e+02, 1.007056577974468269e+03, 2.152532009154332400e+02, 2.542388779424535130e+02, 4.386582782080530478e+02, 1.974112178803673316e+02, 7.336973105923410685e+02, 6.807009874619367906e+01, 9.320390843274923327e+02
2.043000000000000000e+03, 1.240459490993024332e+02, 3.594601504769462963e+02, 6.138091093894603745e+01, 1.331094442551329621e+03, 3.146659123264193454e+02, 1.532302337348112360e+02, 1.006873504938281258e+03, 2.153326122410790049e+02, 2.544246553229595804e+02, 4.389752701210502437e+02, 1.974740533357753520e+02, 7.336522055763513208e+02, 6.827430927424610729e+01, 9.320265016806962421e+02
2.044000000000000000e+03, 1.240352104188127953e+02, 3.597285324864110407e+02, 6.137745380605461065e+01, 1.331091279565612922e+03, 3.146818773909048446e+02, 1.533533156349343471e+02, 1.006674741442146910e+03, 2.154215560468403510e+02, 2.547050950508588585e+02, 4.393036396695957819e+02, 1.975451862161039571e+02, 7.336392745384840737e+02, 6.846467502543016792e+01, 9.320493989407862045e+02
2.045000000000000000e+03, 1.240856594852453583e+02, 3.599572293593738550e+02, 6.138772787879255333e+01, 1.331054248174991244e+03, 3.146919040998377568e+02, 1.535686121492912548e+02, 1.006501002122144769e+03, 2.155348271241237512e+02, 2.550642660730365776e+02, 4.396329144819993076e+02, 1.976241995788754195e+02, 7.336279247999497102e+02, 6.864566105814978414e+01, 9.320412800125907324e+02
2.046000000000000000e+03, 1.241056814965244968e+02, 3.601612507851088480e+02, 6.136928885225233188e+01, 1.331002601624430554e+03, 3.147179846729054589e+02, 1.537215867819590187e+02, 1.006321251303828376e+03, 2.156546924989196441e+02, 2.553840785201261951e+02, 4.399514843360054215e+02, 1.977044294997919565e+02, 7.336534256095226283e+02, 6.883944534158594308e+01, 9.320215918089636489e+02
2.047000000000000000e+03, 1.240863824565036140e+02, 3.603834342043942343e+02, 6.133849944867363035e+01, 1.330957907563337585e+03, 3.147610489789807389e+02, 1.537540642540176350e+02, 1.006150253203017996e+03, 2.157753373100899239e+02, 2.556043603516085909e+02, 4.402786196453222942e+02, 1.977680961203895720e+02, 7.336879982092567616e+02, 6.903290840761000879e+01, 9.319938472551986024e+02
2.048000000000000000e+03, 1.241455791905665649e+02, 3.606123864656882461e+02, 6.131812626618791029e+01, 1.330898311174270248e+03, 3.147773813517396775e+02, 1.537876497165250385e+02, 1.005992358784811358e+03, 2.159136244452976143e+02, 2.557673629885349271e+02, 4.405774633757258130e+02, 1.978139430988379672e+02, 7.336899439115488804e+02, 6.920752642999974569e+01, 9.319895119781232324e+02
