year, IPSL-CM6A-LR, EC-Earth3-Veg, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, MIROC-ES2L, CESM2-WACCM
2.061000000000000000e+03, 1.769477906251102073e-01, 1.665012301588045989e-03, 3.560088923235208518e-06, 1.031494300277764786e+00, 2.432782704298897826e-04, 4.230487355287361195e-01, 6.077358263101260150e-01, 4.478594462768551443e-01, 8.571771518738781070e-01
2.062000000000000000e+03, 1.787393764238189853e-01, 1.655274674510237142e-03, 3.331555787905588149e-06, 1.032876475035560349e+00, 2.009628158915340804e-04, 4.214156243412670588e-01, 6.065623723960136271e-01, 4.451962167079753230e-01, 8.558246582024824356e-01
2.063000000000000000e+03, 1.801328550526888617e-01, 1.643763721318031905e-03, 3.150391483602885932e-06, 1.034462702218341246e+00, 1.681104909522105955e-04, 4.200257763366102570e-01, 6.060697666571397413e-01, 4.429797247789692416e-01, 8.552280051178398068e-01
2.064000000000000000e+03, 1.813697656710052397e-01, 1.632009363370104859e-03, 2.996415695178356010e-06, 1.035971832172117857e+00, 1.448891990537323608e-04, 4.185332663808170039e-01, 6.061650359096080187e-01, 4.413410160177269059e-01, 8.547840627638438882e-01
2.065000000000000000e+03, 1.825910883381675343e-01, 1.620369026600659802e-03, 2.875053161632934819e-06, 1.037429383059487620e+00, 1.413226528942925441e-04, 4.171910556578626861e-01, 6.060973482462755912e-01, 4.399890427572700768e-01, 8.542282724624098433e-01
2.066000000000000000e+03, 1.838968894192948567e-01, 1.609318526052731313e-03, 2.789991712533995378e-06, 1.038597868970351223e+00, 1.367246536680576574e-04, 4.158040972161096138e-01, 6.058085644085829946e-01, 4.382099040916210830e-01, 8.536569486387797223e-01
2.067000000000000000e+03, 1.847718546885377955e-01, 1.599501029815075673e-03, 2.710337410160495469e-06, 1.039937778390787049e+00, 1.321128174199068391e-04, 4.144395382044834264e-01, 6.053804438030636614e-01, 4.346311840047636377e-01, 8.526170754949299324e-01
2.068000000000000000e+03, 1.849014473569426942e-01, 1.596611414736844427e-03, 2.633049030762454389e-06, 1.041668446903741385e+00, 1.273438764442881338e-04, 4.129436221740498403e-01, 6.055810261560519159e-01, 4.233214197795021616e-01, 8.527355790383888134e-01
2.069000000000000000e+03, 1.850364609925388704e-01, 1.569431144555540969e-03, 2.569219561690252253e-06, 1.043589953268684756e+00, 1.224958494615818033e-04, 4.117882614795478347e-01, 6.083032574142760440e-01, 4.138695136780350392e-01, 8.489384664966042049e-01
2.070000000000000000e+03, 1.856380049017269385e-01, 1.547786365564837079e-03, 2.566470328012641388e-06, 1.045071755168549110e+00, 1.176836667313600407e-04, 4.105289618049244305e-01, 6.126092089530549289e-01, 4.073580500894353196e-01, 8.438491146775778384e-01
