year, EC-Earth3-Veg, NorESM2-LM, MPI-ESM1-2-LR, INM-CM4-8, INM-CM5-0, MIROC-ES2L, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL, CanESM5, TaiESM1, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-MM, IPSL-CM6A-LR, CNRM-ESM2-1
2.047000000000000000e+03, 1.893075786226145141e+00, 1.467808268464902532e+00, 1.995861422319237688e+00, 2.936502572172176251e+00, 2.681566115848822651e+00, 1.840060067473419325e+00, 1.784972387141128047e+00, 1.079971214004110891e+00, 1.613088982409538463e+00, 5.221108629831824111e+00, 1.496209653674961615e+00, 1.570357264624545390e+00, 9.035479911491886007e-01, 1.496095034569517201e+00, 1.557654321054683599e+00, 1.657888159995136723e+00
2.048000000000000000e+03, 1.933224660459796462e+00, 1.538597729577455997e+00, 2.270181286223385442e+00, 3.009227009312493983e+00, 3.022391969597981731e+00, 1.920377019738853663e+00, 1.827523487849709305e+00, 1.054450327396908582e+00, 1.351991130868513302e+00, 5.247214256467718663e+00, 1.694989411044326877e+00, 2.035336296294719016e+00, 8.384235182803073672e-01, 1.728405489648732862e+00, 1.510981452282765591e+00, 1.952138027714981128e+00
2.049000000000000000e+03, 1.943731258347096036e+00, 1.307697695528734050e+00, 2.093311562927218983e+00, 3.105638981168173274e+00, 2.805908294989900575e+00, 1.984641376407294766e+00, 1.794680122407429579e+00, 9.944961450374630862e-01, 1.559918416249958639e+00, 4.838871162131724191e+00, 1.828135251419190421e+00, 1.949027118685265236e+00, 8.775233493725013156e-01, 1.631212493600923352e+00, 1.340103301311905248e+00, 1.926440155958297984e+00
2.050000000000000000e+03, 1.788285086123566403e+00, 1.431685447818963342e+00, 2.320773135915230156e+00, 3.263587959176026843e+00, 3.032007291616541256e+00, 1.766426902973432078e+00, 1.802007969136097731e+00, 1.081804421700672592e+00, 1.722807988527511380e+00, 4.641914825579989134e+00, 1.580280652288497789e+00, 1.992952360868106565e+00, 8.793407123721441732e-01, 1.686151907123287774e+00, 1.660290040162361480e+00, 1.669689365998342945e+00
2.051000000000000000e+03, 2.205548500840959658e+00, 1.524715834389705815e+00, 1.982487701273679681e+00, 3.288444143827059296e+00, 2.932731241098775588e+00, 1.842900299065786118e+00, 1.637690993272908901e+00, 1.033256148485766301e+00, 1.636269590683886221e+00, 5.159084014492408166e+00, 1.747086375131341462e+00, 1.902449276697545377e+00, 8.070730161640463640e-01, 1.681489133724467511e+00, 1.609014555950280867e+00, 1.675826120755482540e+00
2.052000000000000000e+03, 2.010258359674035766e+00, 1.546011018112224189e+00, 2.122198959859679768e+00, 3.632979592318852813e+00, 2.986890773347544492e+00, 2.004535292925798018e+00, 1.779642476890647806e+00, 1.000208592380844141e+00, 1.607990110089292379e+00, 5.185655962052411638e+00, 1.497255955459823040e+00, 1.642528320926233132e+00, 7.912099672001352557e-01, 1.601158852234100483e+00, 1.228887748022754911e+00, 1.746231780276240597e+00
2.053000000000000000e+03, 2.115452479638084693e+00, 1.630593234469291275e+00, 2.303168661965584452e+00, 3.753015138056196687e+00, 3.066137459397968446e+00, 1.895432741835717305e+00, 1.986538005608866619e+00, 9.810795957587770122e-01, 1.740455011916135719e+00, 5.249600191563263074e+00, 1.699701462542784425e+00, 2.063955138781473408e+00, 7.555256208185141542e-01, 1.690417603975389316e+00, 1.354142678873767380e+00, 1.908239865521446976e+00
2.054000000000000000e+03, 2.362931728473161463e+00, 1.581978613609415163e+00, 2.496521574178249381e+00, 3.518942643083818211e+00, 3.177138350516547582e+00, 1.897822565925628924e+00, 2.101472026591213016e+00, 1.238960901194004371e+00, 1.769023220751058556e+00, 4.998859999698916923e+00, 1.774458013123474176e+00, 1.750051015781155073e+00, 8.639790156047721936e-01, 1.792132281387487591e+00, 1.886836584301273989e+00, 1.658163591821322447e+00
2.055000000000000000e+03, 2.108909121052170654e+00, 1.573082872142093747e+00, 2.132253556050752952e+00, 3.158111222717418176e+00, 2.978865860956062317e+00, 1.907205832732361772e+00, 1.799854489687301884e+00, 1.279585269710995732e+00, 1.884806129232394545e+00, 5.166206142374677235e+00, 1.777824181678700377e+00, 2.416946042279845663e+00, 8.435600038827836267e-01, 1.781591457680469448e+00, 1.663059127859823016e+00, 1.978480546981306265e+00
2.056000000000000000e+03, 2.018491585491659634e+00, 1.668588138049851288e+00, 1.961178191852501085e+00, 3.140011193860076766e+00, 2.982748657335830611e+00, 2.006357666605466772e+00, 1.870967473017012939e+00, 1.180322187104173359e+00, 1.486979812105865495e+00, 5.106133638616245030e+00, 1.669575041063676712e+00, 1.884629974148430254e+00, 7.613988684909480664e-01, 1.761346599691557158e+00, 2.109940088258888569e+00, 2.014307277587016554e+00
