year, UKESM1-0-LL, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, CESM2-WACCM, CMCC-ESM2, CNRM-ESM2-1
2.066000000000000000e+03, 3.082928957986913360e-11, 1.668590923919551376e-09, 7.533169987546535473e-10, 1.439913954358804675e-10, 8.883376433141079001e-10, -1.005036020347284055e-09, -3.912650160055872320e-11
2.067000000000000000e+03, 4.079041575024769091e-10, -3.630623106779469499e-09, -5.127143092573886266e-10, 1.798539807074759213e-10, -6.213509682764812891e-11, 2.008801478766110301e-09, -2.804458990900439244e-10
2.068000000000000000e+03, 9.816293651338268783e-10, 2.310367931719448073e-10, 1.755679049112934807e-09, 1.775873960889285592e-09, 1.236944741230999530e-09, 1.683094849060826702e-09, 9.700948704004551833e-10
2.069000000000000000e+03, 1.870879284594563433e-11, 1.478557290571441011e-09, 1.521784449144787129e-09, -1.370987222525726167e-09, 7.554104357953401087e-10, -2.653273660726442368e-10, 1.920125271210524375e-10
2.070000000000000000e+03, 5.883757107458958551e-10, 2.380321074967739375e-09, 1.365566875212848365e-09, 1.891939336633643782e-10, 4.906745279289202151e-10, -4.168737122270279301e-09, 7.814633227187707353e-10
2.071000000000000000e+03, 1.354855718932434057e-09, -5.314841381412130241e-10, -1.314501413971022635e-10, 8.093722835586163921e-10, 1.039411809073177035e-09, -3.627869654517761167e-09, 4.679307786087286525e-10
2.072000000000000000e+03, -1.887981715832460783e-10, 1.152961196038427823e-09, 3.848271026752637731e-10, 8.826884303473916777e-10, 1.245633044414386512e-09, 5.518714500477985954e-09, 1.247086895130108691e-09
2.073000000000000000e+03, 3.846551620178080920e-10, 4.641407575314036280e-09, 1.352617725966702539e-09, 7.962111425898638224e-10, 8.340429009792594645e-10, -1.205588038257918676e-09, 8.207791418827027040e-10
2.074000000000000000e+03, 6.329047221337528097e-10, 3.382653994344011740e-11, 5.286080419409698499e-10, 9.772044358565334306e-10, 7.211555039258829725e-10, -4.094308511567273871e-09, 9.134498489855959873e-10
2.075000000000000000e+03, 4.582615018980284607e-10, -1.736101107598455227e-09, 1.858179308991839110e-10, 2.215076617911686388e-10, 2.521110602962440738e-10, 2.162625099180202073e-09, -3.750261647597461786e-11
2.076000000000000000e+03, 5.568086531559103934e-10, 1.333309446937459994e-09, -1.121737855758028473e-09, 9.892921200744770020e-10, 8.003598540194538880e-10, -2.464292205729641725e-09, -3.912509109585812399e-11
2.077000000000000000e+03, 5.016884679018520954e-10, -4.728546558370919226e-10, 7.164184324081223508e-10, 7.150428363292590384e-10, 5.888860987995146567e-10, 1.458654396604259473e-09, 1.374774629337768659e-09
2.078000000000000000e+03, -1.951024888631368794e-10, 1.905567063822296352e-09, 1.108292145705156011e-09, 1.647772734538098077e-09, 6.849284474697478263e-10, 8.615576687878422225e-10, -1.215017221915321644e-09
2.079000000000000000e+03, 3.850014769152040171e-10, 4.912159618651868157e-09, 1.133915320550632199e-09, 2.337107124424470551e-11, 1.581685153111019097e-09, -4.527471879193538587e-09, 8.829768954046664831e-10
2.080000000000000000e+03, -3.620784795984648364e-11, 1.713562845322274873e-10, 5.420868915545079497e-10, 5.736893039703679838e-10, 7.125579528802744666e-10, -2.441190020980040705e-09, -1.058160889830912938e-09
2.081000000000000000e+03, 5.772602050220534340e-12, 1.516431352091052743e-09, -1.854607388086364362e-10, 7.888298939736719349e-10, -4.172784311703146897e-10, -5.359159000861163075e-10, 9.555772444936690502e-10
2.082000000000000000e+03, 1.634001425039071754e-10, 2.019323588432653707e-10, -7.866073254151533790e-11, 1.199632200440322872e-10, 1.628930032148469300e-09, 8.754003089005867329e-10, -5.383422546383350667e-10
2.083000000000000000e+03, 9.535666431134608526e-10, -1.954421714815271386e-09, 7.524848195586796392e-10, 1.039607239196505498e-09, 2.078461404317559223e-10, -9.852442191405363712e-10, 2.679798957654299116e-10
2.084000000000000000e+03, -1.164223963067276028e-10, 5.011542741162131323e-09, -3.235915071408774288e-10, 1.171792713876851828e-09, 1.054445661478643367e-10, 1.182754034332468719e-09, -4.202458948144136915e-10
2.085000000000000000e+03, 3.939292405249499916e-10, -3.062172370325192817e-09, -1.516300066950947977e-10, 4.066002690809582252e-10, -1.762446421882013040e-10, -5.897880096700433547e-09, 1.870322507463884015e-10
2.086000000000000000e+03, 1.086944926351501752e-09, 1.719025413175202712e-09, 4.368815804894926049e-12, -9.557863487966866520e-10, 1.707555591803449411e-09, 1.411670990934008726e-09, -6.160263702809386110e-10
2.087000000000000000e+03, 8.022548284236316752e-10, -1.095280547468280777e-10, 1.417821553953794959e-09, 6.926906143905936708e-10, 8.467422926757575176e-10, 1.455629498174417262e-09, 3.395236758722662625e-10
2.088000000000000000e+03, 4.321026660530899642e-10, -2.129711153065590116e-09, 4.589887615021107667e-10, 9.062816572553096229e-10, 6.018659725399764078e-10, -1.779995747822241013e-09, 6.832295548659241660e-10
2.089000000000000000e+03, -9.185644936336057261e-10, 1.163767192176102396e-09, -5.528849017141328497e-10, 6.726041493137610512e-10, 2.022193940514291789e-10, -6.580702324623678935e-11, -1.451661671435421690e-10
2.090000000000000000e+03, -2.643779021693967793e-10, 2.132027939841635913e-09, 7.273095380759920215e-10, -5.019770548120737357e-10, 1.309440890379266254e-09, -1.340788085887864163e-09, -9.214445556014892410e-10
2.091000000000000000e+03, 3.216820823895696606e-11, 2.371368242670925530e-09, 1.264993520969118971e-09, 1.990172290734229118e-09, -2.739162528485624597e-10, -9.535894106154286523e-10, 1.391211214748180508e-09
2.092000000000000000e+03, 9.184653559901714304e-12, 1.656147953824545334e-09, -6.323011989112309098e-11, -4.555008162098330611e-10, 1.422867291588007892e-09, -1.764755341914478237e-09, -2.565549040875400239e-09
2.093000000000000000e+03, 1.227579675032332850e-10, 2.672705774312223169e-09, -9.278886575248925056e-10, 1.753023747323111155e-09, 1.377540291859842020e-09, -1.858697900309956109e-09, 6.802162551024485105e-10
2.094000000000000000e+03, 3.830480411622426736e-10, -1.417685410244460323e-09, 1.002857756479312867e-09, 7.047795076938499300e-10, -4.548388866403348906e-12, 1.428153998847183721e-09, -1.137982494608131439e-10
2.095000000000000000e+03, 6.642704704773954488e-10, -2.514595391612313484e-09, 1.436914474251723871e-09, 1.084596327944518574e-09, 8.871184705091986762e-10, -1.443476890021010454e-09, -1.324578885663267988e-10
2.096000000000000000e+03, 1.651354900303382242e-10, 3.805722470596927452e-09, -1.065741405531284238e-11, 7.554241501385635499e-10, -3.740395288575735746e-10, -2.621982755196332194e-09, -1.113699894412111844e-10
2.097000000000000000e+03, -1.116189722356793947e-11, 2.263078041485195719e-09, -1.538413827423729817e-09, 8.683814243082113724e-10, 1.644038608029710223e-09, -3.993250444731976375e-09, -5.157763450086210879e-10
2.098000000000000000e+03, 6.272888216730612230e-10, 2.104525503804285717e-09, 4.161501146682808261e-10, -2.694219484676408195e-10, 2.181536939591029924e-10, 5.072238109808924907e-09, -7.517130286436511011e-10
2.099000000000000000e+03, -3.916892116102333266e-10, -8.335178700133849771e-10, 2.371197511835593719e-09, 5.634782525254663303e-10, 1.285827215819127592e-09, -9.002407267844056072e-10, -2.901540196644577986e-10
2.100000000000000000e+03, -1.299669868825046768e-09, 2.966619203040639409e-09, 9.994978525741803267e-10, 2.514956886060000675e-10, 1.169252141777992973e-09, -4.184096861735033388e-09, -5.945115140013474051e-10
