year, NorESM2-MM, IPSL-CM6A-LR, MIROC-ES2L, CMCC-CM2-SR5, NorESM2-LM, CESM2-WACCM, EC-Earth3-Veg, CNRM-ESM2-1, UKESM1-0-LL, ACCESS-ESM1-5, TaiESM1, MPI-ESM1-2-LR, CanESM5
2.043000000000000000e+03, 1.500986483961978024e+01, 1.075176836273108982e+01, 1.589960537099600479e+01, 4.321272552552367330e+01, 1.520550250602003217e+01, 1.532006935519497048e+01, 2.682391696049985441e+01, 3.891045808916814508e+01, 3.259606507564998878e+01, 1.358441208590909532e+01, 1.314797996269810909e+01, 1.468981221125510395e+01, 2.251986301415308844e+01
2.044000000000000000e+03, 1.502486713102330285e+01, 1.074888037400022966e+01, 1.590809359117424115e+01, 4.340987080066742720e+01, 1.522590978748282353e+01, 1.535621666770545879e+01, 2.681191671210865124e+01, 3.893610238346882113e+01, 3.266984166849387350e+01, 1.359440018792286509e+01, 1.332866204165405222e+01, 1.475999140796183973e+01, 2.253758888957171180e+01
2.045000000000000000e+03, 1.505093101701545244e+01, 1.075134181371369202e+01, 1.592312847628651973e+01, 4.346208227458193818e+01, 1.522833969607210847e+01, 1.538393637579254936e+01, 2.680383186914273352e+01, 3.896383493842676415e+01, 3.271179265305698891e+01, 1.362540061271323566e+01, 1.325101358403225049e+01, 1.471995231126155090e+01, 2.255414027919913877e+01
2.046000000000000000e+03, 1.510307120312865514e+01, 1.074701880555749156e+01, 1.592925864155316340e+01, 4.341117612182110008e+01, 1.524578826287433131e+01, 1.543855549214655021e+01, 2.678686702730129809e+01, 3.902437014428862483e+01, 3.266015934713375657e+01, 1.365735468636088257e+01, 1.323396530067030774e+01, 1.471880199383363141e+01, 2.256187816442197303e+01
2.047000000000000000e+03, 1.516350332351713703e+01, 1.073780413768856157e+01, 1.589812790012554977e+01, 4.351155501663340885e+01, 1.529262019048011290e+01, 1.547347268016097743e+01, 2.676291900413004754e+01, 3.906754211654992304e+01, 3.258894811833751248e+01, 1.368313109049403664e+01, 1.331760073161432700e+01, 1.467848836540475688e+01, 2.259795622615673238e+01
2.048000000000000000e+03, 1.516631733125676540e+01, 1.073215803295762072e+01, 1.591202262146155100e+01, 4.368395408747556274e+01, 1.531418201927015588e+01, 1.550519584578522547e+01, 2.675577854055404714e+01, 3.909089814937495788e+01, 3.257988384277209093e+01, 1.370238892135331099e+01, 1.342439307069775367e+01, 1.469963167647785340e+01, 2.262940877143861584e+01
2.049000000000000000e+03, 1.517626149865739471e+01, 1.071577475206005126e+01, 1.596209747004770207e+01, 4.378056770964744970e+01, 1.535637539540286767e+01, 1.554247459869102777e+01, 2.675860894386809008e+01, 3.913584712951593758e+01, 3.246627830773187640e+01, 1.371439307480617309e+01, 1.336762647267458171e+01, 1.475637964669532209e+01, 2.261600623408335764e+01
2.050000000000000000e+03, 1.521231965678748210e+01, 1.069488029856219136e+01, 1.600062771237080383e+01, 4.386550635572957901e+01, 1.540364111170558559e+01, 1.557748248312945982e+01, 2.674967504399458207e+01, 3.916552784251696551e+01, 3.244438520288793626e+01, 1.371732996118534587e+01, 1.332735421496739825e+01, 1.475449204837175898e+01, 2.259054135760057846e+01
2.051000000000000000e+03, 1.526899736066867952e+01, 1.068161242494331553e+01, 1.598807690582254182e+01, 4.392464118241736060e+01, 1.541480995840255375e+01, 1.562315748645050739e+01, 2.674106974970075612e+01, 3.917348555710123037e+01, 3.247372269347806650e+01, 1.372746883636646054e+01, 1.336035601107706938e+01, 1.480647541349932261e+01, 2.259914575722724805e+01
2.052000000000000000e+03, 1.532406872158062150e+01, 1.067214284281532954e+01, 1.598644435835085886e+01, 4.406726973240481016e+01, 1.543118288398349058e+01, 1.568063997430123102e+01, 2.674440891746419879e+01, 3.919292891344735352e+01, 3.245402147173973617e+01, 1.373806604121728903e+01, 1.347435360703632767e+01, 1.478217753699496662e+01, 2.264899640787811563e+01
2.053000000000000000e+03, 1.535442021212549513e+01, 1.064572896268443714e+01, 1.599523162997248882e+01, 4.419728426666488730e+01, 1.545004809516999522e+01, 1.568213483950032305e+01, 2.674946365828023787e+01, 3.922619889743069166e+01, 3.240771219634341804e+01, 1.374139745689774550e+01, 1.358193271704632821e+01, 1.480728568940805623e+01, 2.263794642142988067e+01
