year, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, CanESM5, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, INM-CM4-8
2.063000000000000000e+03, 1.379574669427874045e-01, -1.695827133318423760e-02, 1.697216461318991065e-01, 1.316102433104738081e-02, 9.494492548244769237e-02, 3.765037207726975449e-02, -7.719219483538711235e-02, -3.455878116949796103e-02, 6.930381665112099465e-02, 1.043246124720736134e-01, -1.279545397887533464e-01, 7.474255191563311529e-02, 1.714220263610352624e-01, 1.849843972271126014e-01, -2.750617464185876535e-02, -1.294872056360177326e-02
2.064000000000000000e+03, 1.632486194311686956e-01, 2.214131017712583638e-01, 9.966408319733432997e-02, -9.302958823433866986e-02, 4.051167584062514426e-01, -1.262736589337877524e-01, 1.950560233616674966e-01, -9.005073389532219919e-02, 2.260334601362064266e-01, 1.628772730978729488e-02, 1.028555903111296327e-01, -3.460025659833776412e-02, 3.709133785521625398e-02, 5.276522403805682798e-02, 5.699081535141549137e-01, -2.411170205779087639e-01
2.065000000000000000e+03, 3.431725510900753007e-02, 2.922005353732455846e-01, 1.568641349493178072e-01, -2.960553352060293908e-02, 1.137884890696346657e-01, 4.571961289810176909e-01, 4.698304522335372546e-01, -1.957140895250623902e-02, -4.498988311619814273e-02, 2.307080562485763764e-01, 1.879179983904828433e-01, -5.150261802405813050e-02, 5.820412078611839068e-02, 7.274974820164682721e-02, 2.995064681586591671e-01, 5.575470644414827204e-01
2.066000000000000000e+03, 3.800029393766504726e-02, -2.986182442470816656e-02, 1.248907454572714820e-01, 4.346110318541826847e-03, 2.248848756542954491e-02, 2.358614498794500414e-01, 1.584826308039625764e-01, 1.982161383884211564e-02, 2.059876182850853624e-02, -5.530674573334391428e-03, 1.061976719553865828e-01, 6.187841417628323071e-02, 4.210589274515928911e-03, -6.079356715564983304e-02, -8.351089221598092527e-01, 5.441699733366239800e-01
2.067000000000000000e+03, 7.578491372308186758e-02, -8.013072645718191667e-02, -8.735528231038635488e-03, 5.750364319310243694e-02, 2.637331025488138733e-02, -5.132018984733045519e-01, 1.640968046642567180e-01, -2.846238126507100001e-03, -5.005302981678361185e-02, -3.964205691395265158e-02, -7.227908849974352956e-02, 7.459411375980472270e-02, 9.793064182543122220e-02, 6.745402257347411779e-02, -1.801831874347243137e-02, 5.586983661304317783e-01
2.068000000000000000e+03, 7.067955934021308284e-02, 1.720574528508155288e-01, 1.739011647029434504e-01, 1.383836465559547257e-01, 2.472038630939582815e-01, 3.265789848900126080e-02, 2.707139214342089636e-02, -1.026910506203442403e-01, 2.352356155786808622e-01, 1.371264696297126717e-01, 2.475040760063410838e-01, 2.692747526723167084e-01, 3.732112293592762531e-02, 7.868626431220668294e-02, 9.094141901748979961e-01, -3.363765734972686827e-01
2.069000000000000000e+03, 3.053991219756727743e-02, 3.915111980648696144e-01, 1.062026056902367066e-01, 2.637442469265326075e-03, -1.908459258524999314e-01, 2.089994984899157526e-01, 2.766429688324372194e-01, -2.213633556106247083e-02, 4.084968021034440094e-02, 2.714167528575875399e-02, 2.145311548581173566e-01, 4.945759050981182736e-01, 1.199216091756872965e-01, 2.270298495635507952e-01, -5.735822443262613701e-01, 3.372167865525618063e-02
2.070000000000000000e+03, 1.317591030353553461e-01, 8.606087747935241630e-03, 6.898357626872436699e-02, 8.294533485850678900e-02, 2.557773916797241587e-02, 3.364671183765652884e-01, 9.862653973787670336e-02, -1.360302597461816691e-02, -4.413171244359850171e-02, 1.104627081939877631e-01, 1.925086295500252065e-01, 4.144645500325525034e-01, 8.776331824913888302e-02, 2.340868231019317958e-01, -1.594956283935120567e-01, -6.730369494641844086e-02
2.071000000000000000e+03, 7.918764894781599173e-02, -3.325993359497392103e-03, 1.461301529314339709e-01, 1.909986412412378320e-01, 1.125163872137282528e-01, -7.512723317195768580e-02, -1.582757611380730678e-02, 6.244469512908082387e-02, 2.603038195229600560e-01, 6.614373259721498255e-02, -1.853097569503427133e-02, -1.119795775112716330e-01, 4.729036399518404127e-02, -1.114727216735953985e-01, 1.327617187674970944e-01, 5.545634870612129071e-03
2.072000000000000000e+03, -3.207908899370423561e-02, 1.648357763368654971e-01, 1.751226469507111694e-01, -2.661552351097865379e-02, 1.249726435715401568e-01, 1.629752957744600439e-01, 1.503408767258487266e-01, -8.713476191005337101e-02, -5.587874706260738400e-02, 1.762803087290618631e-01, 5.425039190275816187e-02, 3.463288467008824312e-01, 7.310000968105646868e-02, -2.886174526542223048e-03, -1.769456904120969565e-01, 5.935578809570623005e-01
2.073000000000000000e+03, 8.583244801619327458e-02, 2.348886278562146157e-01, 1.172574869821355475e-01, 5.422615284062833052e-02, 1.136591662625188320e-01, 6.560799921070481489e-01, 1.542156718611124300e-01, -1.016888591066676534e-01, 5.198039064887250565e-02, 1.160201434995931646e-01, 1.906831437239826788e-01, -6.444567579073721963e-02, 2.298591521034531321e-02, -1.162540518047205512e-01, 2.734210699466054217e-01, 2.189610816319449704e-01
2.074000000000000000e+03, 1.069484448611094929e-01, 3.085370446115574816e-02, 1.013867296447229643e-01, 8.922274178239521236e-02, 1.372343264542374985e-01, 4.781505545243863210e-03, 3.678545358052994207e-01, -2.869648526097431235e-02, -1.579047482551927672e-02, 1.291194879975835486e-01, 7.451968231677921772e-02, -2.283374982858645541e-01, 1.144110605592571078e-01, -4.224516837540447101e-02, 3.478556788363478258e-01, 3.333941927880610390e-01
