year, TaiESM1, NorESM2-LM, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, EC-Earth3-Veg, GFDL-ESM4, NorESM2-MM, NorESM2-MM, TaiESM1, CNRM-ESM2-1
2.060000000000000000e+03, 8.053803224212000644e-11, 1.296109700686703726e-10, 1.040710735824771045e-10, 1.067460336423765962e-10, 1.214814492809320748e-10, 2.131189122589898639e-10, 7.043116350113886897e-10, 1.003189858153194221e-10, 1.742206359031080172e-10, 1.742206359031080172e-10, 8.053803224212000644e-11, 1.214814492809320748e-10
2.061000000000000000e+03, 1.283228261536168155e-10, 1.866431945078718452e-10, 7.455296295325144980e-11, 1.192131582035496795e-10, 1.590157982243964982e-10, 2.044610132666119121e-10, 3.973887172541350742e-10, 7.089249229934029225e-11, 9.683653023512054317e-11, 9.683653023512054317e-11, 1.283228261536168155e-10, 1.590157982243964982e-10
2.062000000000000000e+03, 1.863113203760495804e-10, 1.533238134685949131e-10, 1.012156382204103549e-10, 9.937691114745995365e-11, 1.279938705979080543e-10, 1.430037326643072310e-10, 8.385427251861054238e-10, 9.731335601991602415e-11, 1.120841943918433983e-10, 1.120841943918433983e-10, 1.863113203760495804e-10, 1.279938705979080543e-10
2.063000000000000000e+03, 1.662833221430379697e-10, 9.153825579424687741e-11, 9.567448475396389149e-11, 9.412045878032049467e-11, 9.635737446769045167e-11, 1.907589055736799503e-10, 1.002363691359934287e-09, 9.163847651033938517e-11, 1.010098523362694569e-10, 1.010098523362694569e-10, 1.662833221430379697e-10, 9.635737446769045167e-11
2.064000000000000000e+03, 7.385684020052199850e-11, 9.695293025336995511e-11, 1.183442758024667769e-10, 1.083470909614562530e-10, 1.465186517881028993e-10, 1.991748069342574021e-10, 4.202568712624102940e-10, 1.144283548368015558e-10, 1.608331453524469264e-10, 1.608331453524469264e-10, 7.385684020052199850e-11, 1.465186517881028993e-10
2.065000000000000000e+03, 8.456277710698296222e-11, 1.745821838840200502e-10, 1.272999220329641388e-10, 1.103795936052834698e-10, 1.029589847819459119e-10, 1.822841626549843579e-10, 5.011874446655683921e-10, 1.235401779541422507e-10, 1.886591458100059022e-10, 1.886591458100059022e-10, 8.456277710698296222e-11, 1.029589847819459119e-10
2.066000000000000000e+03, 2.458959857588593206e-10, 1.221913310949387948e-10, 8.601214952773670900e-11, 1.288890325327304649e-10, 1.780419815198663288e-10, 2.088372980708604308e-10, 1.488280895491549504e-09, 8.233396372534176253e-11, 1.619736107471738819e-10, 1.619736107471738819e-10, 2.458959857588593206e-10, 1.780419815198663288e-10
2.067000000000000000e+03, 2.066931175560554377e-10, 1.326380598121359463e-10, 1.055706902969881624e-10, 1.286763358647854574e-10, 1.650366396600697705e-10, 2.483645209559903997e-10, 1.446243141399953235e-09, 1.019208574263854388e-10, 1.750394055875646739e-10, 1.750394055875646739e-10, 2.066931175560554377e-10, 1.650366396600697705e-10
2.068000000000000000e+03, 7.737344822190316770e-11, 1.498908555888848914e-10, 8.754478724629206419e-11, 1.587832960647013529e-10, 9.521464987551366940e-11, 2.199233748589916759e-10, 5.422828827683437823e-10, 8.379374494184192554e-11, 1.308560684583699673e-10, 1.308560684583699673e-10, 7.737344822190316770e-11, 9.521464987551366940e-11
2.069000000000000000e+03, 1.944408869926884255e-10, 1.595399126954537803e-10, 1.211359349157142187e-10, 1.190619092146802109e-10, 9.940819025459059034e-11, 1.707585736475054131e-10, 3.674135201323801149e-10, 1.173504348992667331e-10, 1.307743346579850952e-10, 1.307743346579850952e-10, 1.944408869926884255e-10, 9.940819025459059034e-11
