year, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-LM, UKESM1-0-LL, TaiESM1, CESM2-WACCM, CMCC-ESM2, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.070000000000000000e+03, 2.343003991950565984e-09, 2.010436800247151383e-10, 9.496145876969714588e-11, 2.415524272564939164e-09, 1.584812900577997549e-13, 7.100745074748340423e-10, 3.887877813771088893e-10, 2.466445380701853023e-10, 2.552368504331850450e-10, 9.076633930677433815e-12
2.071000000000000000e+03, 2.367140526863446343e-09, 1.879078078331830304e-10, 8.841581298337922406e-11, 2.286263544657679467e-09, 1.492297776989031151e-13, 7.150577708967679078e-10, 3.888292275279422254e-10, 2.484767290909336932e-10, 2.557106312312334263e-10, 8.921410197657301482e-12
2.072000000000000000e+03, 2.567187617762424175e-09, 1.886567442481359135e-10, 8.671935938298612004e-11, 2.315645473607713339e-09, 1.404529968430298637e-13, 7.118361880959124103e-10, 3.879134654694199681e-10, 2.506566259797138552e-10, 2.576085302888787353e-10, 9.098572883506687168e-12
2.073000000000000000e+03, 2.393006484594375182e-09, 1.814975409163988353e-10, 7.391896499909284657e-11, 2.363814959118334342e-09, 1.340558222313313715e-13, 7.052627739615960864e-10, 3.862345108598405461e-10, 2.507744838820605695e-10, 2.595236579372669108e-10, 9.091953924395368627e-12
2.074000000000000000e+03, 2.453088473215472170e-09, 1.883871928594650222e-10, 7.365656428988465849e-11, 2.326607449975548651e-09, 1.298781783139953778e-13, 7.078889610964348732e-10, 3.848441746783993369e-10, 2.526097030934499643e-10, 2.616755981734011221e-10, 9.169726769225766074e-12
2.075000000000000000e+03, 2.687810209737777491e-09, 1.844614286902268509e-10, 7.312591725286608783e-11, 2.387477571074784557e-09, 1.462702353765131936e-13, 7.123600928466565648e-10, 3.831876175471904293e-10, 2.497456146637213015e-10, 2.612142375209410874e-10, 9.156535875164584829e-12
2.076000000000000000e+03, 2.429718748485949468e-09, 1.792511853829897487e-10, 1.011334353001526986e-10, 2.417674921157643386e-09, 1.938108057613048547e-13, 7.137601212976667187e-10, 3.944105963472963747e-10, 2.507285358541102632e-10, 2.626619464786407458e-10, 1.043203398345826286e-11
2.077000000000000000e+03, 2.510637980367424141e-09, 1.848302622037038039e-10, 1.006852349494105764e-10, 2.549857233871549775e-09, 2.296524476395653371e-13, 7.156301229512024328e-10, 3.950396748524135691e-10, 2.510755358285707298e-10, 2.661934319374386801e-10, 1.061646781285357998e-11
2.078000000000000000e+03, 2.806624267185908570e-09, 1.937452058579695877e-10, 1.030702089280459855e-10, 2.578633109749833509e-09, 2.251402051777477498e-13, 7.193217462224889572e-10, 3.936630085192647933e-10, 2.507303646515523840e-10, 2.700627823782650534e-10, 1.088393041673193910e-11
2.079000000000000000e+03, 2.624718797399200680e-09, 2.013955479594485684e-10, 1.024329390985443518e-10, 2.524473990027329903e-09, 1.964932050804345562e-13, 7.217975189401776782e-10, 3.939270013363474288e-10, 2.523625743494394458e-10, 2.699049165989499405e-10, 1.062599379070700125e-11
2.080000000000000000e+03, 2.684991550596624621e-09, 1.942174462471631841e-10, 1.051452768424651592e-10, 2.580068470440011874e-09, 1.796555752573943669e-13, 7.204661648279986199e-10, 3.941204021801744562e-10, 2.668430338190763290e-10, 2.701294171543211364e-10, 1.064548707135030469e-11
2.081000000000000000e+03, 2.488366512597918007e-09, 2.048000436649690327e-10, 1.190327663382750289e-10, 2.892544603531793043e-09, 2.649377425131547459e-13, 7.211616775585403957e-10, 4.076494106906006771e-10, 2.703605033761207018e-10, 2.717552309792448950e-10, 1.155118125560558650e-11
2.082000000000000000e+03, 2.485563525148481540e-09, 2.192172846607547710e-10, 1.213939535086412761e-10, 2.495520914360426973e-09, 3.809263104451422120e-13, 7.224570884914396645e-10, 4.063777500902975721e-10, 2.746411327597437327e-10, 2.727531794111992065e-10, 1.189106489375973615e-11
2.083000000000000000e+03, 2.472451270310250373e-09, 2.185376216421707267e-10, 1.241492927998911591e-10, 2.669095898859170027e-09, 3.834616891858589427e-13, 7.226785796155343226e-10, 4.065323674477083726e-10, 2.789097055544919422e-10, 2.752057618687005825e-10, 1.201942457423511068e-11
2.084000000000000000e+03, 2.734962187294373558e-09, 2.049620350664567253e-10, 1.266678417648509780e-10, 2.463225294101187006e-09, 3.545897720543664986e-13, 7.261272920978214146e-10, 4.039587882284952203e-10, 2.812875783192998361e-10, 2.795893257119033318e-10, 1.230217384385163444e-11
2.085000000000000000e+03, 2.809690913370841402e-09, 2.249655263507227334e-10, 1.291362423460890545e-10, 2.300981235696844938e-09, 4.393142164215623416e-13, 7.285814306851440250e-10, 4.014739255408112224e-10, 2.736802767122934549e-10, 2.800561676388795935e-10, 1.225093145276777482e-11
2.086000000000000000e+03, 2.658167485302303079e-09, 2.117733968578939628e-10, 1.287878349462559295e-10, 2.371830414055229000e-09, 2.781392856853134178e-13, 7.298743724675490546e-10, 3.995635669423269631e-10, 2.755853983014262901e-10, 2.801917400964118684e-10, 1.198569511583022886e-11
2.087000000000000000e+03, 2.544242562385158881e-09, 1.995483913280745977e-10, 1.296808100780309464e-10, 2.454741483638768466e-09, 1.772693106320210911e-13, 7.317772896164347520e-10, 3.985406629044720413e-10, 2.763512866738541170e-10, 2.801452838295718440e-10, 1.201573301741367686e-11
2.088000000000000000e+03, 2.578965014759634612e-09, 2.119922795661082071e-10, 1.307117641902448627e-10, 2.579402425825706942e-09, 1.450206826498413115e-13, 7.316629847066848512e-10, 3.970325893136729755e-10, 2.775848781329647576e-10, 2.784290979138378927e-10, 1.200940878350292669e-11
2.089000000000000000e+03, 2.662464881491998234e-09, 2.143506124696471016e-10, 1.317172352268493444e-10, 2.809045984645562347e-09, 1.275327475798299605e-13, 7.325220433119706421e-10, 3.951400894069428097e-10, 2.786380773928278936e-10, 2.789588234865898592e-10, 1.199806859134871224e-11
2.090000000000000000e+03, 2.576751400070116638e-09, 2.228960448054934537e-10, 1.325332445226913630e-10, 2.393709214778749366e-09, 1.582585345950700149e-13, 7.392617020106444721e-10, 3.950337458633862710e-10, 2.837822133031444586e-10, 2.783755487657755978e-10, 1.200198174675321342e-11
2.091000000000000000e+03, 2.597830673867680856e-09, 2.195837532179255349e-10, 1.167685648654809353e-10, 2.605344313192890270e-09, 2.896766472182135300e-13, 7.408951678162255913e-10, 3.814192793576112366e-10, 2.857730796650417476e-10, 2.811096365714336820e-10, 1.288647350132829224e-11
2.092000000000000000e+03, 2.538597976213051349e-09, 2.188152149035526896e-10, 1.119458243668983307e-10, 2.779649674589349816e-09, 3.957074958374995847e-13, 7.440393886254764773e-10, 3.846388648542547956e-10, 2.879665417627146295e-10, 2.842940128361492381e-10, 1.307339989502841950e-11
2.093000000000000000e+03, 2.639214254602593131e-09, 2.213971679600745504e-10, 1.083938471878107160e-10, 2.476706500545608686e-09, 4.302682200631314762e-13, 7.480683963946061102e-10, 3.869061404638862798e-10, 2.920341621881732339e-10, 2.877136695234617594e-10, 1.332034770823942589e-11
2.094000000000000000e+03, 2.766430598347240315e-09, 2.352464571083831544e-10, 1.081853839442210669e-10, 2.543517920420379970e-09, 4.460831290207419824e-13, 7.540929646077630537e-10, 3.886021764868897241e-10, 2.935184777607380063e-10, 2.885368730299253435e-10, 1.336589745641738995e-11
2.095000000000000000e+03, 2.634709527736724727e-09, 2.318857081766846325e-10, 1.068656558692366664e-10, 2.844746468117551079e-09, 4.265099548147819535e-13, 7.507451222923067913e-10, 3.886849957992150483e-10, 2.944479474758201757e-10, 2.895653037075115639e-10, 1.367790564617843298e-11
2.096000000000000000e+03, 2.695605778880409158e-09, 2.609049563683297651e-10, 1.184895217357401619e-10, 2.788289990265619535e-09, 3.336211256379697514e-13, 7.516362167534650051e-10, 3.896293540104448143e-10, 2.959246894664877406e-10, 2.889033655414786872e-10, 1.036030035170317699e-11
2.097000000000000000e+03, 2.770228845192733890e-09, 2.632247599254831806e-10, 1.198178700796524825e-10, 2.603319638196416334e-09, 2.836495077096045950e-13, 7.529195519414224515e-10, 3.909523598700908680e-10, 2.992916650457520636e-10, 2.910346133431824722e-10, 1.048500534258859390e-11
2.098000000000000000e+03, 2.605166793885076238e-09, 2.656288844025123869e-10, 1.193808755975117442e-10, 2.617503722735526957e-09, 2.658640771502731879e-13, 7.576770800613735272e-10, 3.920708270686422023e-10, 2.992945027858263210e-10, 2.930961834319952572e-10, 1.041338624341632347e-11
2.099000000000000000e+03, 2.503833442122840391e-09, 2.422454257542292853e-10, 1.177475594986711574e-10, 2.646280077208944166e-09, 2.615539721779379882e-13, 7.613313788201477712e-10, 3.919807604107345678e-10, 3.007431322820272414e-10, 2.933395931083402484e-10, 1.048700173556559678e-11
2.100000000000000000e+03, 2.675885205667092204e-09, 2.438364810362026832e-10, 1.162312711706742300e-10, 2.510846492563027138e-09, 3.362178987090165367e-13, 6.859826239635736624e-10, 3.925912964197094363e-10, 2.664197382891637176e-10, 1.627349083813488022e-10, 1.059146811586744705e-11
