year, CESM2-WACCM, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5
2.064000000000000000e+03, 5.833597901739138170e-01, 3.326573804301954929e-02, 3.564547486361497874e-01, 1.217846133060659586e+00, 9.719257420765858857e-01, 1.039333309287305543e-03, 1.625451911402075317e-02, 1.959513483725374705e-01, 3.456619005526536115e-01
2.065000000000000000e+03, 5.842509377260559633e-01, 3.327352552979778721e-02, 3.565110713191824710e-01, 1.217277094896772827e+00, 1.000281714620575801e+00, 1.011847857337512362e-03, 1.605678755723376205e-02, 1.964000291152546429e-01, 3.423181473464554925e-01
2.066000000000000000e+03, 5.892922348601801197e-01, 3.341722571839636502e-02, 3.561163012170817654e-01, 1.219337048875017038e+00, 9.998385609652902239e-01, 9.863857315741866427e-04, 1.539389444649595304e-02, 1.959809451744169984e-01, 3.504001662328452005e-01
2.067000000000000000e+03, 5.853264620019681397e-01, 3.356703460161356012e-02, 3.556852014324572431e-01, 1.219460911027468786e+00, 9.869056561346728484e-01, 9.632941426323876274e-04, 1.469524393399338456e-02, 1.955413358480517783e-01, 3.447595895254301768e-01
2.068000000000000000e+03, 5.844922657278494027e-01, 3.381938897219719659e-02, 3.551452722141737461e-01, 1.219891592761006338e+00, 9.763457066762305514e-01, 9.416641271413216021e-04, 1.395305454936485515e-02, 1.953020585438940138e-01, 3.401567593763520359e-01
2.069000000000000000e+03, 5.929514080843041324e-01, 3.394520316229912571e-02, 3.550774897967547972e-01, 1.226822580056291523e+00, 9.803726339799498923e-01, 9.206630875622269505e-04, 1.320194371446472593e-02, 1.953323042508609275e-01, 3.360087215482515099e-01
2.070000000000000000e+03, 5.780667650346887898e-01, 3.413319005270432777e-02, 3.561813636844639586e-01, 1.234678893688065271e+00, 9.532791343226901803e-01, 9.000852900412844053e-04, 1.245346843477186487e-02, 1.944055429956315362e-01, 3.321308058852243117e-01
2.071000000000000000e+03, 5.874705395090183968e-01, 3.398678670286059411e-02, 3.577985260380984189e-01, 1.239846372373013539e+00, 9.660954364921378046e-01, 8.818871869007620466e-04, 1.170633064489107027e-02, 1.940912851485477597e-01, 3.288537169862200127e-01
2.072000000000000000e+03, 5.907059505465844795e-01, 3.386243791702051031e-02, 3.592621959407394372e-01, 1.242638094000984905e+00, 9.746589578252639052e-01, 8.647291737164097001e-04, 1.098685216147404602e-02, 1.943247686221853954e-01, 3.262094562369003414e-01
2.073000000000000000e+03, 5.790162051075230520e-01, 3.367854284526018704e-02, 3.601669778696112711e-01, 1.247227381298928961e+00, 9.818198490948452095e-01, 8.488375618828421926e-04, 1.040389451671559252e-02, 1.940658476282928757e-01, 3.235620553826418222e-01
