year, GFDL-ESM4, INM-CM4-8, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, CESM2-WACCM, EC-Earth3-Veg, CanESM5, INM-CM5-0, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1, MPI-ESM1-2-LR, UKESM1-0-LL, TaiESM1
2.045000000000000000e+03, 1.370022242593778028e+00, 6.048181546697982469e+00, 4.605051204648122898e+00, 2.285047725322709500e+00, 3.174427398992937022e+00, 2.981442784229654919e+00, 3.656279072724530010e+00, 5.227273171830963072e+00, 7.815417254058398377e+00, 5.938835433253069951e+00, 3.368315627144777391e+00, 3.271780999821617186e+00, 4.968718495281744474e+00, 5.677291238720973077e+00, 3.172515091740245374e+00, 4.787935595688471935e+00
2.046000000000000000e+03, 1.501301704233468870e+00, 6.345065655458241416e+00, 4.772425387673109753e+00, 2.279240318482308236e+00, 3.055613764472286942e+00, 2.811966860539942825e+00, 3.345731605303083889e+00, 5.190955636639102089e+00, 7.592456139391418724e+00, 5.769604609653129934e+00, 3.144541151803465162e+00, 3.273704771559724058e+00, 4.601584694371567252e+00, 5.116389014713141670e+00, 3.080901469490649802e+00, 4.941780051943443830e+00
2.047000000000000000e+03, 1.567480866143726059e+00, 5.866164019722042156e+00, 3.750859687433590217e+00, 2.242251480917920592e+00, 2.827998667146570444e+00, 2.771428796702433139e+00, 3.659318878702529254e+00, 5.255004131616735741e+00, 8.163897662650350995e+00, 5.398609296895616971e+00, 3.340786949824410268e+00, 3.232682640175293720e+00, 4.626226734056148260e+00, 5.748842079086210255e+00, 2.992009291857474995e+00, 4.301590759968358491e+00
2.048000000000000000e+03, 1.456429239767891071e+00, 5.972572044604860686e+00, 4.226135349357556414e+00, 2.211660477339656872e+00, 3.292835773906328978e+00, 2.971300506149557208e+00, 3.805724059951725469e+00, 5.287576705694530865e+00, 8.267118347029668968e+00, 6.020383225949140993e+00, 3.425662285956802666e+00, 3.145321016204394304e+00, 5.067625459559895518e+00, 6.889636344729702877e+00, 2.530365432090850408e+00, 4.353207485509196673e+00
2.049000000000000000e+03, 1.505850708934238336e+00, 6.123692396054404519e+00, 4.179051417162888526e+00, 2.099566151907880762e+00, 3.214581516581025866e+00, 2.486517067131003067e+00, 3.672832349979723521e+00, 5.257279117802226232e+00, 7.747864623364823622e+00, 5.615624781271920440e+00, 3.533093922676860732e+00, 2.836623891697947819e+00, 5.134922725865428639e+00, 6.270578856625403930e+00, 2.895952515061571031e+00, 4.920702112303287024e+00
2.050000000000000000e+03, 1.512018179329148504e+00, 6.390310795361039631e+00, 4.347363897460326143e+00, 2.223443916714675339e+00, 3.279948034666863244e+00, 2.656250383616814315e+00, 3.743152954280476230e+00, 5.097988688585028072e+00, 7.534095832420216965e+00, 6.006554510820081738e+00, 3.262738889237005502e+00, 3.355227497283632232e+00, 4.710839187626728375e+00, 7.272484175111330273e+00, 3.182974089475753665e+00, 4.862803948625511907e+00
2.051000000000000000e+03, 1.382572660036609280e+00, 6.454772577571617376e+00, 4.321096907789401698e+00, 2.175157756633243622e+00, 3.216185412497422735e+00, 2.931092089803888356e+00, 3.505292173310948556e+00, 5.790194503397495751e+00, 8.178723773382763795e+00, 5.809782098084853352e+00, 3.352629038521329541e+00, 3.324258667038747728e+00, 4.479480398047761547e+00, 6.395498376266066209e+00, 3.038787755845759886e+00, 5.124530697285688774e+00
2.052000000000000000e+03, 1.376005464599286077e+00, 7.053231220607699470e+00, 3.547650837587017492e+00, 2.119016158718582510e+00, 3.075501443807302060e+00, 2.947616713383914622e+00, 3.495394693758961946e+00, 5.631807546835463363e+00, 8.199715071468277827e+00, 5.915384285045449886e+00, 3.578092850405326431e+00, 2.703470334252040974e+00, 4.582598393652026481e+00, 6.369977877919551723e+00, 3.003934561832840355e+00, 4.229008514229478877e+00
2.053000000000000000e+03, 1.296488379109581368e+00, 7.224559905794092352e+00, 4.204525356577386574e+00, 2.076400805573658470e+00, 3.188857662555256489e+00, 3.060806202400043752e+00, 4.005189771368812046e+00, 5.765081864058413608e+00, 8.313983434838126740e+00, 6.059782120418335971e+00, 3.432084575207247745e+00, 2.794272920725702658e+00, 5.052315606381678315e+00, 7.109861485605741827e+00, 3.209195444975203149e+00, 4.293988089619560355e+00
2.054000000000000000e+03, 1.477366364067620896e+00, 6.865950545315679499e+00, 3.588645470425881445e+00, 2.485825090486012634e+00, 3.414146949504264228e+00, 2.979503740375926579e+00, 4.262047079826783325e+00, 6.065760664018544190e+00, 8.032946307080429449e+00, 6.250405445230762247e+00, 3.439032702131102237e+00, 3.739894345532048359e+00, 4.524058486446643990e+00, 7.646429168322701031e+00, 3.312989368483526320e+00, 4.576351896273935793e+00
2.055000000000000000e+03, 1.443405060991701516e+00, 6.280422780083247503e+00, 4.917774629761533234e+00, 2.578449222923413053e+00, 3.404951697602853322e+00, 2.953982415895716862e+00, 3.869662593809505502e+00, 5.931454870570577853e+00, 8.223832728148554594e+00, 5.938992634024446993e+00, 3.477839700555943381e+00, 3.455813889542436179e+00, 5.243659440381469139e+00, 6.729401096889171541e+00, 3.497903391260322792e+00, 4.666358212716014364e+00
2.056000000000000000e+03, 1.310662647770858502e+00, 6.246571327774844029e+00, 4.391673463140763900e+00, 2.426467683348088045e+00, 3.386747911160186142e+00, 3.141741952254351933e+00, 3.693114445345547558e+00, 5.596059597009442221e+00, 8.135549211376996936e+00, 5.917286550839473414e+00, 3.624369470537514459e+00, 4.167084975087856691e+00, 5.403900689041400085e+00, 6.112748274238707147e+00, 2.803478890394637268e+00, 4.693129686218230567e+00
2.057000000000000000e+03, 1.323853242004740194e+00, 6.485210474761990085e+00, 4.221029479005633078e+00, 2.200257306406256497e+00, 2.960263470467813907e+00, 2.959638330825221431e+00, 3.907469083510852315e+00, 5.867553937413741316e+00, 8.319593714883636082e+00, 6.092700695503872055e+00, 3.490894841347662148e+00, 3.560469132657335223e+00, 5.639897475466326249e+00, 6.114789764828717722e+00, 2.808331996178145218e+00, 4.883451988275773203e+00
2.058000000000000000e+03, 1.336172283473496813e+00, 6.982156565001687021e+00, 4.244805774280235866e+00, 2.292608242932550056e+00, 3.450451889224419144e+00, 2.997577287983665961e+00, 3.515347376551682945e+00, 5.777929965707935267e+00, 8.209923955211523960e+00, 5.708895438778627707e+00, 3.486862931051375902e+00, 3.238134169110633120e+00, 4.785646450122965412e+00, 6.740237734805221592e+00, 3.234437055029240504e+00, 4.551625054190141739e+00
2.059000000000000000e+03, 1.362285204754956958e+00, 6.767999109214727582e+00, 4.350691927226095324e+00, 2.152795889335486379e+00, 3.466900628685108732e+00, 2.885273771041708901e+00, 3.149808359692146897e+00, 5.600263639518312075e+00, 8.214424086358295796e+00, 6.047966453414414190e+00, 3.319565914072116986e+00, 3.467519973523233379e+00, 5.155711205739204495e+00, 7.408038176128908248e+00, 3.231117078000399712e+00, 4.490308950985461678e+00
2.060000000000000000e+03, 1.346382821238444549e+00, 6.982386055081234666e+00, 4.015127210977063044e+00, 2.254904561177193845e+00, 3.364456895078681509e+00, 3.091014649746179899e+00, 3.670921973341452649e+00, 5.764987968631591464e+00, 8.355452865782501348e+00, 5.991760088090068770e+00, 3.363482073505905223e+00, 3.492052703251107726e+00, 5.343754245949141612e+00, 6.946324669258518547e+00, 3.015620258785031371e+00, 5.394727096855389092e+00
2.061000000000000000e+03, 1.401013949559243743e+00, 6.853661720687431291e+00, 4.196510253905537446e+00, 2.211963600132985430e+00, 3.423197868952510436e+00, 2.817455100900338572e+00, 3.531072806892929794e+00, 5.998819500646278335e+00, 8.556632041712942893e+00, 5.782835794495682080e+00, 3.528093194179755976e+00, 4.038493046318248680e+00, 4.956679330762725932e+00, 6.755613151527720461e+00, 3.284670271042238632e+00, 5.601263664127206887e+00
2.062000000000000000e+03, 1.379858517548856911e+00, 6.842520140261387773e+00, 4.890117073000654457e+00, 2.156093409194593136e+00, 3.651320855343741290e+00, 2.907017421349677111e+00, 3.816107109775717987e+00, 6.069262304788787254e+00, 8.087235375009605320e+00, 5.748799489272593100e+00, 3.473714077674202816e+00, 4.081624475094093540e+00, 4.970542938471129268e+00, 6.313593266243782587e+00, 3.423752967753543430e+00, 4.636997245681554247e+00
