year, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CMCC-ESM2, CanESM5, CESM2-WACCM, GFDL-ESM4, MPI-ESM1-2-LR
1.924000000000000000e+03, 7.047301493121563348e-11, -2.208457062917235781e-10, -2.712526349262193889e-10, -2.868646793645803187e-10, -1.433121907804981262e-09, 4.946835001425789208e-10, -4.437389313879866824e-10, -1.085119002916317029e-09
1.925000000000000000e+03, 4.319254651614912861e-10, -8.243535487141042553e-10, 3.395500757494347899e-10, 7.060078656799678237e-10, -4.337925150344627159e-10, -6.698950601428887814e-10, -5.120809155581846784e-10, 7.695358051722613848e-12
1.926000000000000000e+03, 4.282220102361162300e-10, -3.181069114896088066e-10, -5.081460659326641264e-10, 6.474704780081951037e-10, 2.534668888330156656e-10, 2.327175875683125804e-11, -4.750776720275358372e-10, -4.251585973774672188e-10
1.927000000000000000e+03, 7.811813622188021274e-10, -8.051660717121646997e-10, -6.665537903634313843e-10, 1.406217077102959291e-09, -7.935952416469783249e-11, 1.738516297064003228e-11, -8.104069491733555619e-11, -5.409433266810227250e-10
1.928000000000000000e+03, 6.257593152653604369e-10, -6.671431683830148184e-10, -6.687725780191588309e-10, -1.531535270451265787e-09, -1.014988159385882398e-09, -1.317994704628650588e-10, -5.331243545008003034e-10, -1.114853933668790721e-09
1.929000000000000000e+03, 4.259262329250490480e-10, -3.023756342252291255e-10, 2.439006939630362508e-10, -5.592209416345444676e-10, -3.273291885722969707e-10, 1.782344833810150268e-10, -2.477057349130283597e-10, 2.757102409152088178e-10
1.930000000000000000e+03, 4.234145075735360034e-10, 7.406439215029943353e-10, -6.611292696345229426e-12, 1.252914599479135522e-09, -1.554802674830318034e-10, -2.685073569870337934e-11, -2.947284260222380615e-10, 1.455279854616226080e-09
1.931000000000000000e+03, -7.437966211165352862e-11, -3.003002170553337321e-10, 4.447856298417505718e-10, 5.546445860968245487e-10, -4.737534138728933708e-10, -3.526688178455072813e-10, 6.750995710789183860e-12, -1.136670251173786755e-10
1.932000000000000000e+03, 8.565126614276666216e-10, -4.071429539380253423e-10, -3.735604652124831611e-10, -1.397695348275085034e-09, -6.486722212404896350e-10, -1.000508978248821107e-10, -3.442858891466716655e-11, -8.286874512179300563e-10
1.933000000000000000e+03, -7.311699749463122160e-10, 2.930944966708581884e-10, -3.743932631367903043e-10, 1.965044823976905078e-10, -6.936981627471050362e-10, 1.877547381426647508e-10, -4.420162444181096777e-10, 3.296387800793619878e-10
1.934000000000000000e+03, 4.420605798201508451e-10, 2.490079742534066077e-10, -2.699413888950637069e-11, -8.705444725914673506e-10, -4.090409716153857619e-10, -2.075006342536596378e-10, -1.092504522730391447e-09, 1.237756668617259015e-10
1.935000000000000000e+03, 1.753184131500181771e-10, -4.438440350620854612e-10, -9.639136863432910479e-11, 2.027207108153178167e-10, 4.597815846955931062e-10, -5.371979221672915850e-11, 1.311176315450658740e-10, -4.587131973920884335e-10
1.936000000000000000e+03, 1.475055480204700730e-09, 9.192112427161296807e-11, 5.553299503446155086e-10, 2.604021845114653559e-09, -4.327790728748015147e-10, -7.893949788335758998e-11, -6.237021620577853089e-10, 1.269473763939051614e-09
1.937000000000000000e+03, 4.132899622778925215e-11, -6.433473724710838196e-11, 1.472388629491654311e-10, 1.954666122935209786e-09, -3.326595978538396725e-10, -1.255007203686950091e-10, 1.392811873865498266e-10, -1.488399222523293354e-09
1.938000000000000000e+03, 3.931113193571964139e-12, -2.934053284909584370e-10, -5.770521550197918183e-10, -9.398044637157557126e-10, -1.376607814236275981e-10, -1.713796391348109094e-10, -4.709337263270652899e-10, 7.066880929953945385e-10
