year, CanESM5, CESM2-WACCM, CNRM-ESM2-1, MIROC-ES2L, GFDL-ESM4, NorESM2-LM, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-MM, CMCC-CM2-SR5, TaiESM1
1.882000000000000000e+03, 7.461779514933732926e+00, 1.572202109559583505e+00, 1.498326432477984582e+01, 1.741487152702524455e+01, 5.360899938918509022e+00, 1.405743638823805597e+00, 4.905897752315922844e+00, 3.140260943451140374e+00, 1.098696176265672442e+01, 2.084802017089559367e+00, 1.549393964242395949e+00, 2.520581898479915317e+00, 2.654375227518868119e-01
1.883000000000000000e+03, 7.438718131551222079e+00, 1.518131072392006065e+00, 1.504987638854122345e+01, 1.742365330841212767e+01, 5.365485800932505711e+00, 1.399928468462557696e+00, 4.939026903234926991e+00, 3.138259172705411881e+00, 1.097472512619747498e+01, 2.089944558129458674e+00, 1.594257380491392873e+00, 2.435544353535068041e+00, 2.895005659069975756e-01
1.884000000000000000e+03, 7.542249083072303684e+00, 1.505482796423131209e+00, 1.508786667507118651e+01, 1.743398282236436003e+01, 5.391912595828531884e+00, 1.430311358656006337e+00, 4.956404221332586069e+00, 3.187288361712181217e+00, 1.100012038003657544e+01, 2.084962145382502463e+00, 1.572534315605738087e+00, 2.506592628445969861e+00, 2.458381127946007716e-01
1.885000000000000000e+03, 7.786708163853663933e+00, 1.480971020638421898e+00, 1.514794403080742136e+01, 1.750105134980158894e+01, 5.372968111222648169e+00, 1.377657822490786055e+00, 4.938090031411710434e+00, 3.253038706513938561e+00, 1.107293297582267222e+01, 2.208466162799843424e+00, 1.558028481474569071e+00, 2.775802439738908944e+00, 3.840879348039772379e-01
1.886000000000000000e+03, 7.785032509154901526e+00, 1.542373601464763100e+00, 1.511778962732774190e+01, 1.758050416709262365e+01, 5.398227178749936961e+00, 1.419205506365615044e+00, 4.923303568370210215e+00, 3.295275343725447836e+00, 1.107710130286902483e+01, 2.248049833179845969e+00, 1.581857848466025507e+00, 2.737807323563486328e+00, 4.455688418099637560e-01
1.887000000000000000e+03, 7.824113484552853492e+00, 1.620138607217254778e+00, 1.532596873091835299e+01, 1.756407080550364341e+01, 5.376919520553746779e+00, 1.464339394939191408e+00, 4.949904779394502796e+00, 3.354621150524268902e+00, 1.104026826731970701e+01, 2.182280144817952738e+00, 1.547146165208605595e+00, 2.474303069719103743e+00, 3.067764749702706073e-01
1.888000000000000000e+03, 7.909823543507044974e+00, 1.564065790327971550e+00, 1.518331319394060941e+01, 1.746899403843340437e+01, 5.371186558198258965e+00, 1.417030803611132983e+00, 4.907946143282956086e+00, 3.398536971621681779e+00, 1.106167004534506049e+01, 2.095843025007823712e+00, 1.625306342121651371e+00, 2.464968419170859182e+00, 2.977512706511901697e-01
1.889000000000000000e+03, 7.864955991633997279e+00, 1.556300568906387571e+00, 1.539098173450440044e+01, 1.747674684816451318e+01, 5.368842708009619713e+00, 1.409286207057182105e+00, 4.878466318812404445e+00, 3.395734198750441024e+00, 1.110730486771494441e+01, 2.075267795077792243e+00, 1.631207059535837889e+00, 2.515275842976473442e+00, 3.752676990951065994e-01
1.890000000000000000e+03, 7.938648600461258198e+00, 1.531402041723688878e+00, 1.530536984060636563e+01, 1.747044344490873868e+01, 5.323318370054719750e+00, 1.425541551070830248e+00, 4.864104710559376876e+00, 3.329346114002800228e+00, 1.113058920496765936e+01, 2.031028992701710223e+00, 1.635883981726561354e+00, 2.272233095648669821e+00, 3.339559290855103613e-01
1.891000000000000000e+03, 7.994029928349385195e+00, 1.571761877347076286e+00, 1.537369144851357738e+01, 1.748606336790759030e+01, 5.285672700179581796e+00, 1.434340747276562800e+00, 4.861756603205871663e+00, 3.253889389214962957e+00, 1.117539744793651479e+01, 2.019513346359159023e+00, 1.562078239526987211e+00, 2.535469401863708061e+00, 2.550102273818698473e-01
1.892000000000000000e+03, 7.963406527476309726e+00, 1.578850979302709012e+00, 1.553784557937591693e+01, 1.751365599735786915e+01, 5.286812782131871558e+00, 1.389141920829187304e+00, 4.839171303551953685e+00, 3.256764387068163291e+00, 1.115071823003588491e+01, 2.022977818704914998e+00, 1.519433497803643007e+00, 2.545185359878939568e+00, 3.190056279252266869e-01
1.893000000000000000e+03, 7.967844983346163090e+00, 1.620841284675350602e+00, 1.555910024875734621e+01, 1.748908153238740226e+01, 5.305532545296491875e+00, 1.440135144371117670e+00, 4.873997441408807418e+00, 3.294507860448915970e+00, 1.114579043848793738e+01, 2.006574312685912354e+00, 1.592231370919588995e+00, 2.362775890768111786e+00, 4.172684909102044593e-01
1.894000000000000000e+03, 8.079052046895341732e+00, 1.572090790818865269e+00, 1.562931133869143707e+01, 1.741974800832779025e+01, 5.253846565795587509e+00, 1.455018230788123645e+00, 4.857274066701985582e+00, 3.266857229149807917e+00, 1.118909322099788284e+01, 1.933214973585351437e+00, 1.614063673107537955e+00, 2.597137807430232481e+00, 3.340488064072674734e-01
1.895000000000000000e+03, 8.091773492635473630e+00, 1.513685636987984084e+00, 1.568802935743117466e+01, 1.740126688466277827e+01, 5.245109951869626919e+00, 1.390655082928245578e+00, 4.870421185444924639e+00, 3.222029640717814392e+00, 1.124651711469748250e+01, 1.897316095278016812e+00, 1.617031434006975354e+00, 2.393111335840244269e+00, 3.057863686616244525e-01
1.896000000000000000e+03, 8.055318494249995354e+00, 1.556439105186158578e+00, 1.576554760943019495e+01, 1.737753210016600747e+01, 5.235850572747424714e+00, 1.414117393896379360e+00, 4.884280640618124281e+00, 3.234215105482915131e+00, 1.119686764593848238e+01, 1.931826715201897526e+00, 1.613349461086109438e+00, 2.352993608071701548e+00, 3.919293956680812707e-01
1.897000000000000000e+03, 8.206724809954208055e+00, 1.561824443048751787e+00, 1.580316349949378107e+01, 1.737092657672199536e+01, 5.225703006679554896e+00, 1.492831094763595212e+00, 4.856178942011686317e+00, 3.271694832259609331e+00, 1.122239237139179480e+01, 1.985506686738039095e+00, 1.545665389427375525e+00, 2.142259764562066238e+00, 3.132009157972350244e-01
1.898000000000000000e+03, 8.138532511222699384e+00, 1.548478498848098850e+00, 1.578491267469847692e+01, 1.728835552824218169e+01, 5.207328214926704391e+00, 1.467608343300360163e+00, 4.807335928499307798e+00, 3.291161646160338794e+00, 1.116593013493741005e+01, 2.000009994881707609e+00, 1.589602670785273508e+00, 2.641426355713224705e+00, 3.115248501607198461e-01
1.899000000000000000e+03, 8.079619088290836970e+00, 1.570620266131390608e+00, 1.575783092168802568e+01, 1.721525607561146032e+01, 5.151755499194194066e+00, 1.410177581012146408e+00, 4.784901140756679716e+00, 3.291883845034024869e+00, 1.117574249810636111e+01, 1.948991268372124441e+00, 1.593010663343611855e+00, 2.643373328226301666e+00, 2.951578881084430117e-01
1.900000000000000000e+03, 8.046753722892157512e+00, 1.569457106541522595e+00, 1.584728183656099176e+01, 1.725341498108721439e+01, 5.104310585285261936e+00, 1.415209163864836750e+00, 4.831201127532485984e+00, 3.299398850196137101e+00, 1.116953395347366396e+01, 1.911395501911427708e+00, 1.573937565573301001e+00, 2.815087859110968704e+00, 3.414237990679494517e-01
1.901000000000000000e+03, 7.963020399532545035e+00, 1.565460894117787660e+00, 1.583211507780779570e+01, 1.722992313952811827e+01, 5.057887708070351707e+00, 1.421679127209560134e+00, 4.818833116920326454e+00, 3.354906275289603279e+00, 1.112342903004412520e+01, 1.926195710842280917e+00, 1.562917701526311154e+00, 2.871301053844952378e+00, 4.018058300332800203e-01
1.902000000000000000e+03, 7.965072007224962114e+00, 1.557059948577609987e+00, 1.571518517019887540e+01, 1.718080736964228095e+01, 5.083440145861306547e+00, 1.395272475749983698e+00, 4.773655856234429784e+00, 3.375548627044771877e+00, 1.108906116923325058e+01, 1.936919389732861152e+00, 1.571627606046992920e+00, 2.654328153577098615e+00, 3.197487411856788642e-01
1.903000000000000000e+03, 7.866122227455791815e+00, 1.548034559630344198e+00, 1.580410269510751853e+01, 1.711185849002596626e+01, 5.066373471322786592e+00, 1.422151658160883958e+00, 4.857024967701920382e+00, 3.386061733913048322e+00, 1.117385059770403544e+01, 1.939863976618419583e+00, 1.533777738257389611e+00, 2.120447903197238748e+00, 3.350361440422121584e-01
1.904000000000000000e+03, 7.868446853325329116e+00, 1.585906778082627921e+00, 1.581632710627386373e+01, 1.715691517797581156e+01, 5.077997612637825675e+00, 1.423399813674709913e+00, 4.872436439417342946e+00, 3.408196029794748672e+00, 1.122856114022900798e+01, 1.989021788518272604e+00, 1.570186226441729449e+00, 2.398375110018938550e+00, 3.191814332562074030e-01
