year, IPSL-CM6A-LR, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-LM
1.880000000000000000e+03, 2.826249612472150829e+01, 6.171465978926325846e+01, 3.524387180033232880e+01, 7.839338381404925826e+01, 1.827078196198940248e+02, 3.828926549718188710e+01, 3.711787678399691259e+01, 5.007191967335563731e+01, 1.472923148687949535e+01, 1.404304425306047754e+01, 5.951693718126315957e+01, 8.773734651796480932e+01, 1.039840331706313350e+02, 3.660214927142452268e+01
1.881000000000000000e+03, 2.828489482052291848e+01, 6.171261223425898379e+01, 3.521970113007522940e+01, 7.837675472275145694e+01, 1.826327578435524970e+02, 3.831038010336860111e+01, 3.713553839765481257e+01, 5.008465778768488974e+01, 1.481014041434833750e+01, 1.400469588049199210e+01, 5.949844829431075510e+01, 8.775753904702675356e+01, 1.040450247193694793e+02, 3.660487628792387227e+01
1.882000000000000000e+03, 2.828892029745989944e+01, 6.168910602280118383e+01, 3.524614664328520064e+01, 7.833672545928223485e+01, 1.826114035712207055e+02, 3.832400615225918727e+01, 3.713723238717962971e+01, 5.010032999884977301e+01, 1.478466281255060366e+01, 1.397470397138428666e+01, 5.949141952642627018e+01, 8.775326188707575170e+01, 1.040886038379921104e+02, 3.659582800967238825e+01
1.883000000000000000e+03, 2.829657730485405409e+01, 6.170380168321869263e+01, 3.520661582286896163e+01, 7.830778724108678546e+01, 1.825787850089051574e+02, 3.831559635736647351e+01, 3.714386752317313523e+01, 5.010812861881782965e+01, 1.472821580780541950e+01, 1.393936117959729160e+01, 5.948707806295364264e+01, 8.777442685268056266e+01, 1.040968203842492699e+02, 3.658309274867097827e+01
1.884000000000000000e+03, 2.831038706389191972e+01, 6.169654936733621042e+01, 3.520181757926439303e+01, 7.826667455945906227e+01, 1.825340590434216210e+02, 3.829516949121983060e+01, 3.715975617340381376e+01, 5.012834580285835528e+01, 1.467893638123225664e+01, 1.389738299455297899e+01, 5.947900234676193065e+01, 8.779983184525818274e+01, 1.040739162451532280e+02, 3.658631393231542717e+01
1.885000000000000000e+03, 2.831642988212440315e+01, 6.167651117308597009e+01, 3.529036992765321656e+01, 7.822308293709907900e+01, 1.825074413224043610e+02, 3.826538424783330328e+01, 3.715451093224014301e+01, 5.017347988091523092e+01, 1.463473996502658991e+01, 1.391532686165929711e+01, 5.949671532735577983e+01, 8.784719210229360442e+01, 1.040263096941153549e+02, 3.657637378780036386e+01
1.886000000000000000e+03, 2.831221847058096941e+01, 6.170181470856456940e+01, 3.534261012998067741e+01, 7.821323817901098607e+01, 1.825581028616936408e+02, 3.825285409193396902e+01, 3.716746383802394149e+01, 5.022850484040779406e+01, 1.471779041227520679e+01, 1.388338480747440862e+01, 5.952360848921617276e+01, 8.788719336709442587e+01, 1.040285176364912303e+02, 3.656764622971211054e+01
1.887000000000000000e+03, 2.831246650035720691e+01, 6.176357333863233379e+01, 3.530471015508847898e+01, 7.818556119072161437e+01, 1.825374525781443538e+02, 3.827984281701337466e+01, 3.716071050992686509e+01, 5.028540925847336496e+01, 1.476046636408353763e+01, 1.383694389654481149e+01, 5.952357182383556022e+01, 8.795387445542904459e+01, 1.040204363091004467e+02, 3.658505763323982762e+01
1.888000000000000000e+03, 2.831637649331146989e+01, 6.179090825487030259e+01, 3.531173922163043954e+01, 7.816574518824009488e+01, 1.825137973650994354e+02, 3.829334615834014244e+01, 3.716941201999942734e+01, 5.035628249128343725e+01, 1.466783790581106039e+01, 1.381420583713994255e+01, 5.949908117311336753e+01, 8.800376033281493449e+01, 1.040334396174187930e+02, 3.658781129783590558e+01
1.889000000000000000e+03, 2.829870060843605017e+01, 6.179318105468289701e+01, 3.533343346410667607e+01, 7.815364657788175862e+01, 1.825178984415193781e+02, 3.828825759357735592e+01, 3.718435166701377170e+01, 5.042235361413388262e+01, 1.471226398630809129e+01, 1.379519995941840094e+01, 5.947208031084550584e+01, 8.804443617078537443e+01, 1.040396360597995340e+02, 3.657795621529969310e+01
