year, NorESM2-MM, INM-CM5-0, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, CMCC-CM2-SR5, CNRM-ESM2-1, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, EC-Earth3-Veg, CanESM5, INM-CM4-8, UKESM1-0-LL, IPSL-CM6A-LR
1.931000000000000000e+03, 1.091120876021589403e+01, 2.164183676923111221e+01, 1.043041448444024155e+01, 3.230555501114607608e+01, 8.979494832235612733e+00, 7.474798840181796855e+00, 1.713429161445923654e+01, 1.208973508692301380e+01, 4.266623777160361897e+00, 1.881846784353864876e+01, 4.383463177911846920e+00, 1.034340107810057674e+01, 2.303806240113674164e+01, 2.043852200775479488e+01, 1.141772393662317775e+01, 6.604401853598316663e+00
1.932000000000000000e+03, 1.089143180733434946e+01, 2.163128574745224597e+01, 1.048514323136565274e+01, 3.238343513171682986e+01, 8.967697300380590875e+00, 7.848077970098778167e+00, 1.724453780000653325e+01, 1.208640141150322478e+01, 4.216819735909296263e+00, 1.881675054070383624e+01, 4.726284157631761573e+00, 1.039156792423694142e+01, 2.298344284488496569e+01, 2.044562818383504421e+01, 1.137497221069135733e+01, 6.552882197575649492e+00
1.933000000000000000e+03, 1.089885399058298532e+01, 2.151287315993084803e+01, 1.040509927179255278e+01, 3.241844133316359944e+01, 8.926818821364019385e+00, 7.181465849602288287e+00, 1.713486709349937342e+01, 1.208548528305525060e+01, 4.248307358693133473e+00, 1.884597941908562291e+01, 4.727549555549570570e+00, 1.046923135451311815e+01, 2.295255524474615072e+01, 2.045889182010196095e+01, 1.137742706303620288e+01, 6.573897960948817065e+00
1.934000000000000000e+03, 1.088794725541946029e+01, 2.153447714112750688e+01, 1.034702781858770315e+01, 3.242623646386216762e+01, 8.845914166658376487e+00, 7.053291754751157328e+00, 1.715176379381925997e+01, 1.203524688111191310e+01, 4.291132923581762348e+00, 1.895310497031053387e+01, 4.708733996789168152e+00, 1.049297082692955030e+01, 2.300174216195690846e+01, 2.047628574937182933e+01, 1.140866163387217824e+01, 6.522348623056388739e+00
1.935000000000000000e+03, 1.088057065350997554e+01, 2.159227210295236432e+01, 1.033852611649394504e+01, 3.251202888252605305e+01, 8.796663981803863663e+00, 7.557226633312319031e+00, 1.721424948591441151e+01, 1.204036032967819558e+01, 4.281451066232188296e+00, 1.892371727542164805e+01, 4.607644383971535085e+00, 1.049782852416729639e+01, 2.309116468210864070e+01, 2.053251770860526193e+01, 1.140288327585098926e+01, 6.534405198264622072e+00
1.936000000000000000e+03, 1.080085166732050439e+01, 2.156156123081971288e+01, 1.040602825233222362e+01, 3.254080831719072364e+01, 8.745823097088859299e+00, 7.633067675218428327e+00, 1.736447885843456618e+01, 1.199932641108670062e+01, 4.350453428297053726e+00, 1.899236692445956720e+01, 4.557911627057748660e+00, 1.046835634191797837e+01, 2.308988356117005836e+01, 2.051758389408723815e+01, 1.136374152186152919e+01, 6.534247822167902342e+00
1.937000000000000000e+03, 1.079760611406368120e+01, 2.151458211227233974e+01, 1.038812402298133719e+01, 3.259226401074221968e+01, 8.718143475383687502e+00, 6.833089482393320147e+00, 1.731093914704691272e+01, 1.204089285078362259e+01, 4.261720191401751734e+00, 1.912906586094153383e+01, 4.643960022007248334e+00, 1.025772712192167724e+01, 2.305216389990864911e+01, 2.046805749049702428e+01, 1.136297289803678368e+01, 6.523283656817341125e+00
1.938000000000000000e+03, 1.073377712437973841e+01, 2.149010338795751807e+01, 1.044602687842345468e+01, 3.272555060666562099e+01, 8.609503620212489494e+00, 7.063802070091204754e+00, 1.732053295711022756e+01, 1.205798677858594381e+01, 4.254389383243613487e+00, 1.912172965019829363e+01, 4.812902194468865247e+00, 1.022550060305594499e+01, 2.299377599023411634e+01, 2.044755242516352212e+01, 1.131942022982907936e+01, 6.430946975013466904e+00
1.939000000000000000e+03, 1.070449279744826931e+01, 2.148638076659572604e+01, 1.051831942050391078e+01, 3.285094137103513390e+01, 8.573073668274293624e+00, 7.721700656003060104e+00, 1.730740370633041891e+01, 1.199875834664890206e+01, 4.264994952711463228e+00, 1.911740043757219709e+01, 4.908174524656515381e+00, 1.026884836690372360e+01, 2.290586098284909156e+01, 2.049358567066315473e+01, 1.127039535884440014e+01, 6.424075504354280319e+00
1.940000000000000000e+03, 1.071320053145803186e+01, 2.164082422936771977e+01, 1.050447434213499953e+01, 3.293508841488560535e+01, 8.572683217659834654e+00, 7.433348979964914172e+00, 1.730240571337228062e+01, 1.200930347627190820e+01, 4.235714396577093588e+00, 1.909444658021014263e+01, 4.885548915728025854e+00, 1.027801187056197918e+01, 2.288154382700024669e+01, 2.049961869800976899e+01, 1.125660882342173963e+01, 6.453749930977812355e+00
1.941000000000000000e+03, 1.082310694075441226e+01, 2.174584533899462357e+01, 1.044071668521251262e+01, 3.300448907330503800e+01, 8.547805030660756032e+00, 7.169739366210197140e+00, 1.736190369558767088e+01, 1.205167501372921279e+01, 4.266447989538212582e+00, 1.913793324179554389e+01, 4.678523033527949515e+00, 1.026225317212989196e+01, 2.299130698372295001e+01, 2.051859417839332522e+01, 1.126143303598041712e+01, 6.369618702541136379e+00
1.942000000000000000e+03, 1.090768140054080249e+01, 2.167707383490780515e+01, 1.033203940521266517e+01, 3.306849312233471494e+01, 8.418372398608980234e+00, 7.579028696540953902e+00, 1.737707543057943482e+01, 1.209412123640058034e+01, 4.326842106550603972e+00, 1.903392900835680379e+01, 4.616286938508769033e+00, 1.037922305193015404e+01, 2.300350980037077520e+01, 2.060504628229665514e+01, 1.128998946541443615e+01, 6.418917777941626213e+00
1.943000000000000000e+03, 1.096781261067639690e+01, 2.156463176728634679e+01, 1.025088501212192860e+01, 3.311909300084379737e+01, 8.354444346181642445e+00, 7.531632346862026317e+00, 1.732073573581399017e+01, 1.208900061403142701e+01, 4.331721493031355230e+00, 1.911927776171000914e+01, 4.491337811600229379e+00, 1.048526912578097203e+01, 2.292342382119083410e+01, 2.055382170695765964e+01, 1.127963818142038654e+01, 6.426240889122380118e+00
1.944000000000000000e+03, 1.095255067867588039e+01, 2.165098877690722645e+01, 1.035745282110972987e+01, 3.313536576156556634e+01, 8.328682731086066937e+00, 7.252303709675412158e+00, 1.743896852767444017e+01, 1.216430267207210925e+01, 4.339874201992533820e+00, 1.914575559638148405e+01, 4.467103133314130226e+00, 1.048701930702513963e+01, 2.296887163339253490e+01, 2.053950001830807892e+01, 1.132918029183668729e+01, 6.463797702923911537e+00
1.945000000000000000e+03, 1.095916446127781541e+01, 2.161831912937723033e+01, 1.032727594409042382e+01, 3.317332003269333995e+01, 8.304277468333308931e+00, 7.123979283780461635e+00, 1.757619593174699446e+01, 1.217424218227150767e+01, 4.279077016217868845e+00, 1.913526529407665677e+01, 4.710360055887535147e+00, 1.036267480740667324e+01, 2.300532620578971077e+01, 2.053601954929889573e+01, 1.136135145580394123e+01, 6.489528114248857449e+00
1.946000000000000000e+03, 1.097384135399375715e+01, 2.147269230088977210e+01, 1.037171161314471313e+01, 3.321562045119492268e+01, 8.276146237364434555e+00, 7.474369347137410635e+00, 1.759216615266824491e+01, 1.210904734350762446e+01, 4.310690369011371814e+00, 1.916069735860662959e+01, 4.724017759752293877e+00, 1.019912933994232773e+01, 2.291408355178181111e+01, 2.053793400978340600e+01, 1.137981765324260053e+01, 6.467491575665913928e+00
1.947000000000000000e+03, 1.092001641304019977e+01, 2.148848764420219126e+01, 1.046444090356890477e+01, 3.333397561034635004e+01, 8.235602742943068932e+00, 7.825469085688677495e+00, 1.762594493847677768e+01, 1.208389411862499863e+01, 4.337679852222927401e+00, 1.924359050829609785e+01, 4.699363678218627882e+00, 1.020955502491493583e+01, 2.287965302452536775e+01, 2.055451252608511226e+01, 1.136795488373753038e+01, 6.439652457111464834e+00
1.948000000000000000e+03, 1.084627667351285751e+01, 2.151779631417192462e+01, 1.050302651822351763e+01, 3.336560067142278285e+01, 8.196762741840588617e+00, 8.026550762532846051e+00, 1.756783055674257099e+01, 1.213937744474254821e+01, 4.341855439357779289e+00, 1.928641888455615572e+01, 4.748710455404594910e+00, 1.030828619542858604e+01, 2.294492032111195101e+01, 2.062309742793864586e+01, 1.138289776333478720e+01, 6.431671401914453412e+00
1.949000000000000000e+03, 1.074873619099516020e+01, 2.151874680008973684e+01, 1.052816595127655042e+01, 3.331900097712235720e+01, 8.138653604041088840e+00, 7.478687433214302516e+00, 1.762045167007031310e+01, 1.208352981184450670e+01, 4.326981055798949427e+00, 1.934831197282681359e+01, 4.891765646835623649e+00, 1.032346452112179236e+01, 2.291788503938935406e+01, 2.065448913582997648e+01, 1.140501474025392170e+01, 6.451092603212867260e+00
1.950000000000000000e+03, 1.069344666535682542e+01, 2.144479466517790911e+01, 1.052112629990315185e+01, 3.333935097205223741e+01, 8.137345569310761917e+00, 7.449329959928048694e+00, 1.777622273238392125e+01, 1.196329335087354018e+01, 4.304213118483104061e+00, 1.945198469818488363e+01, 4.711495323147602221e+00, 1.025581676916012164e+01, 2.288603766202703937e+01, 2.070690282271918292e+01, 1.138745677369171005e+01, 6.432654072249935240e+00
1.951000000000000000e+03, 1.070470464477803318e+01, 2.133462359095947747e+01, 1.057123018369434320e+01, 3.343613053336023455e+01, 8.074872767779734062e+00, 7.389776366313709488e+00, 1.780007126447452848e+01, 1.206104345319205784e+01, 4.309392630486108544e+00, 1.945501701851980059e+01, 4.481787228867849748e+00, 1.027439339276573804e+01, 2.279457688292930584e+01, 2.077321452417560010e+01, 1.133410473171301724e+01, 6.391423463228071533e+00
1.952000000000000000e+03, 1.076092058755065040e+01, 2.125016831618663105e+01, 1.064323157861366553e+01, 3.353806478774711763e+01, 8.047708175704533673e+00, 7.231840617363213930e+00, 1.783819400716301473e+01, 1.209409216072756799e+01, 4.324238753620766929e+00, 1.936509359945518582e+01, 4.454320467264504479e+00, 1.030170387877105753e+01, 2.289906570181990730e+01, 2.070128800748892672e+01, 1.132109629215506885e+01, 6.414306741473796869e+00
1.953000000000000000e+03, 1.074348143025981805e+01, 2.130310426952068426e+01, 1.063059033773534168e+01, 3.352769578202940437e+01, 8.020112571026475123e+00, 7.307195902920939901e+00, 1.787403276005656494e+01, 1.200959317695536832e+01, 4.288357977774298391e+00, 1.929746297770389774e+01, 4.577431553520023400e+00, 1.035571514873165633e+01, 2.281640328921278638e+01, 2.055742558867637015e+01, 1.130907209340749198e+01, 6.400508308564480942e+00
1.954000000000000000e+03, 1.078698306351136615e+01, 2.147837331251095705e+01, 1.055017201900651180e+01, 3.353368169539449895e+01, 7.907791442080403854e+00, 6.965794750692609227e+00, 1.794620409399279382e+01, 1.196813058003439245e+01, 4.302461162242018133e+00, 1.920387190294554358e+01, 4.682545437954385825e+00, 1.040709119412914418e+01, 2.283118781941672992e+01, 2.050904155567423004e+01, 1.131336930736127577e+01, 6.489400591322912248e+00
1.955000000000000000e+03, 1.086018134661877887e+01, 2.157568439638431812e+01, 1.054848969690326221e+01, 3.352308510416983722e+01, 7.838073357659277818e+00, 7.439587333009346715e+00, 1.797899908059953233e+01, 1.193094247336580871e+01, 4.327298658799181297e+00, 1.928972795789472627e+01, 4.551078611684656217e+00, 1.028522646029980336e+01, 2.275046504985067131e+01, 2.059109079870146530e+01, 1.132736799298305463e+01, 6.507658093787861198e+00
1.956000000000000000e+03, 1.087538741399910691e+01, 2.149559154817073292e+01, 1.056592095465083503e+01, 3.355403110712477144e+01, 7.820277829759058719e+00, 7.725545337281381819e+00, 1.793532920468952696e+01, 1.197870825512555015e+01, 4.346322976665397242e+00, 1.948729724252498485e+01, 4.646932639369737217e+00, 1.020834464453396428e+01, 2.270062996535856215e+01, 2.063705626559893602e+01, 1.132649295507726173e+01, 6.510999539970010019e+00
1.957000000000000000e+03, 1.093372158468481459e+01, 2.141580778876071989e+01, 1.057733171405459949e+01, 3.359935431610144718e+01, 7.787067112761640431e+00, 7.043002911564639312e+00, 1.805426301335686290e+01, 1.192311932042969147e+01, 4.313766530087619344e+00, 1.954757859710338508e+01, 4.898405294288890488e+00, 1.023908222866324458e+01, 2.255529073225154235e+01, 2.053127794151220442e+01, 1.131073299026852297e+01, 6.513121809085527403e+00
1.958000000000000000e+03, 1.096194571170616605e+01, 2.153447773384265318e+01, 1.063068801312321732e+01, 3.365542758004245627e+01, 7.769560395871229375e+00, 7.414614996606930575e+00, 1.804581032855734435e+01, 1.196094245863620920e+01, 4.275083417554046861e+00, 1.949946411873584395e+01, 4.695099877370023655e+00, 1.030147647832296975e+01, 2.250334427551400296e+01, 2.060394974627958931e+01, 1.132049893879044866e+01, 6.553966985025859948e+00
1.959000000000000000e+03, 1.096652340798701175e+01, 2.155397360872051138e+01, 1.057573715354187094e+01, 3.366907616556806460e+01, 7.707451075537549379e+00, 7.470810603142655992e+00, 1.803754935322753994e+01, 1.196401220210652561e+01, 4.271515123805563086e+00, 1.946423582194257307e+01, 4.805660987977265819e+00, 1.026797457041732642e+01, 2.232904984273628202e+01, 2.070810106495276415e+01, 1.127544163473185712e+01, 6.570230223407599546e+00
1.960000000000000000e+03, 1.090828904090677121e+01, 2.149469127343199304e+01, 1.052724257534635477e+01, 3.372658747062928342e+01, 7.669306809627021160e+00, 7.030770872810007788e+00, 1.816245107412676774e+01, 1.195270544063220619e+01, 4.233395861320525810e+00, 1.954735247835894896e+01, 4.770931955635606236e+00, 1.018757360149471225e+01, 2.221733566166926011e+01, 2.080543073889164063e+01, 1.123979562508739072e+01, 6.520853348907174940e+00
1.961000000000000000e+03, 1.091540956431771114e+01, 2.154940069800913705e+01, 1.050471382621045890e+01, 3.376764030858574017e+01, 7.622672255648622830e+00, 7.262402619382740454e+00, 1.823206370916529551e+01, 1.194966088596851606e+01, 4.283533281219874311e+00, 1.971122267575186982e+01, 4.697293061503460265e+00, 1.022028183575713278e+01, 2.221719312913085176e+01, 2.078116593428364567e+01, 1.121931819234963434e+01, 6.554420355916580121e+00
1.962000000000000000e+03, 1.095565532159497302e+01, 2.153661240507365804e+01, 1.047638958934449604e+01, 3.381440170577604931e+01, 7.648913822878246727e+00, 7.022400007806297140e+00, 1.842914372933111977e+01, 1.194996751955997105e+01, 4.346840448700720394e+00, 1.971102168235610108e+01, 4.759489084501900003e+00, 1.020676947374961685e+01, 2.233039013592572175e+01, 2.074072017297842763e+01, 1.126237835240229579e+01, 6.651776637975449269e+00
