year, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-LM, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL
1.904000000000000000e+03, 1.405078570261755836e-09, 9.607719394676393174e-10, 2.548938627420995076e-10, 3.818080282958370974e-11, 2.327644889256119480e-09, 2.533692146317167983e-10, 2.677311562587799239e-10, 1.149906767543887862e-09
1.905000000000000000e+03, 1.431930005816712185e-09, 9.356828298018164293e-10, 2.506385686333467338e-10, 3.867033770090459801e-11, 2.304533937532954789e-09, 2.228842020325642841e-10, 2.625555818739570793e-10, 1.061895090742120255e-09
1.906000000000000000e+03, 1.459327798854348944e-09, 9.880781655412761373e-10, 2.483243809346620284e-10, 3.888126414805498197e-11, 2.452665158577655407e-09, 2.685451029748089283e-10, 2.594768757685944641e-10, 1.153044935209569251e-09
1.907000000000000000e+03, 1.440997453378017543e-09, 8.407793334172077867e-10, 2.468841470522305889e-10, 3.904989904127368569e-11, 2.188818545782971042e-09, 3.569440266721543462e-10, 2.582101696689314682e-10, 1.157689519875789001e-09
1.908000000000000000e+03, 1.492796576948918585e-09, 9.969759462057934152e-10, 2.450492154272043184e-10, 3.912119302958355253e-11, 2.060439307246234261e-09, 3.670352912873727382e-10, 2.572393695047146157e-10, 1.080739976768843978e-09
1.909000000000000000e+03, 1.517757581430374274e-09, 9.921609698867033395e-10, 2.434269826671953348e-10, 3.918747147134732963e-11, 2.232192017572103953e-09, 3.074211385463880347e-10, 2.557898103664668444e-10, 9.078658137547905941e-10
1.910000000000000000e+03, 1.498220176222882803e-09, 9.465906254434990151e-10, 2.414819970554341407e-10, 3.932692033868928983e-11, 2.205410106128955218e-09, 3.286147345767617851e-10, 2.522427039899600014e-10, 1.002284381689203982e-09
1.911000000000000000e+03, 1.447583755095210719e-09, 1.009823267524317105e-09, 2.422456049253020038e-10, 3.980599293821497504e-11, 2.313932212946786484e-09, 3.667370165477931758e-10, 2.507176570521359784e-10, 1.155438037435253976e-09
1.912000000000000000e+03, 1.438451800160583556e-09, 1.030112715037197557e-09, 2.400129337563069377e-10, 4.033270040416196513e-11, 2.290315601587723400e-09, 3.815181462466983399e-10, 2.484035644521508868e-10, 1.018063042045245832e-09
1.913000000000000000e+03, 1.433633617430385489e-09, 9.330846843142957397e-10, 2.375422213994559066e-10, 4.053336883797076383e-11, 2.469546424586109960e-09, 3.291446113684920246e-10, 2.478889016112954830e-10, 1.093984159976927971e-09
1.914000000000000000e+03, 1.484221147977842866e-09, 9.313934943925408753e-10, 2.365817548449073936e-10, 4.038487175323027919e-11, 2.512663804133983857e-09, 2.850831036882416706e-10, 2.465011187891096904e-10, 1.170479406205604794e-09
1.915000000000000000e+03, 1.538350642163416368e-09, 9.726185732518859778e-10, 2.371321006955082805e-10, 4.081296272948789039e-11, 2.253759185498256243e-09, 3.428397932900992772e-10, 2.466591473414202549e-10, 1.119764327494099889e-09
1.916000000000000000e+03, 1.485411642971192443e-09, 9.646766562908212509e-10, 2.374491356543883887e-10, 4.128358508455171401e-11, 2.236749141758882991e-09, 3.367475579650120173e-10, 2.465691136401922020e-10, 1.344881342911098576e-09
1.917000000000000000e+03, 1.459806089301461174e-09, 9.992883912232320359e-10, 2.499016998490321551e-10, 4.091058853262781413e-11, 1.806962201148213970e-09, 3.671734675623524338e-10, 2.527767263381100386e-10, 1.250902872985139173e-09
1.918000000000000000e+03, 1.453401684085957074e-09, 1.000431902479509262e-09, 2.552132310266743008e-10, 3.986747795953668817e-11, 2.283847392981856120e-09, 3.830275725032864520e-10, 2.547770353751151881e-10, 1.263548356031494697e-09
1.919000000000000000e+03, 1.449746762075637822e-09, 9.171577423961435335e-10, 2.570194829514037079e-10, 3.861068034953081070e-11, 2.211616901979003253e-09, 3.223484827854870064e-10, 2.499381472338140917e-10, 1.305875679459868049e-09
