year, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, INM-CM4-8, NorESM2-LM, CESM2-WACCM, NorESM2-MM, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, EC-Earth3-Veg, MPI-ESM1-2-LR, UKESM1-0-LL, ACCESS-ESM1-5
1.880000000000000000e+03, 2.814973724327173272e+02, 2.824994031593942054e+02, 2.813020170782966716e+02, 2.814411240330209694e+02, 2.821705725697910907e+02, 2.825019319425584285e+02, 2.822092533458355206e+02, 2.820595717596929717e+02, 2.818572807261824096e+02, 2.801600333520617596e+02, 2.799087762333925298e+02, 2.834277366052214120e+02, 2.792655496505913106e+02, 2.805505058044554971e+02, 2.809117064271627555e+02, 2.825026039650120424e+02
1.881000000000000000e+03, 2.813766124152252814e+02, 2.819456948481249583e+02, 2.819298382269294052e+02, 2.820135464126531701e+02, 2.818677996622599835e+02, 2.820222686063922879e+02, 2.822117852339142701e+02, 2.830508941208571514e+02, 2.822013334546787178e+02, 2.803427824643317763e+02, 2.806783181225694648e+02, 2.834361665698102115e+02, 2.786927771937718035e+02, 2.813369266870261072e+02, 2.808299218318329622e+02, 2.821311669509658486e+02
1.882000000000000000e+03, 2.810556295595619645e+02, 2.816729666419894897e+02, 2.819700176577363209e+02, 2.817421410620195275e+02, 2.821846032355110765e+02, 2.829380168549599261e+02, 2.821380666867365790e+02, 2.821466987982165620e+02, 2.813377012320901258e+02, 2.802847764215077291e+02, 2.802214860597455868e+02, 2.831511492005977857e+02, 2.790285654416616126e+02, 2.807043583853111954e+02, 2.799438295066959199e+02, 2.824762472013612182e+02
1.883000000000000000e+03, 2.807074196289865426e+02, 2.817088456395950402e+02, 2.816616481362013928e+02, 2.817744522957791560e+02, 2.826933663236281404e+02, 2.813171046384231886e+02, 2.816251556937658620e+02, 2.819001524384937625e+02, 2.818388346354014971e+02, 2.811452297535985281e+02, 2.795233420603454988e+02, 2.827775868763176845e+02, 2.792524823526472915e+02, 2.805441922925844551e+02, 2.803334452807899879e+02, 2.822858897122918620e+02
1.884000000000000000e+03, 2.814578390022445546e+02, 2.819344073602590015e+02, 2.812392357379713985e+02, 2.814489963567688164e+02, 2.830349178535463466e+02, 2.820480506082174657e+02, 2.811928456711219724e+02, 2.824766363582035638e+02, 2.804618822637352196e+02, 2.790847463162423310e+02, 2.804550881673322351e+02, 2.820619772214693626e+02, 2.779787926242519234e+02, 2.797573918864372331e+02, 2.808379913195807944e+02, 2.811420073041457499e+02
1.885000000000000000e+03, 2.809944570504360968e+02, 2.810640976277622940e+02, 2.806407141254248359e+02, 2.818642455636507975e+02, 2.835660403060047656e+02, 2.816991006390435359e+02, 2.818980115070332886e+02, 2.818868202888663745e+02, 2.804807730553212082e+02, 2.797694052094791459e+02, 2.798085794229684780e+02, 2.824108289103702987e+02, 2.770600799249544934e+02, 2.816111231757825522e+02, 2.801993746213098575e+02, 2.809580730960021810e+02
1.886000000000000000e+03, 2.811576835830323375e+02, 2.808571644719675078e+02, 2.810143310930206439e+02, 2.824093357012230854e+02, 2.823630262465449619e+02, 2.823624682613890968e+02, 2.811880361842973457e+02, 2.810144019724315285e+02, 2.807558552269077268e+02, 2.801016042536936084e+02, 2.794679257836838815e+02, 2.830791469068062156e+02, 2.783652620904455830e+02, 2.814257155809294204e+02, 2.799062511876289818e+02, 2.813606307334715098e+02
1.887000000000000000e+03, 2.812846192285537086e+02, 2.805421118819938897e+02, 2.819479531122914295e+02, 2.820191001465771592e+02, 2.822892107524457970e+02, 2.806371723070840858e+02, 2.807144686734396259e+02, 2.819425839937421188e+02, 2.809372498247993235e+02, 2.801032617554948843e+02, 2.800458663351830069e+02, 2.834260605804079205e+02, 2.800580693793663158e+02, 2.805247981561136612e+02, 2.803673272838519779e+02, 2.807141852972764013e+02
1.888000000000000000e+03, 2.808291649499849996e+02, 2.815065083451045211e+02, 2.821364281302305130e+02, 2.815276461145746794e+02, 2.825302736635977681e+02, 2.813245580454652099e+02, 2.811629295303299614e+02, 2.821415237735209303e+02, 2.811964709743889443e+02, 2.795677013835376670e+02, 2.797387700768719583e+02, 2.830416907055704883e+02, 2.794757070896455389e+02, 2.801915210524953181e+02, 2.803138082639663367e+02, 2.811175061964675024e+02
1.889000000000000000e+03, 2.821017701882685174e+02, 2.815730175856492679e+02, 2.816115207028299210e+02, 2.812026106232155485e+02, 2.827099053324805595e+02, 2.819467321175038705e+02, 2.812398744791473746e+02, 2.816847791567091122e+02, 2.804849388775314765e+02, 2.796376202745546493e+02, 2.798181575116736894e+02, 2.827498918763841971e+02, 2.785607689143615175e+02, 2.794163027910624351e+02, 2.802718004205902957e+02, 2.819664517249311189e+02
