year, UKESM1-0-LL, EC-Earth3-Veg, ACCESS-ESM1-5, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, NorESM2-MM, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, CMCC-ESM2, GFDL-ESM4, INM-CM4-8, CanESM5
1.897000000000000000e+03, 2.097237330825000523e+00, 1.133444635254705402e+00, 1.473293663729355663e+00, 1.091723408657606864e+00, 1.052497697027570123e+00, 1.219069062321841868e+00, 1.446574222706844548e+00, 9.805680304187173180e-01, 1.208575192011713817e+00, 1.121172766436937751e+00, 1.258219071075100670e+00, 1.282793310847206936e+00, 1.731075058953718049e+00, 1.351915981511132125e+00, 1.425212427735651488e+00, 1.394486986307617471e+00
1.898000000000000000e+03, 2.118039603705959895e+00, 1.065613994670567610e+00, 1.461625440366589590e+00, 1.053120302154225030e+00, 1.045777988954393445e+00, 1.288882386777279843e+00, 1.426415957649279198e+00, 1.048789452196892791e+00, 1.136074064349618329e+00, 1.179275426302926588e+00, 1.252343624855888571e+00, 1.378389009008293531e+00, 1.931304808092525471e+00, 1.311299399841135527e+00, 1.420826369176736881e+00, 1.419815673042170712e+00
1.899000000000000000e+03, 2.113567747934904428e+00, 1.086682878325367474e+00, 1.416205787531172877e+00, 1.062277373013678528e+00, 1.064532569249090344e+00, 1.284417128459075741e+00, 1.436217077536614095e+00, 1.138386013998807567e+00, 1.136247194717322717e+00, 1.210857845991007986e+00, 1.196167341477021973e+00, 1.464656992221309295e+00, 1.816158200984912208e+00, 1.382626721127925506e+00, 1.419940253420684861e+00, 1.418422826835433526e+00
1.900000000000000000e+03, 2.179209731542179895e+00, 1.144054256875459030e+00, 1.421871599857374990e+00, 1.051392765859877620e+00, 1.080117137328713950e+00, 1.235886398409579146e+00, 1.431387236569859889e+00, 1.069340787188927999e+00, 1.102294822206555169e+00, 1.062092840370655544e+00, 1.210690737532603034e+00, 1.507544180505018483e+00, 1.643923319691950047e+00, 1.325899222508170050e+00, 1.497953107497435932e+00, 1.380932481021059699e+00
1.901000000000000000e+03, 2.104641431443142530e+00, 1.148625363149425871e+00, 1.480450977230306941e+00, 1.100239360476535477e+00, 1.001647128804844078e+00, 1.197156910347151548e+00, 1.501385005136750328e+00, 1.040199977089012018e+00, 1.128956979036965569e+00, 1.028683472065828663e+00, 1.163698348865907839e+00, 1.333569302994594530e+00, 1.998108074784804122e+00, 1.380859343895005864e+00, 1.512480384912065601e+00, 1.432589460264538372e+00
1.902000000000000000e+03, 2.118146929509521659e+00, 1.121322023547755453e+00, 1.487584754174113177e+00, 1.134176144979275547e+00, 1.130689842475327556e+00, 1.240568138666893638e+00, 1.508435710926015361e+00, 1.042197355753537558e+00, 1.128516489986163274e+00, 1.135098749919849048e+00, 1.220561475494801318e+00, 1.289211259655915542e+00, 2.358059198267451251e+00, 1.368491416296472529e+00, 1.530615128577480943e+00, 1.443631947410739746e+00
1.903000000000000000e+03, 2.133831117559678692e+00, 1.124451182919466552e+00, 1.484284712163949305e+00, 1.129549733114361798e+00, 1.113476977855909489e+00, 1.224544561887783045e+00, 1.416831882280984001e+00, 1.044850048114218666e+00, 1.205223814513508129e+00, 1.156130345111953339e+00, 1.268271580698265399e+00, 1.335855539450667484e+00, 2.328207003599060521e+00, 1.347807269426465115e+00, 1.416501665181821634e+00, 1.431391999361670608e+00
1.904000000000000000e+03, 2.088998441049321197e+00, 1.193036706703847649e+00, 1.462341908996337869e+00, 1.090161998135867005e+00, 1.120849776347170978e+00, 1.250217620155140708e+00, 1.419592550687340138e+00, 9.694893583497508072e-01, 1.129023159427314127e+00, 1.206451104570238186e+00, 1.190016875692120557e+00, 1.248122753284275799e+00, 2.156584180143057417e+00, 1.378763424868959531e+00, 1.500225179024427646e+00, 1.413402399647470720e+00
1.905000000000000000e+03, 2.101374439494083646e+00, 1.147361843676772741e+00, 1.452183124982967977e+00, 1.164240012389161416e+00, 1.110850203727512753e+00, 1.249592883427776302e+00, 1.454524765679156673e+00, 9.664394509815418255e-01, 1.183061307694230679e+00, 1.279390026439941153e+00, 1.216211792692003968e+00, 1.358345964163830688e+00, 2.010192280672728593e+00, 1.319740868876237982e+00, 1.369840415442638459e+00, 1.389267278686074691e+00
1.906000000000000000e+03, 2.126742019625425417e+00, 1.177307288990857348e+00, 1.455915631804631793e+00, 1.138090803392520778e+00, 1.151108108795825924e+00, 1.269392118525898727e+00, 1.424309572335970220e+00, 1.039557084015942712e+00, 1.177285454808404408e+00, 1.102326641546799824e+00, 1.213353757528148780e+00, 1.459373434677238013e+00, 1.752077524099560302e+00, 1.307837540952023758e+00, 1.450705813635685404e+00, 1.421599447415411444e+00
