year, GFDL-ESM4, INM-CM4-8, NorESM2-MM, UKESM1-0-LL, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, TaiESM1, MPI-ESM1-2-LR, INM-CM5-0, ACCESS-ESM1-5, IPSL-CM6A-LR, CanESM5, MIROC-ES2L, CMCC-CM2-SR5, CNRM-ESM2-1
1.890000000000000000e+03, 2.399545216579690443e+00, 1.856501960531295570e+00, 1.925035626278211121e+00, 2.082996669839355608e+00, 1.918488440589111166e+00, 1.998593686510012457e+00, 2.063986417551669561e+00, 2.060324782211684802e+00, 2.217800800989979670e+00, 1.991115589993245782e+00, 2.467186270237843093e+00, 2.474292203362251641e+00, 1.845255628204073517e+00, 2.319194150023049961e+00, 2.064593975550624183e+00, 2.555524499310685815e+00
1.891000000000000000e+03, 2.520475985938579022e+00, 1.925292511880233759e+00, 2.036677317030965995e+00, 1.831781865833970624e+00, 1.930832142569163912e+00, 2.039691878080161391e+00, 2.060920344953039329e+00, 2.143501716755941811e+00, 2.034907820133067702e+00, 1.812525430268322912e+00, 2.447247741658450160e+00, 2.446824441319891186e+00, 1.935352159519530213e+00, 2.514659972298211699e+00, 1.967946178884023789e+00, 2.402270860627301996e+00
1.892000000000000000e+03, 2.384922471210856543e+00, 1.966501685974589630e+00, 1.963942386820571873e+00, 2.094999973781882296e+00, 1.966775602157475378e+00, 1.936598492083197565e+00, 1.942424136450412897e+00, 2.076132803810900818e+00, 2.271217996199350164e+00, 1.722855330768016557e+00, 2.490551576651088617e+00, 2.528552426893558192e+00, 2.031788469674151276e+00, 2.281763384395664840e+00, 2.077035092422653051e+00, 2.429434725064671952e+00
1.893000000000000000e+03, 2.293903525140255084e+00, 1.955375820462668779e+00, 2.017163492011036396e+00, 2.130558968614622017e+00, 1.974463040153894733e+00, 1.920759398197872114e+00, 1.969416103098932558e+00, 2.003172913228823404e+00, 2.158744542058142368e+00, 1.983209989319929534e+00, 2.357282793336640037e+00, 2.463846533617964241e+00, 1.882721241000682388e+00, 2.326988651899584593e+00, 2.192386042070745056e+00, 2.395731041991576937e+00
1.894000000000000000e+03, 2.515283606321077059e+00, 1.855599146568665425e+00, 2.050263650296020757e+00, 2.020753563114372486e+00, 1.864126335846909566e+00, 1.799900410399690953e+00, 2.027770369421463048e+00, 2.158308819725663241e+00, 2.163285177467736187e+00, 1.958063159679914511e+00, 2.362211351334869924e+00, 2.468468257094245555e+00, 1.993281908972952321e+00, 2.447359821232129473e+00, 2.048534671694270504e+00, 2.514256482238798274e+00
1.895000000000000000e+03, 2.488892042434759144e+00, 1.848421092863843596e+00, 2.021164991007863510e+00, 1.996778037182977972e+00, 1.936621644536931308e+00, 2.177310028442197787e+00, 2.107156567309927286e+00, 2.266087960342902718e+00, 2.197378380338055770e+00, 2.009373109284163128e+00, 2.595756464091449445e+00, 2.753167033767137006e+00, 2.024221716798105586e+00, 2.370146169897973998e+00, 2.224341451915290424e+00, 2.547183831812338983e+00
1.896000000000000000e+03, 2.371960157547473358e+00, 1.952557149449987595e+00, 2.039334880174029863e+00, 2.158566630824775956e+00, 1.809335511790614692e+00, 2.228982655138129321e+00, 1.908741493615497387e+00, 1.935636397030263023e+00, 2.288393502759103360e+00, 1.970111397196056657e+00, 2.617271026204518680e+00, 2.314422469314483699e+00, 1.805254123067499439e+00, 2.410099760355807863e+00, 2.159852054134397736e+00, 2.504974395971193424e+00
1.897000000000000000e+03, 2.393067033797246168e+00, 1.625011613541800459e+00, 2.019105818945907238e+00, 2.049983209522372007e+00, 1.869306075712443338e+00, 1.849498396990604254e+00, 2.059653297838975217e+00, 2.157336379543590255e+00, 2.187205748814487816e+00, 1.963240495940722585e+00, 2.592424329992699228e+00, 2.549454561670292829e+00, 2.026352780962609401e+00, 2.585769668196909343e+00, 2.346098123375760736e+00, 2.203724055757262601e+00
1.898000000000000000e+03, 2.419174995126855077e+00, 1.840445376307664027e+00, 2.069649092733993001e+00, 1.992613001744078183e+00, 1.771307435206442626e+00, 1.991260582595085760e+00, 2.061628592792738246e+00, 2.097006235287465437e+00, 2.218830627576555248e+00, 1.939864171355243361e+00, 2.528692680339009069e+00, 2.434730002060673471e+00, 2.056743366392494998e+00, 2.446252112387560018e+00, 2.047080179009116208e+00, 2.515951063271820942e+00
1.899000000000000000e+03, 2.515239186162870677e+00, 1.773256139166477396e+00, 2.008980136203310618e+00, 2.117078008975664005e+00, 1.975305791236686481e+00, 1.883074780620187738e+00, 1.920376071473266499e+00, 2.208073132279111395e+00, 2.110831926391188773e+00, 1.921987207010877885e+00, 2.432481529588117919e+00, 2.616391217338866593e+00, 1.839372607907809654e+00, 2.430351840889064530e+00, 2.174309036969611419e+00, 2.577757165990289590e+00
1.900000000000000000e+03, 2.643557733171861379e+00, 1.857148070099293724e+00, 1.883976538060522454e+00, 2.212005457804982811e+00, 1.856837571767848472e+00, 2.076222558793257456e+00, 2.116644270269297579e+00, 2.151701786027788721e+00, 2.017722994101592615e+00, 1.808796118758677185e+00, 2.567105523715696336e+00, 2.672226464754703379e+00, 2.012846599677327930e+00, 2.383521840357075039e+00, 2.057581927610750760e+00, 2.174781108088522874e+00
1.901000000000000000e+03, 2.526061098299870800e+00, 1.942590845860408422e+00, 1.955221621392130071e+00, 1.926604017762484578e+00, 2.044815536440785397e+00, 1.995067602990137967e+00, 2.176560936830203463e+00, 2.054558976181612540e+00, 2.152812723186467991e+00, 2.019343700228141802e+00, 2.498956426918909290e+00, 2.328864231585825006e+00, 2.022063252907230879e+00, 2.406582018734622963e+00, 2.059757364081782338e+00, 2.386470467947885865e+00
1.902000000000000000e+03, 2.475031639986021048e+00, 2.064498892491764437e+00, 2.033435368215703143e+00, 2.096952812581862169e+00, 1.958590791846594570e+00, 1.927691072288553409e+00, 1.862651203207815076e+00, 2.147161501993932742e+00, 2.125373088432198632e+00, 2.105814984415517177e+00, 2.491527230241654678e+00, 2.588699396829819754e+00, 2.100753467857957357e+00, 2.496215781287312030e+00, 1.946556621061029224e+00, 2.505715699284027043e+00
1.903000000000000000e+03, 2.675362893865872227e+00, 1.777147220784303983e+00, 2.108416778270260750e+00, 2.160090728841167262e+00, 1.930553388281568861e+00, 2.045461576630404732e+00, 2.092936815591588839e+00, 2.068797373281593188e+00, 2.221104831955689196e+00, 1.870392173594795926e+00, 2.381386887829831878e+00, 2.509740040484153667e+00, 2.186514392771839344e+00, 2.366096821020045482e+00, 2.296247177659541450e+00, 2.450247184558963731e+00
1.904000000000000000e+03, 2.695124316750228122e+00, 2.018196136764325299e+00, 1.881957954489931861e+00, 2.142911989086100810e+00, 1.964771282395806118e+00, 2.133778672099804652e+00, 1.948176344432011486e+00, 2.166870691046542508e+00, 2.532135801258161845e+00, 1.908925688281251754e+00, 2.241946487370964469e+00, 2.450703675961508843e+00, 1.790209355831656968e+00, 2.455058626042504688e+00, 2.218197938329307561e+00, 2.465606113946211320e+00
1.905000000000000000e+03, 2.354944493060369126e+00, 1.705574360905729669e+00, 2.014035351092397619e+00, 1.890548650553244281e+00, 2.032593894378644350e+00, 2.051535198811935246e+00, 1.946402258838423105e+00, 2.038976464784947762e+00, 2.291467686740257026e+00, 2.081296394215856882e+00, 2.351905323415985016e+00, 2.549810163856383927e+00, 1.857699332667353875e+00, 2.367756864558249408e+00, 2.103745709536619657e+00, 2.560191611890922481e+00
1.906000000000000000e+03, 2.318844030678323342e+00, 1.984154745109804718e+00, 2.090201270881729911e+00, 2.169062152751396244e+00, 1.980598349250591417e+00, 2.134477568981554718e+00, 2.086843853411501915e+00, 2.318431430890895317e+00, 2.165495010492688444e+00, 2.022008607320379348e+00, 2.404290637385063878e+00, 2.407842109572788214e+00, 1.973326902040496433e+00, 2.359081824831444241e+00, 2.052477492848395535e+00, 2.345666479226740986e+00
1.907000000000000000e+03, 2.385848809881149890e+00, 1.971867508106446065e+00, 1.956856672472381709e+00, 2.004292471015778787e+00, 1.916602586353557625e+00, 1.716566141898706599e+00, 2.272687088170474379e+00, 2.128587194068151778e+00, 2.287034062325947747e+00, 1.929967303255430089e+00, 2.382806345476339072e+00, 2.609509884789967149e+00, 1.969522183878906096e+00, 2.499850393397103687e+00, 2.132014981521474617e+00, 2.338105201831721658e+00
1.908000000000000000e+03, 2.479084631814687523e+00, 1.943487471306507119e+00, 1.935134646895585009e+00, 2.028587703918577123e+00, 2.200657903044076935e+00, 1.950185653606005598e+00, 1.949154220395859616e+00, 2.021920962083461504e+00, 2.214153965805917945e+00, 2.093719224576679139e+00, 2.527014056559334421e+00, 2.281807790923762624e+00, 1.923544534850553545e+00, 2.529914372821103541e+00, 2.005244666790054087e+00, 2.309566645925373418e+00
1.909000000000000000e+03, 2.600735390387037604e+00, 1.802805886860766593e+00, 1.884620941208159595e+00, 1.976815622415974083e+00, 1.986992401771547456e+00, 2.049554121333799106e+00, 2.023886890359369417e+00, 1.861839437961383847e+00, 2.085939128695634359e+00, 1.890098044035913194e+00, 2.160539639259665190e+00, 2.460595582613370080e+00, 1.886845085223649798e+00, 2.504227900073927593e+00, 2.181824722027426500e+00, 2.370751078319978777e+00
