year, IPSL-CM6A-LR, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, CNRM-ESM2-1, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-ESM2
1.945000000000000000e+03, 2.716800387203501127e-09, 1.601386300619298180e-09, 1.464299111430467592e-09, 6.930149713461051121e-10, 8.327169975865190950e-11, 5.532852490005159156e-11, 4.750264458063168941e-13, 1.510158954526006879e-10
1.946000000000000000e+03, 2.550259611150057289e-09, 1.579890523069280806e-09, 1.479219104249435782e-09, 5.965330955383859502e-10, 8.308194562391486194e-11, 5.464138427334960990e-11, 4.529450104929001661e-13, 1.512702029003789738e-10
1.947000000000000000e+03, 2.457373216821963026e-09, 1.614113715486884121e-09, 1.490790891840134009e-09, 6.236697883018043787e-10, 8.287270807724130473e-11, 5.408892610781114528e-11, 4.547181818299684326e-13, 1.516137705170002378e-10
1.948000000000000000e+03, 2.537933847157279808e-09, 1.592145761596908217e-09, 1.499125580857875144e-09, 6.755429451189584091e-10, 8.278509229690427002e-11, 5.362932889587666320e-11, 1.210030370143136594e-12, 1.519643965302947785e-10
1.949000000000000000e+03, 2.555283644253940467e-09, 1.619545168045572646e-09, 1.500227559799067475e-09, 6.053910199235302642e-10, 8.288569260441516607e-11, 5.322881470193094080e-11, 3.336150494768540203e-12, 1.522822011330785881e-10
1.950000000000000000e+03, 2.462262605823057590e-09, 1.573736287818259645e-09, 1.536268403611364693e-09, 5.954800055836361169e-10, 8.283008610469511057e-11, 5.264472427731379170e-11, 6.071519141186560489e-12, 1.523376785982746418e-10
1.951000000000000000e+03, 2.400037832691091882e-09, 1.597842153589212984e-09, 1.549290279090230303e-09, 6.979964859033675919e-10, 8.297776609376505537e-11, 5.979538316037680813e-11, 6.456671502904062150e-12, 1.521790258057858809e-10
1.952000000000000000e+03, 2.555551324095681837e-09, 1.630432810763547087e-09, 1.555159275436443043e-09, 7.071338373679886955e-10, 8.492059228376081471e-11, 6.288960868379491051e-11, 6.830266851834398555e-12, 1.521176933379392561e-10
1.953000000000000000e+03, 2.447203396034370242e-09, 1.634785111373424250e-09, 1.567642200863711240e-09, 6.146565279208373541e-10, 8.703469527657307054e-11, 6.457421229800793732e-11, 7.440981985427302683e-12, 1.521297604317328451e-10
1.954000000000000000e+03, 2.829493300544424362e-09, 1.620985875206730976e-09, 1.590726456364343403e-09, 6.168038683890128724e-10, 8.906712444911678597e-11, 6.565289265223704704e-11, 8.166634533103550092e-12, 1.521516384280385551e-10
1.955000000000000000e+03, 2.739915052074784311e-09, 1.621414992228053152e-09, 1.621993395936476221e-09, 6.694179152259574822e-10, 9.079731389390966585e-11, 6.784873093715538068e-11, 8.693365882315783838e-12, 1.521511263476676076e-10
1.956000000000000000e+03, 2.681438702959504782e-09, 1.685794036730898087e-09, 1.666524880333153169e-09, 7.397571784283664397e-10, 9.258710127723985797e-11, 7.110496177017563487e-11, 8.591364760133900123e-12, 1.524988830355686095e-10
1.957000000000000000e+03, 2.698751065365512605e-09, 1.684674311036749202e-09, 1.712547384529452600e-09, 7.825160014087040612e-10, 9.415326337106016475e-11, 7.830942148188861332e-11, 8.578069713825020007e-12, 1.526938470722125274e-10
1.958000000000000000e+03, 2.930357631262754681e-09, 1.623943022493753391e-09, 1.751414355938593069e-09, 7.962602654330118250e-10, 9.558205024694267622e-11, 7.670434357920980157e-11, 9.401901577402837960e-12, 1.519968514968802239e-10
1.959000000000000000e+03, 2.778324670374464970e-09, 1.594733176276470702e-09, 1.769335068287193267e-09, 7.147323884110963362e-10, 9.715349974759673116e-11, 7.677735083666193829e-11, 9.926512355780231109e-12, 1.503080632862631399e-10
1.960000000000000000e+03, 2.557611723087984787e-09, 1.604470166155954045e-09, 1.649473113996365852e-09, 7.070359849739708728e-10, 9.865766082746680886e-11, 7.752160858773996729e-11, 7.295105010492157550e-12, 1.477177007105631890e-10
1.961000000000000000e+03, 2.719906268958243876e-09, 1.598689990553567613e-09, 1.667255233516009920e-09, 8.208263672467776266e-10, 9.807058718325180923e-11, 5.667031995727802170e-11, 4.028128175023780513e-12, 1.448851279801477512e-10
1.962000000000000000e+03, 2.929553754610824300e-09, 1.625640629426643581e-09, 1.696602241683656203e-09, 8.116932998949097364e-10, 8.959551055307382991e-11, 4.767591614648596235e-11, 2.758068393438695607e-12, 1.429411726022088158e-10
1.963000000000000000e+03, 3.031607988126957014e-09, 1.617579291195356276e-09, 1.709324121587784970e-09, 9.414092469282337012e-10, 8.119361651071189515e-11, 4.318505366924711732e-11, 2.195433321709573637e-12, 1.416986826132488950e-10
1.964000000000000000e+03, 2.931856635570524924e-09, 1.558924773886561234e-09, 1.721500188673559349e-09, 9.894864792079380612e-10, 7.289943368612259222e-11, 4.045402294784698842e-11, 1.886750631860998468e-12, 1.402353458343477640e-10
1.965000000000000000e+03, 2.834186314371920867e-09, 1.481185463086687705e-09, 1.730156041505394774e-09, 9.849414492306740120e-10, 6.454738811840678548e-11, 3.846572458434440939e-11, 1.677150153940338728e-12, 1.389350303612550033e-10
1.966000000000000000e+03, 2.236745168072392838e-09, 1.515833801554882725e-09, 1.736870092741573309e-09, 9.332014430226199572e-10, 5.636369386738767042e-11, 3.682935666981947263e-11, 1.546029693102851988e-12, 1.382497034345936925e-10
