year, EC-Earth3-Veg, MPI-ESM1-2-LR
1.999000000000000000e+03, 2.654548750131914643e-10, 8.165183659033144660e-10
2.000000000000000000e+03, 2.789351258935350948e-10, 7.900134034612214605e-10
2.001000000000000000e+03, 3.004665768909430917e-10, 7.837726618856885219e-10
2.002000000000000000e+03, 2.863365957305140589e-10, 7.767352858668988625e-10
2.003000000000000000e+03, 2.798912118053154988e-10, 7.385962562613478417e-10
2.004000000000000000e+03, 2.890234120894323697e-10, 7.790082498830399099e-10
2.005000000000000000e+03, 3.116750622402305263e-10, 8.002888263753880205e-10
2.006000000000000000e+03, 2.708338308775329941e-10, 8.046726483012744840e-10
2.007000000000000000e+03, 2.831477887938571136e-10, 7.550836619372521458e-10
2.008000000000000000e+03, 2.988233785578027645e-10, 8.336202302948286282e-10
2.009000000000000000e+03, 2.918793840262231612e-10, 8.101559200758588153e-10
2.010000000000000000e+03, 2.822309869825685631e-10, 8.119996178874834420e-10
2.011000000000000000e+03, 2.787796499576320003e-10, 8.145586682894523224e-10
2.012000000000000000e+03, 2.580430475985043894e-10, 7.893845853400348949e-10
2.013000000000000000e+03, 2.961927002792722223e-10, 8.477294039984371663e-10
2.014000000000000000e+03, 2.610836249645676767e-10, 8.674151434528368041e-10
