year, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CanESM5, CMCC-ESM2, GFDL-ESM4
2.077000000000000000e+03, 5.135001395270965535e-11, -1.778547181679562808e-09, 1.119290530324597540e-10, 3.046583745449828958e-10, -1.468227684126678303e-10, 8.641054602050489412e-10, 8.854354830606215383e-10, -1.307435286759723533e-09
2.078000000000000000e+03, 1.580423606316227202e-09, -2.985300136379057941e-10, -5.719725716712355163e-10, 1.004414930987091234e-10, -7.342589737112276762e-10, -1.811981988370060048e-10, 1.732514368673257588e-09, -5.949827087387222630e-10
2.079000000000000000e+03, -4.476303560265136282e-10, 4.300650452437763273e-10, 2.407420704290273330e-09, -1.040916910326131721e-09, -1.031345572990894714e-09, -5.628506831644304133e-10, -4.879733681354951329e-10, -4.120702304535706550e-11
2.080000000000000000e+03, -5.044645220992725771e-11, -3.312669451628832082e-10, -1.449739913552338734e-09, -1.137818307310689857e-09, -8.984348537333695646e-11, 1.182464500286322423e-09, -2.034752772732526596e-09, -3.104952125006142199e-10
2.081000000000000000e+03, 1.149688903521852409e-09, 9.276422064277004131e-10, -8.918604583346405982e-11, -7.063899993230078600e-10, 1.338612127212883550e-10, 1.200952715514632766e-09, -1.423682860792217457e-09, -4.845533352268900739e-10
2.082000000000000000e+03, 4.584779670022741511e-10, 1.255521300900135485e-09, -5.336995525640306679e-11, -1.301317740415530327e-09, 3.435769654884551053e-10, -2.594569053276787253e-10, 2.658740507364516810e-09, 1.856545800250311129e-10
2.083000000000000000e+03, -5.753279815873033625e-10, 2.968904115023216151e-10, 8.106446467309347992e-11, 3.713592017009963767e-10, -3.300112213938384676e-11, 1.288991913950935904e-09, 2.292325931258054959e-10, 9.169050857456498817e-10
2.084000000000000000e+03, -1.137387689683164375e-09, 7.105124033136704378e-10, 6.633956035869584506e-10, -7.543149465423078324e-11, -1.110443279448502426e-09, -1.843213617656687935e-10, -1.917813054041535567e-09, 4.442852315850930096e-09
2.085000000000000000e+03, 1.532487657871261413e-10, -1.519847708495635171e-09, -3.545395030761878598e-10, 1.108610678071354462e-09, -7.349198638738343346e-10, -9.631155250596092197e-10, -2.694656921841917200e-09, 2.013774946511261481e-10
2.086000000000000000e+03, -1.259973125023618805e-09, 7.368431945959388931e-10, -3.517681634538684671e-11, -9.159570294347579295e-10, 3.252310753594856676e-11, -9.581702366791403751e-10, 2.294569486055921228e-09, -2.138356018170219926e-09
