year, CMCC-CM2-SR5, NorESM2-MM, MPI-ESM1-2-LR, INM-CM4-8, ACCESS-ESM1-5, TaiESM1, CanESM5, GFDL-ESM4, NorESM2-LM, INM-CM5-0, MIROC-ES2L, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, EC-Earth3-Veg
2.035000000000000000e+03, 2.297844836509388866e+00, 2.104110556708723934e+00, 9.773839549624976364e-01, 2.558626836909045910e+00, 1.441175223865595045e+00, 2.543235629414272392e+00, 1.588206886001350293e+00, 1.643359426806263013e+00, 2.073860784671637258e+00, 2.470401535202997767e+00, 2.197492010903778770e+00, 1.774924578192498270e+00, 1.372132110268686089e+00, 1.459684793872605635e+00, 2.358416947473517489e+00, 1.674719138926419992e+00
2.036000000000000000e+03, 2.470845984888495384e+00, 2.122958175155062577e+00, 6.997612782332458536e-01, 2.750800837283227551e+00, 1.351754949828163799e+00, 1.791059384965628665e+00, 1.586489506980179875e+00, 1.144420502088812741e+00, 1.898008896126733180e+00, 2.850062485249637234e+00, 2.445507908115026385e+00, 1.981088878627713656e+00, 1.107463427612759954e+00, 1.185207311807972674e+00, 2.561083816737975472e+00, 1.568914884740399085e+00
2.037000000000000000e+03, 2.261521068401945112e+00, 1.416895778543107109e+00, 1.425304403552953847e+00, 2.693893179310573593e+00, 1.172137213611963436e+00, 1.525916825390563503e+00, 2.699932731180888723e+00, 1.288568789026176331e+00, 1.852467509760899134e+00, 2.903011530736434587e+00, 1.984961460134638811e+00, 1.791710597732913524e+00, 1.066124662541247714e+00, 8.252294836446213422e-01, 2.080739574560768634e+00, 1.537456521599400938e+00
2.038000000000000000e+03, 2.509816020830686334e+00, 1.879210476748779168e+00, 8.341459576014248478e-01, 2.116699732981650151e+00, 1.126509877964358086e+00, 2.304055339128565194e+00, 1.943851913832769451e+00, 1.580249812081143901e+00, 1.700624051539697312e+00, 2.314309405232967354e+00, 1.877037950994549176e+00, 1.559831147489867842e+00, 1.439981260692726917e+00, 1.368589277127536308e+00, 1.891197639175156597e+00, 1.501799707219130697e+00
2.039000000000000000e+03, 2.252322589528869656e+00, 2.001754774712565688e+00, 7.456531717175461926e-01, 2.211164496504132604e+00, 1.106639671544476400e+00, 2.251878669229243179e+00, 1.380915608922644422e+00, 1.138299554907043598e+00, 2.039402621494280421e+00, 1.691964612427150794e+00, 2.549760705786923154e+00, 1.546364507741197603e+00, 1.360455246486126368e+00, 9.531468581972082355e-01, 2.396140476438742173e+00, 1.345506565088619766e+00
2.040000000000000000e+03, 1.937663280432718960e+00, 1.405561923440243888e+00, 9.753073264868964420e-01, 2.463853877983315677e+00, 1.599457601108306815e+00, 2.358330218376852194e+00, 1.568603523226451024e+00, 1.570820633643523534e+00, 1.954312493996138711e+00, 2.150662973483821627e+00, 2.363369094581333041e+00, 1.770466696852794231e+00, 1.467104875752072601e+00, 1.361171407592245863e+00, 2.395843820518403611e+00, 1.405641235322111049e+00
2.041000000000000000e+03, 2.381584412053586064e+00, 1.457336635467826769e+00, 8.582432469618674897e-01, 2.390965506253615036e+00, 1.232441527767010214e+00, 2.056849737806098144e+00, 1.577974039266992312e+00, 1.169165484066736038e+00, 2.003266611093842631e+00, 2.481827451554473374e+00, 2.551446005918211135e+00, 1.676094048197904307e+00, 1.822353299312471586e+00, 1.589352680786825012e+00, 2.156087288578955263e+00, 1.705665997213431817e+00
2.042000000000000000e+03, 2.912340161585559084e+00, 1.678392140225974272e+00, 8.485387515586488849e-01, 3.167420942970363917e+00, 1.101973228511464953e+00, 1.521931894865832913e+00, 1.665326400527780581e+00, 1.289871507625705682e+00, 1.813503372128783653e+00, 2.374840806189681519e+00, 2.090007031149410111e+00, 1.645168674572852652e+00, 1.136988349200401816e+00, 1.173073635315377228e+00, 1.497040121784800837e+00, 1.099651419819589693e+00
2.043000000000000000e+03, 2.874161875040800229e+00, 1.185724469696216143e+00, 1.260800096749823185e+00, 2.290559096122136484e+00, 9.829909649157334561e-01, 1.976962268247685950e+00, 1.617882480505060006e+00, 1.410988266457968043e+00, 1.883280801772500679e+00, 1.903947485421185304e+00, 1.165662970457873815e+00, 1.649026360207636710e+00, 8.370466792415834911e-01, 1.016301456579283613e+00, 2.699403133635589036e+00, 2.081827478290338984e+00
2.044000000000000000e+03, 2.800604109778436879e+00, 1.605496346150109943e+00, 9.190347055267517051e-01, 2.277051211603458025e+00, 1.640467305676041931e+00, 1.955831288101332444e+00, 1.775649816669265135e+00, 1.686122521645478489e+00, 2.128188623633316734e+00, 2.568090973570277047e+00, 2.055227756628929203e+00, 1.470052053960350102e+00, 1.551183353394769426e+00, 1.336749454048034913e+00, 2.111464883746507315e+00, 1.652611014355548358e+00
