year, CMCC-CM2-SR5, ACCESS-ESM1-5, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, CanESM5, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L, NorESM2-LM, EC-Earth3-Veg, IPSL-CM6A-LR
2.051000000000000000e+03, 2.405350203717736779e+00, 9.487370482033825603e-01, 6.466778003253015328e-01, 9.597136847992514319e+00, 1.286142865627963872e+00, 2.128618121565968302e+00, 5.378423944174978821e+00, 1.201945895241880669e+00, 1.066729422968406382e+01, 7.856657965242900055e+00, 1.010691323144270681e+00, 1.400607424183501371e+00, 5.338850532884810818e+00
2.052000000000000000e+03, 2.085795568404652300e+00, 9.236606519862177178e-01, 8.116386410068635593e-01, 9.577945481351088475e+00, 1.088306195681904676e+00, 2.198599671886618534e+00, 5.293541075007893504e+00, 1.127794341087604568e+00, 1.068255219023981084e+01, 7.802584175256243704e+00, 1.076500493811211490e+00, 1.633277105959722864e+00, 5.347837363557782275e+00
2.053000000000000000e+03, 1.425193621007124989e+00, 9.620881524378552818e-01, 4.125955544135440634e-01, 9.444104702935680606e+00, 1.141809197841418433e+00, 2.216590060426270270e+00, 5.758442499310209683e+00, 1.123004211049831280e+00, 1.070993676735598754e+01, 7.720269629774788811e+00, 1.139125738960671042e+00, 2.105803794822605823e+00, 5.458379224410271569e+00
2.054000000000000000e+03, 1.717030841719680678e+00, 9.752256234952664249e-01, 2.816593769084930754e-01, 9.504032436112929361e+00, 1.287201774232769491e+00, 2.288051924183098773e+00, 5.888020971346804799e+00, 1.116303716342005314e+00, 1.072098140957123213e+01, 7.755386759699727683e+00, 1.121991261510690174e+00, 1.983111166638372058e+00, 5.475873013116726362e+00
2.055000000000000000e+03, 2.470833273837778954e+00, 1.006066512161153836e+00, 6.385609046174941517e-01, 9.565982806445685327e+00, 1.203716004101187176e+00, 2.282832504191600442e+00, 5.587205128341989457e+00, 1.094341781308555417e+00, 1.071440563883284547e+01, 7.886367052657270449e+00, 1.000722924276143511e+00, 1.661894097708723983e+00, 5.668106840886848907e+00
2.056000000000000000e+03, 2.113135376408081356e+00, 1.065876251166064215e+00, 6.038523374699489299e-01, 9.533574201489525279e+00, 1.162785591363681315e+00, 2.112505605926928265e+00, 5.762691924318715131e+00, 1.007307230912212415e+00, 1.081730636152732394e+01, 7.924482103094064200e+00, 1.102426143433967276e+00, 1.628664515748562858e+00, 5.739570306175442838e+00
2.057000000000000000e+03, 1.638408501424956087e+00, 1.125114673075079397e+00, 4.887470163124696954e-01, 9.624411592447501107e+00, 1.197053038043875528e+00, 2.100960174431485861e+00, 5.837201147611373209e+00, 1.186095882280739700e+00, 1.081575527299235873e+01, 7.928547338906327013e+00, 1.344504579937505051e+00, 1.625880420632123124e+00, 5.644830616463740292e+00
2.058000000000000000e+03, 1.924201999578399658e+00, 1.126078422934438272e+00, 5.180838872660237238e-01, 9.538132447691625160e+00, 1.254267717647098657e+00, 2.072408381075155237e+00, 5.643657175811497950e+00, 1.416719448286487104e+00, 1.081126145733027677e+01, 7.940679618847251042e+00, 1.351592513668290030e+00, 1.671789746653063347e+00, 5.615724056149622001e+00
2.059000000000000000e+03, 2.017302150430028806e+00, 1.077372519849838950e+00, 4.204608161435736124e-01, 9.604468179212750201e+00, 1.304336092752395926e+00, 2.214850836925168043e+00, 5.447172939119875323e+00, 1.087380141920487597e+00, 1.087335437545628558e+01, 7.929791578969666688e+00, 1.262878965799695274e+00, 1.637490971199733414e+00, 5.510048466830024694e+00
2.060000000000000000e+03, 2.281456118600877492e+00, 1.082320138158563427e+00, 3.574679436763132379e-01, 9.600167625759027601e+00, 1.339327383263063442e+00, 2.355719244155892511e+00, 5.544041134270407234e+00, 1.154401426066661740e+00, 1.097759951409569190e+01, 7.981113243369195587e+00, 1.057263155094578133e+00, 1.688694273442969296e+00, 5.538085180803812513e+00
