year, NorESM2-LM, GFDL-ESM4, CNRM-ESM2-1, INM-CM5-0, ACCESS-ESM1-5, TaiESM1, MIROC-ES2L, EC-Earth3-Veg, INM-CM4-8, NorESM2-MM, CanESM5, UKESM1-0-LL, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, MPI-ESM1-2-LR
2.063000000000000000e+03, 5.246757324598328331e+00, 2.851865873225882364e+00, 3.643720854806211218e+00, 7.118703241540037752e+00, 2.927289717507557842e+00, 5.215002041414114942e+00, 2.855046658255663061e+00, 6.524535253965156656e+00, 7.742193807416875906e+00, 5.148092347361056476e+00, 6.443623823656090543e+00, 2.506299951543268900e+00, 4.736619282724691793e+00, 4.869256061125648571e+00, 5.048351678604615422e+00, 7.303929331606597408e+00
2.064000000000000000e+03, 5.870690392965359550e+00, 2.820512538039039008e+00, 5.274424713186049551e+00, 6.606459668646254002e+00, 3.490550394027259085e+00, 5.089304230542516017e+00, 2.982123197871460185e+00, 8.266186460063341457e+00, 8.089985052050693071e+00, 5.408912311412671592e+00, 6.122510393628989078e+00, 2.072825652680984287e+00, 4.393941483255540348e+00, 6.000647494408279492e+00, 5.035977242772402995e+00, 3.532627760506251047e+00
2.065000000000000000e+03, 5.643569934899567819e+00, 2.179115122110419467e+00, 3.617643688343493924e+00, 7.015023794010365243e+00, 3.766386027069286602e+00, 3.963963829899034064e+00, 3.083127930991186094e+00, 6.650136696434175043e+00, 8.432055926011990721e+00, 6.494522445857854542e+00, 6.615153520978602764e+00, 5.133166864858351275e+00, 3.429425193441150821e+00, 5.839224803288820986e+00, 3.710953582658354399e+00, 3.485513700468038323e+00
2.066000000000000000e+03, 4.975604981367261814e+00, 2.038110492704475973e+00, 4.063453764250245293e+00, 7.193400763113078966e+00, 3.543297963241648141e+00, 5.305328673575132825e+00, 3.090423633991094210e+00, 8.125348871335299705e+00, 8.285269920300894597e+00, 6.372176035428830154e+00, 6.409520848359401057e+00, 3.092633883825752328e+00, 5.586524223733494665e+00, 6.693893421897361584e+00, 3.412505934105157568e+00, 4.472889653470111249e+00
2.067000000000000000e+03, 5.724179192778176883e+00, 2.372465424475708851e+00, 5.919265884664981492e+00, 6.745056802862381851e+00, 3.059015298803924754e+00, 6.146707849193352224e+00, 3.101364429438705717e+00, 6.237391136419552673e+00, 8.271055141131792965e+00, 6.109433932649798393e+00, 7.153431133577717205e+00, 1.397311568673936355e+00, 5.585045998005343293e+00, 7.633346451884011508e+00, 4.654475785284540201e+00, 6.422969880358994743e+00
2.068000000000000000e+03, 5.637744410264443395e+00, 2.480252324101235750e+00, 5.309394354330417620e+00, 7.243006132973093258e+00, 3.518865362800879915e+00, 5.034377244037316679e+00, 3.024262502363175731e+00, 7.575910244471349309e+00, 8.328335937905277930e+00, 6.128140387574977588e+00, 7.740514498837130830e+00, 4.256446171890722496e+00, 4.809476239203052117e+00, 6.533958467814760418e+00, 5.389457524823852985e+00, 3.075066064457073089e+00
2.069000000000000000e+03, 5.890562364636376280e+00, 2.282575421701630525e+00, 4.023140688245451457e+00, 6.884479422468598564e+00, 3.042313227112476426e+00, 4.025490288653768012e+00, 3.416646627703614936e+00, 6.661709521994907846e+00, 8.318567599820946512e+00, 5.565215050150835729e+00, 6.474018198632684573e+00, 2.450918272290391275e+00, 4.978345384031725551e+00, 6.347783500543044077e+00, 4.913030218422181683e+00, 4.798945062178173515e+00
2.070000000000000000e+03, 5.731292217331273697e+00, 2.722441166894374209e+00, 3.257590616260804595e+00, 7.355755059217221614e+00, 2.202099855479776380e+00, 4.514573017021777268e+00, 3.524597740314644678e+00, 8.905141711695842233e+00, 8.674357089889653594e+00, 5.732938063062321454e+00, 6.240309696220410096e+00, 2.153845679625014053e+00, 6.060913298660211446e+00, 5.499851806516186770e+00, 4.709297557451504801e+00, 6.063789430887508658e+00
2.071000000000000000e+03, 5.913438359590430515e+00, 3.227708396646588263e+00, 4.001652420582794356e+00, 7.441661360799802338e+00, 1.913919553286284270e+00, 4.701506897149194231e+00, 3.509006329505656829e+00, 7.031599974658871766e+00, 8.524734912997173453e+00, 5.389269344053342792e+00, 5.953493491513667912e+00, 3.376052729988482604e+00, 5.552568791852972474e+00, 5.294748571163901296e+00, 4.614962208558041290e+00, 4.928613355520682582e+00
2.072000000000000000e+03, 5.809734503306351883e+00, 3.218673837580364072e+00, 3.820195116030222771e+00, 6.336770569939039532e+00, 2.574974348419824643e+00, 4.881601073589065365e+00, 3.162174664131853330e+00, 9.114774097968780353e+00, 7.763429318090207865e+00, 5.370187359582896391e+00, 6.500902763498337400e+00, 3.235232982505523935e+00, 5.172465014429482366e+00, 7.005470398607780425e+00, 4.020106796996430809e+00, 5.117286284072551261e+00
