year, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, CMCC-ESM2, INM-CM4-8, ACCESS-ESM1-5, INM-CM5-0, IPSL-CM6A-LR, CanESM5
2.051000000000000000e+03, 5.804093858044599985e-01, 8.098020577125569774e-01, 1.318841841328895148e+00, 2.924190018065424557e+00, 9.320436551211853660e-01, 5.358516090836571433e-01, 7.904159131511866443e-01, 1.173789507551351585e+00, 8.982087450927042083e-01, 1.017647849719608866e+00, 6.894834196966876938e-01, 1.207952756475445089e+00, 3.494916596669209174e-01, 1.102702863760546936e+00, 7.953579310418513737e-01, 8.390040588461965543e-01
2.052000000000000000e+03, 5.721274307339845322e-01, 6.874133113577283183e-01, 8.407416009139734303e-01, 2.172956126071301064e+00, 1.019372423204290889e+00, 5.359440277322967683e-01, 8.962745767419943999e-01, 1.440307327567592610e+00, 9.673881935378719765e-01, 1.081814475668189557e+00, 1.007975773760020566e+00, 1.219267864496242471e+00, 4.584048986427171068e-01, 1.178085645660956748e+00, 1.010265179615400521e+00, 8.932632272024405573e-01
2.053000000000000000e+03, 7.020466284976951687e-01, 8.151813763841156968e-01, 7.597566975322683769e-01, 1.745233746662343322e+00, 9.183267149020156728e-01, 5.616571402247877431e-01, 8.662682158091763451e-01, 1.179081120466122679e+00, 9.694456202313179727e-01, 1.120623011091893328e+00, 7.206622290167342681e-01, 1.237096028371705181e+00, 5.190243374934120357e-01, 1.208589027387968029e+00, 1.068911707515993736e+00, 6.398925355987323815e-01
2.054000000000000000e+03, 7.361187393967977277e-01, 7.587800894445918543e-01, 1.033655576297931811e+00, 1.418072090199038016e+00, 8.210474779035141779e-01, 5.665527968350753119e-01, 9.198824443571445020e-01, 1.204441662057600837e+00, 9.712026773061014362e-01, 1.037159693845878694e+00, 6.863624266011102426e-01, 1.171420213567075930e+00, 5.258064512777249622e-01, 1.198401104618732171e+00, 1.142183342952199032e+00, 6.122619142030710782e-01
2.055000000000000000e+03, 7.369944298401879257e-01, 4.765031078527547925e-01, 1.210310890423013319e+00, 1.866260772209793251e+00, 9.759224456855426499e-01, 5.440305607515478759e-01, 1.024934891905514123e+00, 1.125569930145669861e+00, 1.008090087346369179e+00, 1.084143849047883634e+00, 1.033494419315964086e+00, 1.280135479199709048e+00, 5.692228618851953303e-01, 1.165371113328285357e+00, 1.147218180487473038e+00, 8.180296179484313202e-01
2.056000000000000000e+03, 7.539295371130219081e-01, 5.905201198153592346e-01, 9.907070300017308817e-01, 1.543108643735881635e+00, 9.419451637934619370e-01, 5.351265541544019122e-01, 1.068034919455041365e+00, 1.167455781928463443e+00, 9.777861777775881391e-01, 1.087413063805977131e+00, 1.494529112844916519e+00, 1.225233971779095210e+00, 6.151717006424649581e-01, 1.176708869294087911e+00, 8.934046647355131654e-01, 7.037807592414084823e-01
2.057000000000000000e+03, 6.786045082817777629e-01, 5.756321732093940824e-01, 9.246914631021118103e-01, 1.687442215056444317e+00, 9.897966413099605898e-01, 5.215939782058616192e-01, 1.075472441545769486e+00, 1.277771201545547575e+00, 9.507995530583187582e-01, 1.105768208243042006e+00, 1.292525711064958394e+00, 1.212996378355630345e+00, 6.275149399694872621e-01, 1.128844413982716510e+00, 9.345198336924604998e-01, 7.020004735295325426e-01
2.058000000000000000e+03, 7.869395856650517329e-01, 8.419150501786403229e-01, 8.488294069357610327e-01, 1.624089799634063747e+00, 1.020109534800258233e+00, 5.331878540184363802e-01, 1.036016533346219903e+00, 1.210618303103130344e+00, 7.524413016392637044e-01, 1.142986987641526397e+00, 9.090037436201987564e-01, 1.225378591624126656e+00, 5.059194944274939543e-01, 1.187152292352199323e+00, 9.512019564565259433e-01, 6.830398784904161413e-01
2.059000000000000000e+03, 7.257905678575061748e-01, 9.317828926725800764e-01, 7.828727620061470827e-01, 1.812165534631445141e+00, 1.084977035221229791e+00, 5.477207683763324342e-01, 1.075473759645936278e+00, 1.143768386511570201e+00, 7.321330941666691627e-01, 1.101238909597467730e+00, 6.846740829659417882e-01, 1.247727321228885522e+00, 4.664113437466529954e-01, 1.146059802247813231e+00, 9.465292147219317442e-01, 7.255969208083330457e-01
2.060000000000000000e+03, 5.708034349022585996e-01, 6.536536645852539795e-01, 9.703891330058270759e-01, 1.673464767271800158e+00, 8.378729828830281390e-01, 5.258234542188041649e-01, 1.108794772678703078e+00, 1.093170874262300751e+00, 8.232519301139076262e-01, 1.032172258579987734e+00, 8.865299489012928857e-01, 1.239588636278741385e+00, 5.777169948562355106e-01, 1.137887932939777968e+00, 1.083781743295460398e+00, 7.351025738068426296e-01
