year, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-LM, MIROC-ES2L, INM-CM4-8, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, TaiESM1, INM-CM5-0, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4, CanESM5
2.051000000000000000e+03, 2.986472895408627704e+00, 2.764948750603710259e+00, 4.029381085362024884e+00, 3.402183885742765312e+00, 6.442472934558551856e+00, 4.202039215889135981e+00, 4.006727368592775562e+00, 4.558278904457406355e+00, 3.127008469328678153e+00, 5.877629547937827326e+00, 3.786245479070877273e+00, 6.205148289532858463e+00, 4.450254459458945711e+00, 5.023890898592246579e+00, 4.966812937051074961e+00, 6.012089841246853084e+00
2.052000000000000000e+03, 2.825834846506216635e+00, 2.755136555136284304e+00, 4.056976109216972048e+00, 3.426974608232304487e+00, 6.723766390448362884e+00, 4.603822892007378265e+00, 4.128975684615628694e+00, 4.787969100633017838e+00, 3.872141434258434156e+00, 5.968646519094131797e+00, 4.343450559967564573e+00, 6.258287308726851350e+00, 4.115335056986495488e+00, 4.970049310797389097e+00, 5.037677897051966447e+00, 5.845906976077419159e+00
2.053000000000000000e+03, 2.939158056616530956e+00, 2.664363452874371152e+00, 3.588606278963160090e+00, 3.446544776977848112e+00, 6.607159564202927271e+00, 4.488718483413312477e+00, 4.303903086300973513e+00, 4.711067710683353837e+00, 3.323815026604025835e+00, 6.073602369692637559e+00, 4.552261509275407292e+00, 6.450444541210405447e+00, 4.096291570754805100e+00, 5.207756498614185325e+00, 5.255738451393989763e+00, 5.788740375330251986e+00
2.054000000000000000e+03, 2.863330840585341264e+00, 2.697634332325125950e+00, 3.842456684505108022e+00, 3.578135782042107582e+00, 6.576020704224315061e+00, 4.153141921482216503e+00, 4.052274602221296540e+00, 4.825666745117169754e+00, 3.738393314369210962e+00, 6.338991660356914082e+00, 4.178491942400913040e+00, 6.523335511612151194e+00, 4.171459119345978017e+00, 5.121434047338204287e+00, 5.132358550764451799e+00, 5.952851821500689589e+00
2.055000000000000000e+03, 3.034686839994195751e+00, 2.792471635268695795e+00, 4.091959049673549842e+00, 3.498868990788293942e+00, 6.473261075175357426e+00, 3.902149529424787211e+00, 4.153838003594379380e+00, 4.433946620767723168e+00, 3.448121574914449816e+00, 6.137665920470258385e+00, 4.055436539463746826e+00, 6.614018651509900870e+00, 3.977569278436806410e+00, 5.009375615136833382e+00, 5.104879423339380828e+00, 5.642963840171301371e+00
2.056000000000000000e+03, 3.216590102762177050e+00, 2.791257133936543067e+00, 3.692798812752147164e+00, 3.374809955714294762e+00, 6.707136948566017054e+00, 4.913929689242914733e+00, 4.602138946993880708e+00, 4.806768190406197405e+00, 3.253912861096993847e+00, 5.739332049354187504e+00, 4.362051761925251014e+00, 6.569904334362384191e+00, 3.969776436890724902e+00, 4.884213813854537456e+00, 4.840439631773776341e+00, 5.838210612689176848e+00
2.057000000000000000e+03, 2.798472093880792766e+00, 2.512756951150400653e+00, 3.686574698641373882e+00, 3.455882774612136998e+00, 6.478016670538420563e+00, 4.218539597121690576e+00, 4.076954021687957841e+00, 4.457761847816326117e+00, 3.521971375997689169e+00, 6.593554061978538883e+00, 4.413174206982371395e+00, 6.232595313334025278e+00, 4.292918764025014156e+00, 5.173335129602588012e+00, 5.094670379697150864e+00, 5.682820588523512129e+00
2.058000000000000000e+03, 2.700530819952024153e+00, 2.374307232635062714e+00, 3.751682765170375689e+00, 3.557576287145958194e+00, 6.533718310726780665e+00, 4.259519593544592198e+00, 4.154647077313854631e+00, 4.457129961529472162e+00, 3.357170410412349426e+00, 6.055331722576075215e+00, 3.811698682385225023e+00, 6.537848927217280171e+00, 4.092582592638896344e+00, 4.993486717780054818e+00, 5.240763257587987667e+00, 5.779766193202395819e+00
2.059000000000000000e+03, 2.934189007325927356e+00, 2.596394861239229357e+00, 3.601968573628394843e+00, 3.409209095252153432e+00, 6.638256361232349079e+00, 3.751925300837794186e+00, 4.582352738770363310e+00, 4.682411770277872698e+00, 3.352367877389561546e+00, 5.766066274242055201e+00, 4.336244723058376493e+00, 6.439360779579387462e+00, 3.853936892936508762e+00, 5.092446041198054552e+00, 5.333354035697385420e+00, 5.901852022722551716e+00
2.060000000000000000e+03, 2.852400667934141154e+00, 2.654144616922500699e+00, 3.753268241449358111e+00, 3.511002535396545721e+00, 6.480638936058101152e+00, 4.383601715436414636e+00, 4.064328348505495292e+00, 4.635971037720720389e+00, 3.704725068451240499e+00, 6.005173889172070290e+00, 4.769928511063114662e+00, 6.533326395035275347e+00, 4.338001340393086380e+00, 5.147722614984429512e+00, 5.140359758498743936e+00, 5.743091869819471285e+00
2.061000000000000000e+03, 2.893112652129247397e+00, 2.677957478510345268e+00, 4.011201859804264025e+00, 3.456568888040185694e+00, 6.581139832485403574e+00, 4.733628579813808024e+00, 4.096176275409264100e+00, 4.447185017716559940e+00, 3.830273755150918280e+00, 6.672624850908888128e+00, 3.713440951937935441e+00, 6.344597976964736041e+00, 4.281475414876234176e+00, 5.299275433097638377e+00, 5.035462011966303386e+00, 5.817380228697886402e+00
2.062000000000000000e+03, 2.824023170528900728e+00, 2.420284880585282572e+00, 3.728542705897893494e+00, 3.598243541051179495e+00, 6.417273838318429569e+00, 4.363923772210925200e+00, 4.469499543458089974e+00, 4.695334503113725688e+00, 3.334895565723344557e+00, 6.640342400510152565e+00, 4.152066259337467535e+00, 6.152732354201226883e+00, 4.302337594016509392e+00, 5.273645711806063119e+00, 5.190658230482059210e+00, 5.860328715749773210e+00
