year, CESM2-WACCM, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, NorESM2-MM, GFDL-ESM4, TaiESM1
2.062000000000000000e+03, 2.370632798978544517e-10, 1.936222628306749334e-10, 2.974583706451471132e-10, 6.093201925514305753e-10, 1.936222628306749334e-10, 1.244668076038952509e-09, 6.909104333119724409e-10, 5.810877410148137851e-10, 5.763854512987867916e-10, 2.974583706451471132e-10, 5.953369991351477303e-10, 5.810877410148137851e-10
2.063000000000000000e+03, 3.657883791717507279e-10, 1.240605567535122888e-10, 4.395141724973995422e-10, 7.296498065335952525e-10, 1.240605567535122888e-10, 1.296572082017553032e-09, 7.112671265708823429e-10, 3.755958490134185258e-10, 5.204660546667671537e-10, 4.395141724973995422e-10, 7.159683867102974549e-10, 3.755958490134185258e-10
2.064000000000000000e+03, 4.251943667456278492e-10, 1.297524724013532256e-10, 3.522521140257632808e-10, 7.673450605661926794e-10, 1.297524724013532256e-10, 2.918956865056275178e-09, 4.841056851586014454e-10, 1.545577929681572516e-09, 5.183276957933962581e-10, 3.522521140257632808e-10, 7.536337689487614447e-10, 1.545577929681572516e-09
2.065000000000000000e+03, 2.961244079279959108e-10, 1.655213453309175413e-10, 1.944900485496911345e-10, 7.987943370377248688e-10, 1.655213453309175413e-10, 1.344933823131223434e-09, 6.867857797903012178e-10, 9.983002719926101832e-10, 6.105691140815353322e-10, 1.944900485496911345e-10, 7.845858801531098146e-10, 9.983002719926101832e-10
2.066000000000000000e+03, 1.841029584443968947e-10, 1.170665442021548359e-10, 1.703804542792133692e-10, 6.645163275082789658e-10, 1.170665442021548359e-10, 7.731625253975278281e-10, 4.510452529965071028e-10, 5.658504053284042587e-10, 5.374484486473931893e-10, 1.703804542792133692e-10, 6.502172893734951400e-10, 5.658504053284042587e-10
2.067000000000000000e+03, 4.450165624424239073e-10, 1.137067909021397415e-10, 2.920052593602223628e-10, 8.203975777838383348e-10, 1.137067909021397415e-10, 1.048474677688175526e-09, 2.433101244997757067e-10, 2.553632919894090359e-10, 5.955350888127676632e-10, 2.920052593602223628e-10, 8.057773796766873536e-10, 2.553632919894090359e-10
2.068000000000000000e+03, 7.792335462854608812e-10, 1.506004723590342971e-10, 2.512921322613845065e-10, 7.387734511814595742e-10, 1.506004723590342971e-10, 3.261308644459610602e-09, 1.616713798999001770e-10, 1.621903084229817037e-09, 6.293068957359075330e-10, 2.512921322613845065e-10, 7.244916993425989025e-10, 1.621903084229817037e-09
2.069000000000000000e+03, 3.343778146586729919e-10, 1.242206913165432312e-10, 2.351999576550681801e-10, 8.966648212676716072e-10, 1.242206913165432312e-10, 9.400708996246441725e-10, 3.165226511083964567e-10, 6.146694778372263436e-10, 4.870921878874535647e-10, 2.351999576550681801e-10, 8.825511754147008787e-10, 6.146694778372263436e-10
2.070000000000000000e+03, 2.060138457875527783e-10, 2.085848070609227645e-10, 2.852917706180267331e-10, 6.832124909527817732e-10, 2.085848070609227645e-10, 9.234344564513917600e-10, 2.365478509442523244e-10, 4.282857275408974839e-10, 5.726463020951640590e-10, 2.852917706180267331e-10, 6.694214695137888023e-10, 4.282857275408974839e-10
2.071000000000000000e+03, 7.051519862539631488e-10, 1.286791961207166607e-10, 3.439851407062057373e-10, 5.165194455566559493e-10, 1.286791961207166607e-10, 3.825053452485004420e-09, 8.242581986215868479e-11, 3.729952114315323830e-10, 5.100466978978596403e-10, 3.439851407062057373e-10, 5.028673968488186883e-10, 3.729952114315323830e-10
2.072000000000000000e+03, 4.886822224762229385e-10, 1.768534191500232449e-10, 3.748556655426368507e-10, 7.417062895832476222e-10, 1.768534191500232449e-10, 1.023008560868818985e-09, 1.235355028973124442e-10, 1.451424610868249303e-09, 5.732529856250753881e-10, 3.748556655426368507e-10, 7.280535897392241260e-10, 1.451424610868249303e-09
2.073000000000000000e+03, 2.766731953069191645e-10, 1.278421952856330154e-10, 3.450324483787827667e-10, 6.242530597030225906e-10, 1.278421952856330154e-10, 1.568422778757753003e-09, 2.706948379838731177e-10, 1.029132769479542587e-09, 5.303808128414891425e-10, 3.450324483787827667e-10, 6.108179499693613687e-10, 1.029132769479542587e-09
2.074000000000000000e+03, 5.234213854923162956e-10, 1.230361873422906188e-10, 2.906640742513063822e-10, 7.792907274632338780e-10, 1.230361873422906188e-10, 1.198007617112003352e-09, 3.149203327250920437e-10, 4.811932567185916895e-10, 4.217752617716396100e-10, 2.906640742513063822e-10, 7.657770088684797202e-10, 4.811932567185916895e-10
2.075000000000000000e+03, 4.268709750234438453e-10, 2.071006802902838551e-10, 4.544298459067978152e-10, 1.069269431785153487e-09, 2.071006802902838551e-10, 2.016951625540048282e-09, 1.207442643821045751e-10, 7.605108506524695776e-10, 5.299976273682212967e-10, 4.544298459067978152e-10, 1.055447567046816777e-09, 7.605108506524695776e-10
2.076000000000000000e+03, 1.426694097770956519e-09, 1.274459711507546657e-10, 4.276709651632350882e-10, 5.296603519779447857e-10, 1.274459711507546657e-10, 3.296590067194926927e-09, 2.012559453254826109e-10, 4.834177708026309921e-10, 4.808398147896436989e-10, 4.276709651632350882e-10, 5.158621717500473733e-10, 4.834177708026309921e-10
2.077000000000000000e+03, 3.537038124395528504e-10, 1.266681983285775885e-10, 3.495273209844837251e-10, 2.797187146005531439e-09, 1.266681983285775885e-10, 2.544691506603111402e-09, 3.154243149096348844e-10, 9.885326619045942767e-10, 5.140986453785197873e-10, 3.495273209844837251e-10, 2.783136671632129733e-09, 9.885326619045942767e-10
2.078000000000000000e+03, 2.956714558989151547e-10, 1.398383932320900277e-10, 5.403047639322476732e-10, 1.190627587932162485e-09, 1.398383932320900277e-10, 7.753537529703859048e-10, 1.297202815064924792e-10, 5.850004083889476901e-10, 4.847955282909373859e-10, 5.403047639322476732e-10, 1.176190683188155477e-09, 5.850004083889476901e-10
2.079000000000000000e+03, 1.004512667878735832e-09, 1.070850355846482441e-10, 3.180381197598440016e-10, 5.901029599538837624e-10, 1.070850355846482441e-10, 1.128777179899023121e-09, 1.941085572938637996e-10, 8.052116691582374843e-10, 6.556279508905408973e-10, 3.180381197598440016e-10, 5.760202838115274411e-10, 8.052116691582374843e-10
2.080000000000000000e+03, 5.990782210367640824e-10, 1.850325682367772603e-10, 4.245342543591370775e-10, 1.302710042414564728e-09, 1.850325682367772603e-10, 1.837781183567414419e-09, 1.344107694790928284e-10, 1.471495806808265377e-09, 5.018331438732612666e-10, 4.245342543591370775e-10, 1.288857922997467075e-09, 1.471495806808265377e-09
2.081000000000000000e+03, 1.318611108852413088e-09, 1.615264919674567771e-10, 1.647386556530661010e-09, 6.209704279230047269e-10, 1.615264919674567771e-10, 2.303947491690149480e-09, 1.294676212794886737e-09, 1.118783276569195689e-09, 5.935782827493067380e-10, 1.647386556530661010e-09, 6.075115848930482690e-10, 1.118783276569195689e-09
2.082000000000000000e+03, 1.359410761331865256e-09, 1.076542359879937582e-10, 1.537698318924484192e-09, 1.640568313441165410e-09, 1.076542359879937582e-10, 1.344411087575258803e-09, 9.866270520973555527e-10, 7.804594100804545534e-10, 5.083668693223840731e-10, 1.537698318924484192e-09, 1.627142923361506301e-09, 7.804594100804545534e-10
2.083000000000000000e+03, 2.005013411002467606e-09, 1.099104644496226892e-10, 1.035497550147153814e-09, 7.807168943813246241e-10, 1.099104644496226892e-10, 1.009792652283672275e-09, 1.066177528447305571e-09, 6.685402948486131475e-10, 5.329792544868698231e-10, 1.035497550147153814e-09, 7.675454810631993620e-10, 6.685402948486131475e-10
2.084000000000000000e+03, 1.473490556746458622e-09, 1.150929218142789082e-10, 1.312985654433159402e-09, 3.763088095214965807e-10, 1.150929218142789082e-10, 1.456414263419676417e-09, 1.081745895550115150e-09, 9.267240452832815542e-10, 5.450071240902387172e-10, 1.312985654433159402e-09, 3.640410544394910033e-10, 9.267240452832815542e-10
2.085000000000000000e+03, 1.335264108545653224e-09, 1.752906998282295738e-10, 1.085450548998321273e-09, 9.335225049329516249e-10, 1.752906998282295738e-10, 1.336387530129442115e-09, 8.451344512140709022e-10, 6.762463124048287136e-10, 4.747992871437081170e-10, 1.085450548998321273e-09, 9.210264766419451265e-10, 6.762463124048287136e-10
