year, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL, IPSL-CM6A-LR, CanESM5, TaiESM1, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM
2.035000000000000000e+03, 2.979720269872610743e+02, 2.997162563732438798e+02, 3.002126538037657610e+02, 2.982053349564241671e+02, 3.003086087428906126e+02, 2.987871038457058148e+02, 2.979699111020045734e+02, 2.995905976064696574e+02, 2.976181378863893201e+02, 3.012228388950956628e+02, 2.988053719130368791e+02, 2.981587360049599056e+02, 2.985548261078599239e+02, 2.994121224362812086e+02, 2.986137455973050123e+02, 2.988502610257432366e+02
2.036000000000000000e+03, 2.983971206049462808e+02, 3.001117956400790945e+02, 3.005037584382561135e+02, 2.982240921142299612e+02, 3.004345745084577288e+02, 2.987122235350706774e+02, 2.986879994861926662e+02, 2.997583101869398092e+02, 2.981798912946781570e+02, 3.010098449601973130e+02, 2.986365073664704823e+02, 2.984848110706744819e+02, 2.984930256387871168e+02, 2.994225027604474008e+02, 2.984720762029307934e+02, 2.987425407932057055e+02
2.037000000000000000e+03, 2.983361678655879246e+02, 2.997521580896802220e+02, 3.003961432313186037e+02, 2.983836615624159663e+02, 3.002732937684206718e+02, 2.992170419868115232e+02, 2.978908344458051829e+02, 3.001273675255133639e+02, 2.983048879027095950e+02, 3.011234470904974501e+02, 2.988801626030465854e+02, 2.977876902822513898e+02, 2.986317147538159134e+02, 2.995157472980399120e+02, 2.986565806886980567e+02, 2.992088335998396360e+02
2.038000000000000000e+03, 2.980943454304410238e+02, 2.998779192201743626e+02, 3.001741077867621925e+02, 2.986399268572592405e+02, 3.000924318054814535e+02, 2.990545649485425201e+02, 2.978226776459366647e+02, 3.002122903671084941e+02, 2.978377028432278166e+02, 3.012362611808229076e+02, 2.996541742830055455e+02, 2.979232266002831579e+02, 2.983294412402000830e+02, 2.995587624046715973e+02, 2.987220658661176458e+02, 2.993417269003406886e+02
2.039000000000000000e+03, 2.980568798110579678e+02, 2.998820175626618720e+02, 3.002017790652427038e+02, 2.984114613667892968e+02, 3.004055333830963264e+02, 2.987242567591963507e+02, 2.981864427373687931e+02, 2.997112085473437446e+02, 2.976430619222678047e+02, 3.012853553711713062e+02, 2.994911850301893423e+02, 2.981346100259902983e+02, 2.985556111014959697e+02, 2.993931083444809360e+02, 2.987543160917356317e+02, 2.990074070382699460e+02
2.040000000000000000e+03, 2.983992780824095234e+02, 2.998350619463390103e+02, 3.004680464496046852e+02, 2.982210131398952058e+02, 3.003525315605243122e+02, 2.989725785458304017e+02, 2.980346522615302547e+02, 2.994233876325283745e+02, 2.978329602228731119e+02, 3.010190404118773699e+02, 2.987332868920805140e+02, 2.979646459259074618e+02, 2.986325890882361023e+02, 2.996652573411530511e+02, 2.986983371427037923e+02, 2.991977988906463111e+02
2.041000000000000000e+03, 2.979114688616307944e+02, 3.002160858901931419e+02, 3.001201302456677240e+02, 2.982842889621564382e+02, 3.003049483377016600e+02, 2.989775214853124794e+02, 2.981454220597046287e+02, 2.995908226827457952e+02, 2.980598545858979378e+02, 3.010938863729755894e+02, 2.985564009989137162e+02, 2.983778736474441757e+02, 2.984854177873086201e+02, 2.994709277153765470e+02, 2.985979388131840437e+02, 2.992393166850897614e+02
2.042000000000000000e+03, 2.985168958297362565e+02, 2.999967559138103184e+02, 3.002519495567378272e+02, 2.986402632057281608e+02, 3.003364795493727115e+02, 2.991602725926254038e+02, 2.985680034577322886e+02, 2.999229575507695813e+02, 2.981600028459748160e+02, 3.010068500197143067e+02, 2.989154326594125450e+02, 2.983737419671209636e+02, 2.983835682181453990e+02, 2.994607733178906983e+02, 2.986361022508154406e+02, 2.990524277176089072e+02
2.043000000000000000e+03, 2.983954958231872183e+02, 3.000480948604809441e+02, 3.005405170732864235e+02, 2.981786827527977266e+02, 3.004757896290836925e+02, 2.992495373155755942e+02, 2.975088905865965785e+02, 3.002110109080679194e+02, 2.981783154001433331e+02, 3.013432024313020747e+02, 2.995831270916188487e+02, 2.981079873541879124e+02, 2.983069733885591859e+02, 2.994633193629613288e+02, 2.987668520920006472e+02, 2.992917648280654248e+02
2.044000000000000000e+03, 2.984558824436904843e+02, 3.002859609989857290e+02, 3.002303450862349337e+02, 2.985103816741766423e+02, 3.004009762158185026e+02, 2.992320575676500880e+02, 2.977949438736051775e+02, 2.996970010932964215e+02, 2.977000169201998574e+02, 3.011815548844287491e+02, 2.989885802349638197e+02, 2.982707594447975907e+02, 2.985254241690493586e+02, 2.994534689664365601e+02, 2.986909925283764551e+02, 2.997162398933176064e+02
