year, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg, NorESM2-MM, GFDL-ESM4, NorESM2-LM, UKESM1-0-LL
2.065000000000000000e+03, 1.040772732349475088e-09, 3.270952867076711378e-09, 1.827209809070292338e-09, 3.203321920276892950e-10, 1.056182816506484694e-09, 2.490556854883455401e-10, 1.123206430107900656e-09, 2.143564674213647244e-10, 4.425920247286390606e-09
2.066000000000000000e+03, 1.240147060292888770e-09, 3.371777940759341088e-09, 1.794744655185816512e-09, 3.199268912900338171e-10, 1.140179087758768570e-09, 2.478122366763257390e-10, 1.096632228294315086e-09, 2.136491772670499004e-10, 3.792454185766182246e-09
2.067000000000000000e+03, 1.097097780381057191e-09, 3.509353423310865695e-09, 1.805268686102224728e-09, 3.206806565949191422e-10, 1.248341937520894014e-09, 2.466827353350248502e-10, 1.156222482417239763e-09, 2.127087052814955630e-10, 3.462440090531848261e-09
2.068000000000000000e+03, 9.233340947296860589e-10, 3.372558636622097049e-09, 1.805028791637615065e-09, 3.187423702831783945e-10, 1.034474593986471459e-09, 2.458653520477441979e-10, 1.067986726045865185e-09, 2.117509049728577658e-10, 3.850647258749668455e-09
2.069000000000000000e+03, 9.166690410608594081e-10, 3.233662359709604542e-09, 1.808022296265320518e-09, 3.145179260200588405e-10, 1.176829347172846756e-09, 2.448023029699627087e-10, 1.099339774261066304e-09, 2.107375995180261537e-10, 3.646082569001271185e-09
2.070000000000000000e+03, 1.253606243871600635e-09, 3.278249790703221003e-09, 1.814865611106766674e-09, 3.130156911681195958e-10, 1.273105356996277416e-09, 2.437331362843141731e-10, 1.035196949853183467e-09, 2.100044221544867637e-10, 3.385751065929037468e-09
2.071000000000000000e+03, 1.180071499844635528e-09, 3.144384280212434345e-09, 1.796350659149579282e-09, 3.129772458984763118e-10, 1.098940005098101815e-09, 2.430946317232602856e-10, 1.104841795093416728e-09, 2.095635246784040012e-10, 4.031775010618100177e-09
2.072000000000000000e+03, 9.750744363956013780e-10, 3.490089575446413412e-09, 1.834722600302944405e-09, 3.134776115698431053e-10, 1.006171310473528532e-09, 2.420662137329933582e-10, 1.100295216161021712e-09, 2.087699333151782766e-10, 4.438618407812978168e-09
2.073000000000000000e+03, 1.179435292144324829e-09, 3.556551797203093322e-09, 1.831013644119911128e-09, 3.102733833657601380e-10, 1.263609323841936735e-09, 2.409031472820316280e-10, 1.085070104378220544e-09, 2.080555771950675958e-10, 3.872173519804575524e-09
2.074000000000000000e+03, 1.128041517510540300e-09, 3.320855107927812042e-09, 1.833212589521433704e-09, 3.112608394177091933e-10, 1.269085502431656665e-09, 2.395019700992304862e-10, 1.138073636196904436e-09, 2.076343685581185333e-10, 3.578388338953429721e-09
2.075000000000000000e+03, 1.013699275202395277e-09, 3.413413546686014611e-09, 1.813944748968610526e-09, 3.104233934684788967e-10, 1.157090197661527574e-09, 2.384796109567049031e-10, 1.129624678601181787e-09, 2.069826688689040496e-10, 3.906657271500101418e-09
2.076000000000000000e+03, 1.052446007060261966e-09, 3.127617625865527122e-09, 1.778777244999401498e-09, 3.108383250155345734e-10, 1.104673109153909078e-09, 2.377631164051862842e-10, 1.094702388268196938e-09, 2.063536245425223167e-10, 4.116535373664825551e-09
2.077000000000000000e+03, 9.671089248337617725e-10, 3.173678755811609435e-09, 1.792021608819633860e-09, 3.109465962537106362e-10, 1.063295878473302614e-09, 2.368523056753694416e-10, 1.149134136724252048e-09, 2.058542588485382684e-10, 4.139692752122820747e-09
2.078000000000000000e+03, 1.374811857495437876e-09, 3.567776237830563395e-09, 1.800542263111616896e-09, 3.096914545033030760e-10, 1.262077956078338432e-09, 2.357771634864553373e-10, 1.075092036976284538e-09, 2.053508291312008755e-10, 3.841450608577451006e-09
2.079000000000000000e+03, 1.297205777887091957e-09, 3.561354162466415014e-09, 1.864351537397129288e-09, 3.076985503792289500e-10, 1.234911863559685783e-09, 2.349698890406168925e-10, 1.097865251224445465e-09, 2.046686472638238831e-10, 3.621702136492479201e-09
2.080000000000000000e+03, 9.851913834442366915e-10, 3.260417722704026099e-09, 1.821467184636963964e-09, 3.072140434009417381e-10, 1.163569869558562643e-09, 2.340634388777160212e-10, 1.110262525572011346e-09, 2.040775524113263033e-10, 3.958173076764730217e-09
2.081000000000000000e+03, 1.251500225392291584e-09, 3.343817228533505559e-09, 1.814242406672623713e-09, 3.018152754868282483e-10, 1.150456636829758648e-09, 2.329526501036585252e-10, 1.124276903651867795e-09, 2.031443937665145453e-10, 3.821693270480490763e-09
2.082000000000000000e+03, 1.368773056455877047e-09, 3.463931183336969773e-09, 1.840800474832528226e-09, 3.004687099476016649e-10, 1.067612104640384642e-09, 2.317385576679290932e-10, 1.095821119641231576e-09, 2.020438179913641065e-10, 3.592236971858570964e-09
2.083000000000000000e+03, 1.121164376766312089e-09, 3.555436772434145383e-09, 1.830961166957015829e-09, 2.986736650632682569e-10, 1.170416096545802096e-09, 2.304871683310421698e-10, 1.137054737416027703e-09, 2.009697697873896006e-10, 4.015161820264713367e-09
2.084000000000000000e+03, 9.099485526505374207e-10, 3.569733632307754165e-09, 1.830979584522879463e-09, 2.989595042169402055e-10, 1.184433945974439968e-09, 2.289701202042886959e-10, 1.109927930691050252e-09, 1.997291020550556714e-10, 3.923356089126694286e-09
2.085000000000000000e+03, 1.058245686383852537e-09, 3.347416661343315689e-09, 1.824204543294720068e-09, 2.954523180372739008e-10, 1.170591330421247846e-09, 2.275529148211811433e-10, 1.209263195059886516e-09, 1.986801010050832374e-10, 3.813532001514821625e-09
2.086000000000000000e+03, 9.818841731238751805e-10, 3.570268902195340218e-09, 1.814278376471094980e-09, 2.954929920047025224e-10, 1.299019514753995388e-09, 2.262005849824353107e-10, 1.106019214722266034e-09, 1.973354223278813094e-10, 3.759853925964971954e-09
2.087000000000000000e+03, 1.074064152535566855e-09, 3.391512769491370922e-09, 1.869968907534015992e-09, 2.944998890169947857e-10, 1.316759126731308710e-09, 2.250294695508606909e-10, 1.170629429814993264e-09, 1.961085652382710305e-10, 4.195304134852522892e-09
2.088000000000000000e+03, 1.239615388008075926e-09, 3.293092494839574005e-09, 1.862288441665459990e-09, 2.939978892826496143e-10, 1.062444457000738968e-09, 2.240151767601473687e-10, 1.124237093746889430e-09, 1.953271822192813420e-10, 4.112031132025849883e-09
2.089000000000000000e+03, 9.854841718047742570e-10, 3.583618436808520637e-09, 1.891249027191738446e-09, 2.939614005259436824e-10, 1.272192306266081155e-09, 2.230737079539895582e-10, 1.134955481907828911e-09, 1.946716124984872759e-10, 3.614289340723358581e-09
2.090000000000000000e+03, 1.329965098167443804e-09, 3.371457683599232689e-09, 1.902916145849772541e-09, 2.906771280973747916e-10, 1.218399159875388996e-09, 2.223338149820506280e-10, 1.079512851057172398e-09, 1.940889737421185222e-10, 4.195365189020304277e-09
2.091000000000000000e+03, 1.146036304028951881e-09, 3.597342224078047851e-09, 1.883020777054992316e-09, 2.850497211799146277e-10, 1.255370725269734294e-09, 2.209234104615417229e-10, 1.125681323715405459e-09, 1.920991943996190199e-10, 4.263175659606919077e-09
2.092000000000000000e+03, 1.013675075221643500e-09, 3.864978052270263184e-09, 1.850434167411733618e-09, 2.857610708412059391e-10, 1.121546750991351270e-09, 2.195570739083845190e-10, 1.117406423861973050e-09, 1.898929022838220675e-10, 3.817510057414877615e-09
2.093000000000000000e+03, 1.151709651032896749e-09, 3.394154141465999529e-09, 1.882864270184628415e-09, 2.857312023881083492e-10, 1.173173515861695795e-09, 2.188166322283450639e-10, 1.157190924318167530e-09, 1.893897008983928624e-10, 3.947576937086575736e-09
2.094000000000000000e+03, 9.612019400930399393e-10, 3.229828121338319194e-09, 1.875119118167209550e-09, 2.849334395140982242e-10, 1.323208089416510720e-09, 2.181645620780302052e-10, 1.160561874103337198e-09, 1.887259832665617620e-10, 4.217157127496486362e-09
2.095000000000000000e+03, 1.415385573698091175e-09, 3.693015303440679971e-09, 1.836746353753092318e-09, 2.855415586369479528e-10, 1.205724617436905757e-09, 2.181904328657860773e-10, 1.148347985032160047e-09, 1.882060991674115257e-10, 3.833145464220452692e-09
2.096000000000000000e+03, 1.208335856494902546e-09, 3.636261014467744934e-09, 1.812534064039935054e-09, 2.860272812820162898e-10, 1.021473346503088607e-09, 2.174131263706109939e-10, 1.177122246869613614e-09, 1.874326072241972287e-10, 3.992359644059080425e-09
2.097000000000000000e+03, 1.061996287425875424e-09, 3.443925820613417816e-09, 1.838189279589278497e-09, 2.831414355211410520e-10, 1.029790078288884220e-09, 2.164966602304370475e-10, 1.151997373178080462e-09, 1.867331278383223346e-10, 4.421824071209646256e-09
2.098000000000000000e+03, 1.093372958215498730e-09, 3.433030817289157510e-09, 1.845930838813950049e-09, 2.836975623903231000e-10, 1.224428789276222203e-09, 2.159173454149598603e-10, 1.127223157828208532e-09, 1.861474877409639925e-10, 3.634963544037968269e-09
2.099000000000000000e+03, 1.090683092447589707e-09, 3.204973898692402348e-09, 1.830241634142370066e-09, 2.996812185343045064e-10, 1.220104407186207994e-09, 2.151181612924434961e-10, 1.129611128548926950e-09, 1.859502829695632982e-10, 3.605022590763479211e-09
2.100000000000000000e+03, 1.016931574831159004e-09, 3.386864352966511800e-09, 1.834329922466702081e-09, 3.000521373003083864e-10, 1.113552975003758360e-09, 2.310784591599674124e-10, 1.133615180439052884e-09, 2.045519955573287078e-10, 4.057467273290144065e-09
