year, CESM2-WACCM, TaiESM1, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, CNRM-ESM2-1, CanESM5, MIROC-ES2L, UKESM1-0-LL, NorESM2-MM, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.054000000000000000e+03, 9.945729764090661007e+00, 1.482313599451630104e+01, 8.996187631161546960e+00, 9.653807145759849107e+00, 9.083952146211077050e+00, 1.034827523223401258e+01, 9.701299562605548488e+00, 1.186347272794346708e+01, 7.009691674938678396e+00, 1.350855929630500363e+01, 1.114369169636423784e+01, 1.576125437473172397e+01, 1.204736484052794232e+01, 1.605674593924886295e+01, 1.302614012974467528e+01, 9.204232128549531211e+00
2.055000000000000000e+03, 9.910871811530824971e+00, 1.430610626171909061e+01, 9.134714969722333322e+00, 9.473947843526781654e+00, 9.421922496468397412e+00, 1.029592988171532930e+01, 1.015731697050353155e+01, 1.148294811644819013e+01, 6.969037652257701332e+00, 1.310348795234520480e+01, 1.061735512967994133e+01, 1.600494508722185927e+01, 1.074817176168006583e+01, 1.581401870791133923e+01, 1.268393975923363470e+01, 8.786422026395426244e+00
2.056000000000000000e+03, 1.044689518653529703e+01, 1.422246520168225281e+01, 9.165285150767497058e+00, 9.667986958054045843e+00, 9.105772869427884331e+00, 9.886358949551015129e+00, 1.072888383401699386e+01, 1.173878019637288617e+01, 6.792050426284447440e+00, 1.242562809329356810e+01, 1.102193808980361744e+01, 1.594584518675682183e+01, 1.200179765769225604e+01, 1.620690667986567490e+01, 1.222963975609894938e+01, 8.398956941807094623e+00
2.057000000000000000e+03, 9.999163168308170313e+00, 1.456768296028238119e+01, 8.726383036652865854e+00, 9.857268148097819704e+00, 8.927418973393248081e+00, 1.031245274925492872e+01, 1.000209679523088013e+01, 1.153832382971345716e+01, 6.860677887880703985e+00, 1.410294959823205119e+01, 1.071942305052088429e+01, 1.524075355943674204e+01, 1.171009613773595781e+01, 1.582445782271976142e+01, 1.248246216995303826e+01, 8.754063215965212308e+00
2.058000000000000000e+03, 9.990163230702835406e+00, 1.291469920464936116e+01, 8.360062829671500495e+00, 9.603452155400963974e+00, 8.964762943045585075e+00, 1.051629203070146623e+01, 9.463290347302573124e+00, 1.168125038904922874e+01, 7.037744930306312874e+00, 1.286723732669765496e+01, 1.058129970884425219e+01, 1.580691879248305121e+01, 1.214781490751300375e+01, 1.596521868893228735e+01, 1.268483950823391915e+01, 8.586302851125790170e+00
2.059000000000000000e+03, 1.045882852086762149e+01, 1.247096559489221512e+01, 8.719867508993841554e+00, 9.636671945076976442e+00, 8.827062060551806866e+00, 1.070032687528778581e+01, 9.758796503688190072e+00, 1.179892053301170129e+01, 6.811381501309010211e+00, 1.242794709264500241e+01, 1.079301926342604290e+01, 1.571867222675790465e+01, 1.037935195679831146e+01, 1.613857259617011053e+01, 1.261476290426344526e+01, 8.529031949334704876e+00
2.060000000000000000e+03, 1.000348215808146257e+01, 1.414109820892252678e+01, 8.944488432052990490e+00, 1.016180095759517421e+01, 8.948067486856919217e+00, 1.036928760462703103e+01, 9.685162047695683896e+00, 1.162380837685388713e+01, 6.970317674654541662e+00, 1.292134568314080489e+01, 1.082612152579545572e+01, 1.578665698062568801e+01, 1.071860732960114504e+01, 1.583220035001021664e+01, 1.271521891118570835e+01, 9.133310577490854953e+00
2.061000000000000000e+03, 9.846773307220123783e+00, 1.416089665697325373e+01, 8.931918037870936189e+00, 9.732803348851167158e+00, 9.236417862530498013e+00, 1.022664095692761421e+01, 9.748730957547470766e+00, 1.173020265030444165e+01, 6.877501681863433802e+00, 1.419575730903288857e+01, 1.057881497644619095e+01, 1.544398814669811415e+01, 1.184313383749067938e+01, 1.600123299183415781e+01, 1.287321377496525265e+01, 9.427715074223351976e+00
2.062000000000000000e+03, 1.026102996075553264e+01, 1.352454970687030489e+01, 8.470100280783359636e+00, 9.833307154462564981e+00, 9.032659735576624271e+00, 1.042451520869540360e+01, 9.755117520207416959e+00, 1.175921831437182519e+01, 7.083856972828606047e+00, 1.407077409008102187e+01, 1.083596635342958159e+01, 1.517093658490501795e+01, 1.214982938008738955e+01, 1.569494146499404863e+01, 1.360348309930499155e+01, 8.587898341493559684e+00
2.063000000000000000e+03, 1.007712154954607087e+01, 1.438438845482951933e+01, 8.678317571046919809e+00, 9.631608875713469686e+00, 9.158714975081316823e+00, 1.041777675249044499e+01, 9.693810998948611868e+00, 1.147137317485970875e+01, 6.975677267986961638e+00, 1.207128980567724419e+01, 1.041239893927709836e+01, 1.575064220253066694e+01, 1.227496939377563301e+01, 1.578826787889093985e+01, 1.323701351867265252e+01, 8.520999677218757284e+00
