year, EC-Earth3-Veg, NorESM2-MM, CMCC-ESM2, CNRM-ESM2-1, TaiESM1, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-LM, IPSL-CM6A-LR
2.091000000000000000e+03, 5.146140565849152917e-10, 1.465736926905276950e-09, 2.553932438273943621e-10, 1.087807653962072159e-10, 3.788395095105432167e-10, 3.078869388204903620e-10, 2.444261675982173666e-12, 1.959584712545359713e-09, 1.230513158522094740e-09, 8.712791994764276483e-11
2.092000000000000000e+03, 5.304035057037072066e-10, 1.599866778364218187e-09, 2.640098042071270768e-10, 1.014798748277628957e-10, 3.759607927175281594e-10, 3.022305112127204972e-10, 2.334777987307334290e-12, 1.935187317688743908e-09, 1.333962525249481593e-09, 8.321260408012608450e-11
2.093000000000000000e+03, 5.195336452227149343e-10, 1.730264897157603402e-09, 2.576390833537067425e-10, 9.396769857649175555e-11, 3.657336651517671981e-10, 2.982425405075665945e-10, 2.221949224947752109e-12, 1.925664941952761078e-09, 1.248703922330036810e-09, 7.998109832493972365e-11
2.094000000000000000e+03, 5.255264901516046512e-10, 1.550118748539680285e-09, 2.499504709822211170e-10, 8.579037458702638126e-11, 3.603423280379722102e-10, 2.947512661273057690e-10, 2.196619745846945704e-12, 1.890567885126436630e-09, 1.095844182325420824e-09, 7.631674510144881929e-11
2.095000000000000000e+03, 5.003813828426490109e-10, 1.786094072294907678e-09, 2.481239788855306834e-10, 7.810444706260442347e-11, 3.605612591070603095e-10, 2.922932481721571658e-10, 2.135488811595124936e-12, 1.867906893866053189e-09, 1.132230887669116457e-09, 7.277549292356073946e-11
2.096000000000000000e+03, 4.561002741090379115e-10, 1.769544367253781562e-09, 2.440333868581379110e-10, 6.513356997377806915e-11, 3.504028239401511835e-10, 2.843516436847087856e-10, 2.062281436761328112e-12, 1.867451059764925160e-09, 1.544370524136546561e-09, 6.078976168378470639e-11
2.097000000000000000e+03, 4.382818553520147252e-10, 1.492266531734020277e-09, 2.451946869475798907e-10, 6.336449118770298703e-11, 3.442339363527914526e-10, 2.830779406467540578e-10, 2.009635139136212858e-12, 1.843724819112033901e-09, 1.509441456851617207e-09, 5.895786926826652471e-11
2.098000000000000000e+03, 4.564726360975077127e-10, 1.366325626226488226e-09, 2.600089887029288559e-10, 6.002569692081043524e-11, 3.499391994075735417e-10, 2.801996757726028987e-10, 1.957287241654340198e-12, 1.821897379453424691e-09, 1.141473257214608909e-09, 5.683664059736016332e-11
2.099000000000000000e+03, 4.824263593904495474e-10, 1.745583679433878973e-09, 2.629863473504427494e-10, 5.833450839673974384e-11, 3.503180735967062811e-10, 2.789117792840572303e-10, 1.876974148106537333e-12, 1.803565306940818710e-09, 1.198765383514398927e-09, 5.507569004712199670e-11
2.100000000000000000e+03, 4.589755232542632568e-10, 1.695162346470741987e-09, 1.822934063316854796e-10, 5.575694863188399925e-11, 3.059336922759320807e-10, 2.803478538068456581e-10, 1.817491006834174435e-12, 1.756468691526820512e-09, 1.135268033085538432e-09, 5.265701418513090909e-11
