year, CMCC-CM2-SR5, INM-CM5-0, CESM2-WACCM, EC-Earth3-Veg, NorESM2-MM, MIROC-ES2L, ACCESS-ESM1-5, CanESM5, MPI-ESM1-2-LR, NorESM2-LM, TaiESM1, CNRM-ESM2-1, UKESM1-0-LL, IPSL-CM6A-LR, GFDL-ESM4, INM-CM4-8
2.061000000000000000e+03, 2.858849490931926880e+02, 2.837437983411199411e+02, 2.854050922163170867e+02, 2.844048252311690703e+02, 2.841823876978311318e+02, 2.854093000066548598e+02, 2.859646730163837560e+02, 2.863330802778817770e+02, 2.832976183505080598e+02, 2.847957440342276527e+02, 2.864032694093093596e+02, 2.838368762410810291e+02, 2.847150613257479108e+02, 2.840035593855344587e+02, 2.830501830909381624e+02, 2.842948120996210264e+02
2.062000000000000000e+03, 2.860703055511843900e+02, 2.846970090573659604e+02, 2.853812297721197524e+02, 2.845065788610839945e+02, 2.843819335927100838e+02, 2.844520506477711592e+02, 2.860076850068453496e+02, 2.873459957447766442e+02, 2.838752352782766479e+02, 2.847535873673837159e+02, 2.862305371092260771e+02, 2.838032790827333542e+02, 2.839439853984537763e+02, 2.844242244955676711e+02, 2.831202831316342099e+02, 2.846430925522606685e+02
2.063000000000000000e+03, 2.856935833959560682e+02, 2.846349889604849750e+02, 2.858213187615022548e+02, 2.843721885357754786e+02, 2.838291315003096429e+02, 2.852960142404139674e+02, 2.857950716776928743e+02, 2.870029290800935655e+02, 2.837738604043158830e+02, 2.850367713241685124e+02, 2.854811159877892237e+02, 2.842652176287161296e+02, 2.847743303009961551e+02, 2.847160392109153690e+02, 2.822347668279048207e+02, 2.845260290231192357e+02
2.064000000000000000e+03, 2.860339772166526586e+02, 2.853105313626067527e+02, 2.859197602526535320e+02, 2.839845602439623917e+02, 2.841733652488313737e+02, 2.854319357431294861e+02, 2.853307729869521268e+02, 2.859655940239529173e+02, 2.834093352675535584e+02, 2.847260807242129772e+02, 2.864088697431168384e+02, 2.847860070894411706e+02, 2.849739123873152380e+02, 2.851333047070651787e+02, 2.825713965262095257e+02, 2.851791000647331771e+02
2.065000000000000000e+03, 2.854661731186989186e+02, 2.842124629312830848e+02, 2.854751047377061468e+02, 2.842679278177589595e+02, 2.846313879838353955e+02, 2.850509739297941110e+02, 2.854233802819134098e+02, 2.866930110486595709e+02, 2.836565508890445813e+02, 2.847848342454750536e+02, 2.869141519177852615e+02, 2.837824812404228965e+02, 2.851283005589279469e+02, 2.850428505302660369e+02, 2.826948323961546521e+02, 2.848634523552696578e+02
2.066000000000000000e+03, 2.860771233799659399e+02, 2.849700750726501610e+02, 2.859216927555848429e+02, 2.837785727548413774e+02, 2.847185902507985702e+02, 2.855001688065161147e+02, 2.859360760004154258e+02, 2.871663121870661257e+02, 2.833842811658155938e+02, 2.855718603322084732e+02, 2.869871782327894039e+02, 2.857964444881366148e+02, 2.851873573761807279e+02, 2.848639362010103468e+02, 2.832147138388551184e+02, 2.845794316844986724e+02
2.067000000000000000e+03, 2.861741515009829300e+02, 2.846419609733183052e+02, 2.856126148020957771e+02, 2.847556690295241424e+02, 2.846190227197365630e+02, 2.845720832058449901e+02, 2.857424991543248893e+02, 2.870114567164262667e+02, 2.832494408816404530e+02, 2.858535694631327146e+02, 2.873300469151054131e+02, 2.844806046807590292e+02, 2.860334877972629215e+02, 2.850072883701332671e+02, 2.832764838898187918e+02, 2.848088225226216537e+02
2.068000000000000000e+03, 2.864198696595856859e+02, 2.853732262682227656e+02, 2.849555417208078438e+02, 2.852655216041393373e+02, 2.850054649633670465e+02, 2.853904395504487184e+02, 2.857724866652196170e+02, 2.865366334557969026e+02, 2.848790441483625955e+02, 2.847777218173344522e+02, 2.875506327825630706e+02, 2.846868203220350324e+02, 2.848307080398217295e+02, 2.843628793660768679e+02, 2.826042757339562286e+02, 2.843268760095907055e+02
2.069000000000000000e+03, 2.861470716532867868e+02, 2.851689130463657875e+02, 2.862578636179761702e+02, 2.844635262384761063e+02, 2.846504047815862464e+02, 2.855712706317765424e+02, 2.859352618818651877e+02, 2.875413107327511284e+02, 2.845237593288580911e+02, 2.851469056655114400e+02, 2.868951994382925363e+02, 2.847418605304063135e+02, 2.844691513209545519e+02, 2.851195792269238041e+02, 2.833405565800049999e+02, 2.851337714825114062e+02
2.070000000000000000e+03, 2.869181455799597416e+02, 2.843708054069720674e+02, 2.856758726034797746e+02, 2.854412524821177044e+02, 2.851585173139313838e+02, 2.855233170901511244e+02, 2.864336813355816389e+02, 2.868203022379766480e+02, 2.834053173189399786e+02, 2.849744083723056747e+02, 2.862656054182317007e+02, 2.844258618516256547e+02, 2.851678267364365524e+02, 2.845165012371191438e+02, 2.823436846123035480e+02, 2.852175959701971237e+02
2.071000000000000000e+03, 2.862017345666799883e+02, 2.849173071933781216e+02, 2.851325261114603222e+02, 2.851176696448228540e+02, 2.847806952257164994e+02, 2.862002211370435703e+02, 2.854335006358780333e+02, 2.868437173755522736e+02, 2.836476167420851198e+02, 2.852435734346050253e+02, 2.862898309664516319e+02, 2.842758066848100498e+02, 2.855435128737732384e+02, 2.839121307490234472e+02, 2.823900531552665143e+02, 2.853624270961058187e+02
2.072000000000000000e+03, 2.869884231415432509e+02, 2.844249301916763102e+02, 2.857359876075426541e+02, 2.842070473789887615e+02, 2.846192676969477020e+02, 2.855169128327507337e+02, 2.858602109450604871e+02, 2.866668952493849929e+02, 2.846105242973256964e+02, 2.852196861188630237e+02, 2.862819170821783814e+02, 2.850442646536499183e+02, 2.856164160650480426e+02, 2.847246028165198481e+02, 2.832622393874767113e+02, 2.849712825858762812e+02
2.073000000000000000e+03, 2.862933663594894256e+02, 2.844421678350627190e+02, 2.853821129228623477e+02, 2.856427165063839198e+02, 2.856281996890630808e+02, 2.857956514928447973e+02, 2.857824208301506133e+02, 2.871605787774180953e+02, 2.842402727700513196e+02, 2.853673672644966928e+02, 2.870730485376193428e+02, 2.851462763833926033e+02, 2.852346299668852225e+02, 2.850984352520460448e+02, 2.835319948793945173e+02, 2.851991153286620033e+02
2.074000000000000000e+03, 2.858217937485087532e+02, 2.854734841480747605e+02, 2.865521790672565317e+02, 2.849979791566157701e+02, 2.852488911081182437e+02, 2.858224517735195604e+02, 2.861799444102924213e+02, 2.868727616808280914e+02, 2.843500530490846359e+02, 2.852189117201849626e+02, 2.874304028649065117e+02, 2.857950374705959007e+02, 2.856014587550014312e+02, 2.850354620910834456e+02, 2.832259970156623581e+02, 2.854444556772380679e+02
