year, NorESM2-LM, CESM2-WACCM, NorESM2-MM, CNRM-ESM2-1, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, MPI-ESM1-2-LR, TaiESM1, ACCESS-ESM1-5, CanESM5, MIROC-ES2L, GFDL-ESM4
2.052000000000000000e+03, 2.189961890878623585e+00, 2.345743264422557317e+00, 2.512077258625909693e+00, 3.225116107292247847e+00, 3.054131072906686395e+00, 2.810353630072161657e+00, 2.670274081806512712e+00, 2.725725317786710900e+00, 2.418854851079300428e+00, 2.394140629325075320e+00, 3.578730250266909607e+00, 1.553556882697698649e+00, 3.366446130103388779e+00, 4.754176180369878324e+00, 4.430651474078362462e+00, 2.663687545000765766e+00
2.053000000000000000e+03, 2.355003263374214839e+00, 2.599183753564299870e+00, 2.416104167253619650e+00, 2.997261495516807983e+00, 3.197003534886636800e+00, 2.964085442032232454e+00, 2.696467280504445174e+00, 2.756033163607140235e+00, 2.093983811723911792e+00, 2.540735105375925507e+00, 3.615970374874123650e+00, 1.317429306599790406e+00, 3.366287606952387712e+00, 4.716047755870145686e+00, 4.304506527999739873e+00, 2.751519655107033557e+00
2.054000000000000000e+03, 2.418180903717335628e+00, 2.344318837914545206e+00, 2.517637967893606721e+00, 3.411236269988098257e+00, 3.186738896216050776e+00, 2.824616185439912552e+00, 2.994626380587951164e+00, 2.599338945757990960e+00, 2.676118893209622929e+00, 2.570175849863705952e+00, 3.731481757564469426e+00, 1.446520246886252359e+00, 3.181257581913242927e+00, 4.445004949461209165e+00, 4.231908541360118292e+00, 2.847321777090281891e+00
2.055000000000000000e+03, 2.344996403009589336e+00, 2.439581411413733747e+00, 2.438115743759819765e+00, 3.680945743140509041e+00, 3.229748657870622264e+00, 2.701883380588784078e+00, 2.930460930875601555e+00, 2.625393390559235041e+00, 2.581804876438976937e+00, 2.917183566280195262e+00, 3.656428091557993643e+00, 1.245531463777679315e+00, 3.315465455428374675e+00, 4.688148932896210042e+00, 4.452254164738992159e+00, 2.756680864391811703e+00
2.056000000000000000e+03, 2.316641678826716788e+00, 2.593650744161999366e+00, 2.181539130378915559e+00, 3.427003562834630035e+00, 2.665002892199334728e+00, 3.059401414415453324e+00, 2.888412454144162478e+00, 2.881331553922513500e+00, 2.244655768394396400e+00, 2.611009575121754356e+00, 3.750269394394281530e+00, 1.416570672985412616e+00, 3.102330656931552522e+00, 4.753110538298326304e+00, 4.566440225390294039e+00, 2.669241081281439332e+00
2.057000000000000000e+03, 2.371425546651858340e+00, 2.681818381240682392e+00, 2.361692208016856753e+00, 3.474772734893772697e+00, 3.164811966564749834e+00, 2.790019181735052367e+00, 2.761052701230985562e+00, 2.805744871695450282e+00, 2.278021024194702981e+00, 2.678200510660277089e+00, 3.554072308450272555e+00, 1.421768727920527553e+00, 3.113876854205209987e+00, 5.030864836369937976e+00, 4.516477732694501590e+00, 3.138972801511566768e+00
2.058000000000000000e+03, 2.332867126959443649e+00, 2.606937355246135013e+00, 2.448513892744350162e+00, 3.553757858470353970e+00, 3.435913042149925101e+00, 2.810874114090079257e+00, 2.632835368170058032e+00, 2.765768155129633143e+00, 2.405360214984724188e+00, 2.551528197387117558e+00, 3.587730990032136802e+00, 1.558383581205584845e+00, 3.044859632405439775e+00, 4.845212211058892215e+00, 4.500640859593064924e+00, 2.845037580191544180e+00
2.059000000000000000e+03, 2.386876541493575754e+00, 2.655273718546679707e+00, 2.476765115722609156e+00, 3.077534217924573046e+00, 3.237660952573147455e+00, 3.126550802417645158e+00, 2.781623596888797234e+00, 2.731417043234237951e+00, 2.636971958811256123e+00, 2.563690856229361881e+00, 3.768340259474449283e+00, 1.293344389130478334e+00, 3.165580795556355742e+00, 4.676948279818954113e+00, 4.688221533482331616e+00, 3.032886383389815865e+00
2.060000000000000000e+03, 2.341140888287104094e+00, 2.649398702766597946e+00, 2.589407535860770881e+00, 3.601242582231475531e+00, 3.563144141234598994e+00, 3.004513535444808259e+00, 3.019297528646471385e+00, 2.872179407140674989e+00, 2.235947930210983259e+00, 2.520522435316311594e+00, 3.636443103421163503e+00, 1.306240434849892385e+00, 3.133480142120250722e+00, 5.021637526934643603e+00, 4.450911931518306552e+00, 3.195941481771980897e+00
2.061000000000000000e+03, 2.344842951564118039e+00, 2.647685783723542130e+00, 2.368428026085761307e+00, 3.663923748639128952e+00, 3.423300513749158558e+00, 2.779723881706286814e+00, 2.815153423591588044e+00, 2.792783292671287665e+00, 2.564135036639062726e+00, 2.389118301442256342e+00, 3.658114852527885041e+00, 1.414243312027999355e+00, 3.028778160696590671e+00, 5.003923635750557430e+00, 4.605642166641461088e+00, 3.033642627672882952e+00
