year, CNRM-ESM2-1, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, NorESM2-LM, EC-Earth3-Veg
2.053000000000000000e+03, 1.005462256580526955e-10, 1.289991246458811099e-10, 1.118096551564394064e-11, 3.536758832842969054e-10, 2.419702320481534119e-10, 7.394939615435520985e-13, 2.181422846748645606e-09, 1.768576566952338096e-11, 2.107022414865801664e-09, 6.782609425453493275e-11
2.054000000000000000e+03, 9.852999816547675136e-11, 1.272939621843705001e-10, 1.133036673878609142e-11, 3.541160360374957097e-10, 2.444523937456312007e-10, 7.444973062632369782e-13, 2.289799641154809215e-09, 1.765986129604431990e-11, 2.168577546161477483e-09, 6.424595596178911815e-11
2.055000000000000000e+03, 9.774146352104967684e-11, 1.284577225395336000e-10, 1.251489014704423920e-11, 3.520927059817066106e-10, 2.475189597976188467e-10, 7.102145813624947246e-13, 1.970318133137405093e-09, 1.766707549665261060e-11, 2.182836604934578653e-09, 5.827855562299697601e-11
2.056000000000000000e+03, 1.096231895901171414e-10, 1.293694913222708447e-10, 1.274996815939122927e-11, 3.651417752191451559e-10, 2.465078378056607033e-10, 5.867483734601409583e-13, 1.829057082961681419e-09, 2.192983236266214216e-11, 1.971338381565588366e-09, 6.645718349108502395e-11
2.057000000000000000e+03, 1.093509532857702253e-10, 1.297635540638162050e-10, 1.292399692718924507e-11, 3.632901858866647635e-10, 2.460756496019227951e-10, 5.372001598438205299e-13, 1.890811590303533366e-09, 2.178229934107137917e-11, 2.028872489799872308e-09, 6.450918076598497374e-11
2.058000000000000000e+03, 1.093970534794976308e-10, 1.329732428417110785e-10, 1.315557150260096191e-11, 3.664598264879344919e-10, 2.427626489199502372e-10, 5.914338092738256864e-13, 1.821082112449785105e-09, 2.182371440481041779e-11, 2.047248822999696101e-09, 6.265789619266602327e-11
2.059000000000000000e+03, 1.090217198203568950e-10, 1.335882421888549311e-10, 1.300919471849932825e-11, 3.675312576253453037e-10, 2.433151995098382705e-10, 6.664333045063904184e-13, 1.940414623137665043e-09, 2.182963887101301169e-11, 2.022549321979818002e-09, 6.373869282773426663e-11
2.060000000000000000e+03, 1.085196111803770906e-10, 1.308996934909696975e-10, 1.387531950283126557e-11, 3.655346010895673139e-10, 2.499510435787418412e-10, 6.900748628038812233e-13, 2.174213768674448573e-09, 2.188533038777138252e-11, 2.034259047294113205e-09, 6.360828693406063877e-11
2.061000000000000000e+03, 1.114676987735506093e-10, 1.316795947160296809e-10, 1.425295373219619415e-11, 3.917617335031188928e-10, 2.505132805865478038e-10, 6.322618568120263477e-13, 2.055626515172054549e-09, 2.318626422286018777e-11, 2.050810438893529473e-09, 6.637868792857482800e-11
2.062000000000000000e+03, 1.130934141165676494e-10, 1.328179037688410869e-10, 1.476696249728316622e-11, 3.933302829853104248e-10, 2.495210965271551677e-10, 5.888603373159626838e-13, 2.053857498898132360e-09, 2.347725216834502541e-11, 2.056175064872779276e-09, 7.000456964378785770e-11
2.063000000000000000e+03, 1.140811785677469326e-10, 1.333415005248834656e-10, 1.501069027635386554e-11, 3.943784746644025547e-10, 2.501080202062077487e-10, 5.599871539664136245e-13, 2.131395221387555057e-09, 2.370634668442626910e-11, 1.873277839198763764e-09, 7.511136653530657277e-11
2.064000000000000000e+03, 1.203121003755837804e-10, 1.332960165685296315e-10, 1.472765546985835687e-11, 3.945518339648352170e-10, 2.501290780968125896e-10, 5.267127239816527600e-13, 1.970971442736004589e-09, 2.428674150470545935e-11, 1.767250586990191894e-09, 7.313076830534118724e-11
2.065000000000000000e+03, 1.234324522276310839e-10, 1.279994598143469588e-10, 1.267033485092267894e-11, 3.983030895325504362e-10, 2.417404427390351804e-10, 4.959490651417127477e-13, 2.095298870521714521e-09, 2.479924983098241583e-11, 1.982952814160650206e-09, 7.302500249034349289e-11
2.066000000000000000e+03, 1.416568906159631255e-10, 1.261777147333948063e-10, 1.102668615391056374e-11, 3.791358317268007196e-10, 2.363422365894113774e-10, 4.493440254970341528e-13, 2.263575797648923631e-09, 2.008516614288044509e-11, 1.939291221095109259e-09, 5.496219717975989066e-11
2.067000000000000000e+03, 1.426663582340508202e-10, 1.275909390506487873e-10, 1.095993712941059993e-11, 3.787181154876623553e-10, 2.377374021225690228e-10, 4.451400128331586206e-13, 2.334739543244731926e-09, 1.945576596246052606e-11, 1.799694091024276905e-09, 5.409796561614221745e-11
2.068000000000000000e+03, 1.439922132606206645e-10, 1.264568749816666607e-10, 1.117637176913895743e-11, 3.769957699332508330e-10, 2.387233063921691842e-10, 4.184650429619589544e-13, 2.277023096557027188e-09, 1.967644575301483605e-11, 1.945439252092712380e-09, 5.247873440248244879e-11
2.069000000000000000e+03, 1.463982110603630797e-10, 1.257921832930879394e-10, 1.047880630942395214e-11, 3.755316513572330930e-10, 2.422690018312592002e-10, 4.553146861728347367e-13, 2.273052130670605973e-09, 1.947311373099619524e-11, 2.068177718906636351e-09, 5.236592985173800695e-11
2.070000000000000000e+03, 1.485388809339732854e-10, 1.302782114271409944e-10, 1.293500403990396419e-11, 3.747393388255815260e-10, 2.365806068012132156e-10, 5.089443198815794624e-13, 2.132801432463663443e-09, 1.953783276354535611e-11, 2.014229848997618331e-09, 5.169773393019634490e-11
2.071000000000000000e+03, 1.146877739498606423e-10, 1.312853871636986807e-10, 1.496175069677552894e-11, 3.774734820160006424e-10, 2.368408232719545448e-10, 5.766718841348079171e-13, 1.987282225593876464e-09, 1.898390106097542669e-11, 2.078307310080518012e-09, 4.495658696753794297e-11
2.072000000000000000e+03, 1.137694860003407199e-10, 1.278518315444249018e-10, 1.521501324786674853e-11, 3.765228936909699623e-10, 2.396665159467665233e-10, 5.976955234861650777e-13, 2.150882356617577503e-09, 1.856447626264260499e-11, 2.147177556967878796e-09, 4.560594245627691149e-11
2.073000000000000000e+03, 1.143243793055356643e-10, 1.295068063843971428e-10, 1.521825309863659620e-11, 3.752779668500612013e-10, 2.398126322574989895e-10, 6.141690283275275208e-13, 2.185256690556241635e-09, 1.860950878372897774e-11, 2.031881092116963548e-09, 5.051854138094819047e-11
2.074000000000000000e+03, 1.142692337031448667e-10, 1.284238890098552594e-10, 1.537353122656099940e-11, 3.742419973101118995e-10, 2.340948585142741772e-10, 6.002146941690888637e-13, 2.221140972399127789e-09, 1.835984320158069861e-11, 1.990357791906854818e-09, 5.290079028898586414e-11
2.075000000000000000e+03, 1.132642412163591356e-10, 1.309681729028820812e-10, 1.515192335432938360e-11, 3.739643415750825985e-10, 2.394439285058720181e-10, 5.962507907826048273e-13, 2.122441781469137321e-09, 1.872346146390723971e-11, 1.937010518575129235e-09, 5.508534085309693605e-11
2.076000000000000000e+03, 1.291253381941735221e-10, 1.296872898314510608e-10, 1.481690176924015986e-11, 4.088513009629046559e-10, 2.388670910053179239e-10, 5.201325127136315732e-13, 1.929329563018685320e-09, 2.006804064423217920e-11, 1.834708133559110341e-09, 5.747512788740570997e-11
