year, CNRM-ESM2-1, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4, CMCC-CM2-SR5, CanESM5, MIROC-ES2L, INM-CM4-8, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, INM-CM5-0
2.063000000000000000e+03, 3.645322205126758064e+01, 1.500202712621880252e+01, 1.420368830925655246e+01, 7.274499570148375227e+00, 1.986373554164917010e+01, 1.674976770713455565e+01, 1.816032909825826280e+01, 9.314620390308208542e+00, 8.649337020712522417e+00, 3.703194560192009988e+01, 3.488447475331523862e+01, 2.391519800628008596e+01, 1.552252413097210493e+01, 4.323202021784612725e+01, 4.682335963687028979e+00, 2.572886804725322563e+01
2.064000000000000000e+03, 3.676590330258974859e+01, 1.494048170087140726e+01, 1.428661975617635171e+01, 7.326422007511089518e+00, 1.991755825507098621e+01, 1.683944104961123500e+01, 1.827564130832661604e+01, 9.350654510908533723e+00, 8.597568562513744794e+00, 3.726190066293143843e+01, 3.522135664519707632e+01, 2.411867031758585256e+01, 1.559196072379563880e+01, 4.341007285366976021e+01, 4.774380239903860179e+00, 2.581553876130847769e+01
2.065000000000000000e+03, 3.692900303870439416e+01, 1.499121114479485328e+01, 1.449424592188888994e+01, 7.391065570066711388e+00, 2.026525472157936747e+01, 1.695232615742823867e+01, 1.847082933283935446e+01, 9.401431687323778874e+00, 8.454730118992639376e+00, 3.751812658532406175e+01, 3.535519447002359072e+01, 2.417339307507603863e+01, 1.565045895962859746e+01, 4.358262116432212707e+01, 4.508802987097742410e+00, 2.589729059014002388e+01
2.066000000000000000e+03, 3.713883250030001193e+01, 1.522857918489265039e+01, 1.444597954846443244e+01, 7.407760149035437891e+00, 2.072180275130047988e+01, 1.702774425918280343e+01, 1.859673672504687403e+01, 9.394772212632011232e+00, 8.532217427505431218e+00, 3.788350235934166221e+01, 3.552878402464302354e+01, 2.417067726893322543e+01, 1.572588994639473370e+01, 4.359353544860567808e+01, 4.388404920260905229e+00, 2.604596776869937358e+01
2.067000000000000000e+03, 3.742197447358195461e+01, 1.527765340757664347e+01, 1.467783877332219689e+01, 7.531185203912363235e+00, 2.082368181098564719e+01, 1.710486314780818518e+01, 1.863595437565136237e+01, 9.416875024607259448e+00, 8.444915554999480989e+00, 3.827973112398353805e+01, 3.572500108865516921e+01, 2.419795821490929200e+01, 1.578591708207874156e+01, 4.370664253135013411e+01, 4.641006975270927093e+00, 2.615501574645269045e+01
2.068000000000000000e+03, 3.767251258077666876e+01, 1.529420309478120288e+01, 1.478744192475471309e+01, 7.618065708174019512e+00, 2.089328279908209396e+01, 1.710710360522972096e+01, 1.864633376527343600e+01, 9.418855244286261197e+00, 9.088178249656575503e+00, 3.860934570330073967e+01, 3.596289334296533724e+01, 2.431109557259480880e+01, 1.593322556035538184e+01, 4.385959965301276497e+01, 4.626096999506322582e+00, 2.608472762862995964e+01
2.069000000000000000e+03, 3.794648953451050488e+01, 1.531107808397908165e+01, 1.493938271390926964e+01, 7.476775896819061629e+00, 2.086187644857691126e+01, 1.717572151428073823e+01, 1.877075966002255214e+01, 9.459733575404223771e+00, 9.218148246801165513e+00, 3.897985861479256187e+01, 3.631593461591210570e+01, 2.436253239454985575e+01, 1.605497786788397363e+01, 4.389578701114002968e+01, 4.734950992482932719e+00, 2.606672101178066470e+01
2.070000000000000000e+03, 3.831254876438572410e+01, 1.543549342759276399e+01, 1.501439125715776868e+01, 7.576309263165430075e+00, 2.113115379760773749e+01, 1.727348157967036357e+01, 1.889030422571249090e+01, 9.478096005059724050e+00, 8.663713221469819814e+00, 3.892211041745937194e+01, 3.650654006721745048e+01, 2.441792989752133991e+01, 1.619194798391347589e+01, 4.394500503980416539e+01, 4.803871982148687714e+00, 2.615972544446519876e+01
2.071000000000000000e+03, 3.851386953847231354e+01, 1.558642023606404337e+01, 1.517171781857492618e+01, 7.607691985306740179e+00, 2.090817672436708108e+01, 1.736973052409438623e+01, 1.896209852772130589e+01, 9.589134272409404858e+00, 8.207747086441234075e+00, 3.909824058088458543e+01, 3.670032889216130911e+01, 2.456028196144237086e+01, 1.608952697993186121e+01, 4.404587232633216587e+01, 5.045164211186666137e+00, 2.631974000493061894e+01
2.072000000000000000e+03, 3.890944242093544148e+01, 1.569946090019187324e+01, 1.536275526467252917e+01, 7.666014985184659736e+00, 2.114520567251834393e+01, 1.749111171554320521e+01, 1.913191982891574483e+01, 9.805946542487586015e+00, 8.492173213653215313e+00, 3.936013037437663797e+01, 3.694476149594234471e+01, 2.461656635908984825e+01, 1.613215662614323165e+01, 4.419589464719494742e+01, 4.765427305774496247e+00, 2.638113614976714771e+01
2.073000000000000000e+03, 3.929765060680107069e+01, 1.577645380572043265e+01, 1.546256420860185443e+01, 7.668938162272350034e+00, 2.138961017710825629e+01, 1.760482845722779288e+01, 1.924018621750325408e+01, 9.868843883259460270e+00, 8.618734759865201767e+00, 3.956378773200420085e+01, 3.715953617907217676e+01, 2.478781575019085182e+01, 1.636182883918600339e+01, 4.422057248704211929e+01, 4.768666611689427626e+00, 2.641852078183761776e+01
2.074000000000000000e+03, 3.961552404759853374e+01, 1.583498059542111847e+01, 1.571406488709203764e+01, 7.737641308621131309e+00, 2.172080495004319545e+01, 1.775444260425921783e+01, 1.931954810511529530e+01, 9.897660544906193181e+00, 7.925145907774756360e+00, 3.984055844308758054e+01, 3.727218026710941245e+01, 2.484013646853269108e+01, 1.651451326182471036e+01, 4.423795918406734984e+01, 4.800244753285623389e+00, 2.654073524010468077e+01
