year, CESM2-WACCM, CMCC-ESM2, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR
2.071000000000000000e+03, 2.187893421262913628e-09, 2.077913553788193306e-10, 5.926423915673301454e-11, 2.744648825263876061e-09, 5.766718899480466618e-13, 5.258499496701609768e-11, 2.213621602541965878e-09, 1.620004114235354674e-09
2.072000000000000000e+03, 2.303071616917883439e-09, 2.071837030269042311e-10, 5.704562253316531154e-11, 2.747722261398992202e-09, 5.976955244832994992e-13, 5.187715336724879589e-11, 2.216185763332060222e-09, 1.621583236173899297e-09
2.073000000000000000e+03, 2.384698973518737412e-09, 2.066301966721122150e-10, 5.580369106511572432e-11, 2.599398034287886386e-09, 6.141690363766475781e-13, 5.114526965794938707e-11, 2.195845170573890684e-09, 1.583617870976017061e-09
2.074000000000000000e+03, 2.252829330397308991e-09, 2.061094419705057385e-10, 5.501792503886221700e-11, 3.131334208679089879e-09, 6.002147011138567662e-13, 5.022038190589627226e-11, 2.180035979685925034e-09, 1.562122533609421916e-09
2.075000000000000000e+03, 2.175949320102017414e-09, 2.055620256126428532e-10, 5.306230426312627006e-11, 2.729513470701468978e-09, 5.962507914799802838e-13, 4.925517271841725548e-11, 2.172898413141494202e-09, 1.547704080361500591e-09
2.076000000000000000e+03, 2.263018803157719325e-09, 2.050015628636172722e-10, 5.748737359731547831e-11, 3.001589239511713318e-09, 5.201325131298075257e-13, 4.757469648158945769e-11, 2.165678427741636193e-09, 1.551192186030438545e-09
2.077000000000000000e+03, 2.287039470337162447e-09, 2.044225749435751123e-10, 5.925913214638797589e-11, 2.758387420352503131e-09, 4.697722167419083903e-13, 4.687956886853187544e-11, 2.168755786094459218e-09, 1.506728071850534047e-09
2.078000000000000000e+03, 2.245192221116569898e-09, 2.039417892049699672e-10, 6.013411388033444328e-11, 2.823002610322086467e-09, 5.022758124858734701e-13, 4.627594096061763719e-11, 2.178315931360459658e-09, 1.507816790869663824e-09
2.079000000000000000e+03, 1.969503711300064938e-09, 2.034869938975575551e-10, 6.050266745091896986e-11, 2.862613444920085920e-09, 4.997569899893360973e-13, 4.556923353449238231e-11, 2.172363795645312736e-09, 1.472788108066698268e-09
2.080000000000000000e+03, 1.972503290046908933e-09, 2.029533211220899766e-10, 5.921799356824510037e-11, 2.513948814405050121e-09, 5.009936920206706655e-13, 4.486491767780813289e-11, 2.175681390100922100e-09, 1.537839407825276403e-09
